Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Understanding the Presumption against Extraterritoriality [article],"Dodge, William S. (Cited 1023 times)",1142,"Berkeley Journal of International Law, Vol. 16, Issue 1 (1998), pp. 85-125",16 Berkeley J. Int'l L. 85 (1998),151,5,51,na
The Historical Origins of the Alien Tort Statute: A Response to the Originalists [article],"Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 19, Issue 2 (Winter 1996), pp. 221-258",19 Hastings Int'l & Comp. L. Rev. 221 (1995-1996),123,na,26,na
Extraterritoriality and Conflict-of-Laws Theory: An Argument for Judicial Unilaterlism [article],"Dodge, William S. (Cited 1023 times)",1142,"Harvard International Law Journal, Vol. 39, Issue 1 (Winter 1998), pp. 101-170",39 Harv. Int'l. L. J. 101 (1998),103,2,76,na
"Case for Punitive Damages in Contracts, The [article]","Dodge, William S. (Cited 1023 times)",1142,"Duke Law Journal , Vol. 48, Issue 4 (February 1999), pp. 629-700",48 Duke L.J. 629 (February 1999),81,3,24,na
The Constitutionality of the Alien Tort Statute: Some Observations on Text and Context [comments],"Dodge, William S. (Cited 1023 times)",1142,"Virginia Journal of International Law, Vol. 42, Issue 2 (Winter 2002), pp. 687-712",na,65,1,12,na
Breaking the Public Law Taboo [article],"Dodge, William S. (Cited 1023 times)",1142,"Harvard International Law Journal, Vol. 43, Issue 1 (Winter 2002), pp. 161-236",43 Harv. Int'l L.J. 161 (2002),57,7,31,na
International Comity in American Law [article],"Dodge, William S. (Cited 1023 times)",1142,"Columbia Law Review, Vol. 115, Issue 8 (December 2015), pp. 2071-2142",115 Colum. L. Rev. 2071 (2015),44,1,na,na
Loewen v. United States: Trials and Errors under NAFTA Chapter Eleven [article],"Dodge, William S. (Cited 1023 times)",1142,"DePaul Law Review, Vol. 52, Issue 2 (Winter 2002), pp. 563-578",na,33,na,11,na
National Courts and International Arbitration: Exhaustion of Remedies and Res Judicata under Chapter Eleven of NAFTA [article],"Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 23, Issue 3 (Spring-Summer 2000), pp. 357-384",na,32,na,36,na
Morrison's Effects Test [article],"Dodge, William S. (Cited 1023 times)",1142,"Southwestern Law Review, Vol. 40, Issue 4 (2011), pp. 687-696",na,32,na,13,na
Investor-State Dispute Settlement between Developed Countries: Reflections on the Australia-United States Free Trade Agreement [article],"Dodge, William S. (Cited 1023 times)",1142,"Vanderbilt Journal of Transnational Law, Vol. 39, Issue 1 (January 2006), pp. 1-38",39 Vand. J. Transnat'l L. 1 (2006),31,na,48,na
Bridging Erie: Customary International Law in the U.S. Legal System after Sosa v. Alvarez-Machain [article],"Dodge, William S. (Cited 1023 times)",1142,"Tulsa Journal of Comparative & International Law, Vol. 12, Issue 1 (Fall 2004), pp. 87-108",na,29,na,7,na
Congressional Control of Supreme Court Appellate Jurisdiction: Why the Original Jurisdiction Clause Suggests an Essential Role [notes],"Dodge, William S. (Cited 1023 times)",1142,"Yale Law Journal, Vol. 100, Issue 4 (January 1991), pp. 1013-1032",na,26,na,9,na
Customary International Law and the Question of Legitimacy [comments],"Dodge, William S. (Cited 1023 times)",1142,"Harvard Law Review Forum, Vol. 120, pp. 19-27",na,24,na,11,na
Teaching the CISG in Contracts [article],"Dodge, William S. (Cited 1023 times)",1142,"Journal of Legal Education, Vol. 50, Issue 1 (March 2000), pp. 72-94",50 J. Legal Educ. 72 (2000),23,10,54,na
Which Torts in Violation of the Law of Nations [article],"Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 24, Issue 3 (Spring 2001), pp. 351-360",na,22,na,18,na
Defining and Punishing Offenses Under Treaties [article],"Cleveland, Sarah H. (Cited 817 times); Dodge, William S. (Cited 1023 times)",1142,"Yale Law Journal, Vol. 124, Issue 7 (May 2015), pp. 2202-2285",124 Yale L. J. 2202 (May 2015),20,4,35,na
Alien Tort Litigation: The Road Not Taken [article],"Dodge, William S. (Cited 1023 times)",1142,"Notre Dame Law Review, Vol. 89, Issue 4 (March 2014), pp. 1577-1608",89 Notre Dame L. Rev. 1577 (2013-2014),16,na,13,na
The Helms-Burton Act and Transnational Legal Process [article],"Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 20, Issue 4 (Fall 1997), pp. 713-728",na,15,na,19,na
Antitrust and the Draft Hague Judgments Convention [article],"Dodge, William S. (Cited 1023 times)",1142,"Law and Policy in International Business, Vol. 32, Issue 2 (2001), pp. 363-390",32 Law & Pol'y Int'l Bus. 363 (2000-2001),13,na,4,na
Weighing the Listener's Interests: Justice Blackmun's Commercial Speech and Public Forum Opinions [article],"Dodge, William S. (Cited 1023 times)",1142,"Hastings Constitutional Law Quarterly, Vol. 26, Issue 1 (Fall 1998), pp. 165-218",26 Hastings Const. L.Q. 165 (1998-1999),10,na,2,na
Arbitration - NAFTA Chapter 11 - Relationship of Arbitral Tirbunals to Domestic Courts - Court Judgments as Measures - Denial of Justice - Requirement of Judicial Finality - Requirement of Continuous Nationality - Lack of Retrospective Effect [decisions],"Dodge, William S. (Cited 1023 times)",1142,"American Journal of International Law, Vol. 98, Issue 1 (January 2004), pp. 155-163",na,9,na,10,na
The Public-Private Distinction in the Conflict of Laws [article],"Dodge, William S. (Cited 1023 times)",1142,"Duke Journal of Comparative & International Law, Vol. 18 , Issue 2 (Spring 2008), pp. 371-394",na,8,na,9,na
Corporate Liability under Customary International Law [comments],"Dodge, William S. (Cited 1023 times)",1142,"Georgetown Journal of International Law, Vol. 43, Issue 4 (2012), pp. 1045-1052",na,8,7,38,na
An Economic Defense of Concurrent Antitrust Jurisdiction [article],"Dodge, William S. (Cited 1023 times)",1142,"Texas International Law Journal, Vol. 38, Issue 1 (Winter 2003), pp. 27-40",na,7,na,5,na
Personal Jurisdiction and Aliens [article],"Dodge, William S. (Cited 1023 times); Dodson, Scott (Cited 600 times)",1142,"Michigan Law Review, Vol. 116, Issue 7 (May 2018), pp. 1205-1248",116 Mich. L. Rev. 1205 (2017-2018),6,na,57,na
Presumption against Extraterritoriality after Morrison [article],"Dodge, William S. (Cited 1023 times)",1142,"American Society of International Law Proceedings, Vol. 105, pp. 396-399",na,5,na,4,na
Brief of Professors of Federal Jurisdiction and Legal History as Amici Curiae in Support of Respondents [notes],"Van Aelstyn, Nicholas W. (Cited 5 times); Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 28, Issue 1 (Fall 2004), pp. 99-120",na,5,na,4,na
"Customary International Law, Change, and the Constitution [article]","Dodge, William S. (Cited 1023 times)",1142,"Georgetown Law Journal, Vol. 106, Issue 6 (August 2018), pp. 1559-1592",na,5,na,56,na
After Sosa: The Future of Customary International Law in the United States [article],"Dodge, William S. (Cited 1023 times)",1142,"Willamette Journal of International Law and Dispute Resolution, Vol. 17, Issue 1 (2009), pp. 21-48",na,5,na,3,na
The Presumption against Extraterritoriality in Two Steps [article],"Dodge, William S. (Cited 1023 times)",1142,"AJIL Unbound, Vol. 110, pp. 45-50",na,4,na,12,na
Introduction: Brief of Amici Curiae [comments],"Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 28, Issue 1 (Fall 2004), pp. 95-98",na,3,na,1,na
Foreign Official Immunity in the International Law Commission: The Meanings of Official Capacity [article],"Dodge, William S. (Cited 1023 times)",1142,"AJIL Unbound, Vol. 109, pp. 156-160",na,2,na,12,na
"Awards in Pope & Talbot, Inc. v. Government of Canada--Introduction [comments]","Dodge, William S. (Cited 1023 times)",1142,"Hastings International and Comparative Law Review, Vol. 23, Issue 3 (Spring-Summer 2000), pp. 431-434",na,2,na,7,na
Chevron Deference and Extraterritorial Regulation [article],"Dodge, William S. (Cited 1023 times)",1142,"North Carolina Law Review, Vol. 95, Issue 4 (May 2017), pp. 911-974",95 N.C. L. Rev. 911 (2016-2017),2,na,45,na
Bond v. United States and Congress's Role in Implementing Treaties [article],"Dodge, William S. (Cited 1023 times)",1142,"AJIL Unbound, Vol. 108, pp. 86-88",na,1,na,3,na
Withdrawing from Customary International Law: Some Lessons from History,"Dodge, William S. (Cited 1023 times)",1142,na,"Dodge, William S. (Cited 1023 times)",na,na,na,na
Corporate Liability under the US Alien Tort Statute: A Comment on Jesner v Arab Bank [notes] *new*,"Dodge, William S. (Cited 1023 times)",1142,"Business and Human Rights Journal, Vol. 4, Issue 1 (2019), pp. 131-138",na,na,na,na,na
Perspectives on the Restatement (Fourth) Project [comments],"Dodge, William S. (Cited 1023 times); Cleveland, Sarah (Cited 817 times); Stephan, Paul (Cited 1466 times); Koh, Harold Hongju (Cited 4679 times); Bellinger, John; McLachlan, Campbell (Cited 180 times)",1142,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 209-228",na,na,na,5,na
