Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Plausibility Pleading [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Boston College Law Review, Vol. 49, Issue 2 (March 2008), pp. 431-494",49 B.C. L. Rev. 431 (2008),194,13,10,na
Understanding Pleading Doctrine [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Michigan Law Review , Vol. 108, Issue 1 (October 2009), pp. 1-36",108 Mich. L. Rev. 1 (2009-2010),101,4,21,na
The Law School Critique in Historical Perspective [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Washington and Lee Law Review, Vol. 69, Issue 4 (Fall 2012), pp. 1949-2066",69 Wash. & Lee L. Rev. 1949 (2012),64,na,29,na
"Class Actions, Heightened Commonality, and Declining Access to Justice [article]","Spencer, A. Benjamin (Cited 762 times)",4815,"Boston University Law Review, Vol. 93, Issue 2 (March 2013), pp. 441-492",93 B.U. L. Rev. 441 (2013),60,na,21,na
The Restrictive Ethos in Civil Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"George Washington Law Review, Vol. 78, Issue 2 (February 2010), pp. 353-373",na,53,na,23,na
Jurisdiction to Adjudicate: A Revised Analysis [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"University of Chicago Law Review, Vol. 73, Issue 2 (Spring 2006), pp. 617-672",73 U. Chi. L. Rev. 617 (2006),52,na,22,na
Iqbal and the Slide toward Restrictive Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 185-202",na,48,na,9,na
Pleading Civil Rights Claims in the Post-Conley Era [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 99-166",na,39,na,7,na
Jurisdiction and the Internet: Returning to Traditional Principles to Analyze Network-Mediated Contacts [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"University of Illinois Law Review, Vol. 2006, Issue 1 (2006), pp. 71-126",2006 U. Ill. L. Rev. 71 (2006),35,6,19,na
Due Process and Punitive Damages: The Error of Federal Excessiveness Jurisprudence [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Southern California Law Review, Vol. 79, Issue 5 (July 2006), pp. 1085-1154",79 S. Cal. L. Rev. 1085 (2005-2006),34,na,4,na
Pleading and Access to Civil Justice: A Response to Twiqbal Apologists [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1710-1739",na,22,na,14,na
The Preservation Obligation: Regulating and Sanctioning Pre-Litigation Spoliation in Federal Court [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 2005-2034",na,18,na,13,na
Nationwide Personal Jurisdiction for Our Federal Courts [comments],"Spencer, A. Benjamin (Cited 762 times)",4815,"Denver University Law Review, Vol. 87, Issue 2 (2010), pp. 325-334",na,14,na,16,na
Anti-Federalist Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Washington and Lee Law Review, Vol. 64, Issue 1 (Winter 2007), pp. 233-296",64 Wash. & Lee L. Rev. 233 (2007),7,na,4,na
The Judicial Power and the Inferior Federal Courts: Exploring the Constitutional Vesting Thesis [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 1-68",46 Ga. L. Rev. 1 (2011-2012),4,na,6,na
Rationalizing Cost Allocation in Civil Discovery [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Review of Litigation, Vol. 34, Issue 4 (2015), pp. 769-814",34 Rev. Litig. 769 (2015),4,na,23,na
The Forms Had a Function: Rule 84 and the Appendix of Forms as Guardians of the Liberal Ethos in Civil Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Nevada Law Journal, Vol. 15, Issue 3 (Summer 2015), pp. 1113-1140",na,4,na,3,na
Terminating Calder: Effects Based Jurisdiction in the Ninth Circuit after Schwarzenegger v. Fred Martin Motor Co. [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Whitter Law Review, Vol. 26, Issue 1 (Fall 2004), pp. 197-[ii]",26 Whittier L. Rev. 197 (2004-2005),3,na,1,na
Supporting and Promoting Scholarly Life in Turbulent Times [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Touro Law Review, Vol. 31, Issue 1 (2014), pp. 25-32",na,1,na,2,na
Understanding the Department of Defense's Policy regarding Transgender Servicemembers [article],"Spencer, A. Benjamin (Cited 762 times)",4815,"Army Lawyer, Vol. 2017, Issue 2 (February 2017), pp. 4-17",2017 Army Law. 4 (2017),na,na,10,na
"Substance, Procedure, and the Rules Enabling Act [article]","Spencer, A. Benjamin (Cited 762 times)",4815,"UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 654-719",66 UCLA L. Rev. 654 (2019),na,na,na,na
