Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Pleading Problem [article],"Steinman, Adam N. (Cited 513 times)",5691,"Stanford Law Review, Vol. 62, Issue 5 (May 2010), pp. 1293-1360",62 Stan. L. Rev. 1293 (May 2010),148,7,48,na
What Is the Erie Doctrine - (and what does it mean for the contemporary Politics of Judicial Federalism) [article],"Steinman, Adam N. (Cited 513 times)",5691,"Notre Dame Law Review, Vol. 84, Issue 1 (November 2008), pp. 245-330",84 Notre Dame L. Rev. 245 (2008-2009),69,1,30,na
The Irrepressible Myth of Celotex: Reconsidering Summary Judgment Burdens Twenty Years after the Trilogy [article],"Steinman, Adam N. (Cited 513 times)",5691,"Washington and Lee Law Review, Vol. 63, Issue 1 (Winter 2006), pp. 81-146",63 Wash. & Lee L. Rev. 81 (2006),51,na,14,na
Reinventing Appellate Jurisdiction [article],"Steinman, Adam N. (Cited 513 times)",5691,"Boston College Law Review, Vol. 48, Issue 5 (November 2007), pp. 1237-1300",48 B.C. L. Rev. 1237 (2007),38,1,17,na
"The Lay of the Land: Examining the Three Opinions in J. McIntyre Machinery, Ltd. v. Nicastro [article]","Steinman, Adam N. (Cited 513 times)",5691,"South Carolina Law Review, Vol. 63, Issue 3 (Spring 2012), pp. 481-516",63 S. C. L. Rev. 481 (2011-2012),35,2,30,na
Reconceptualizing Federal Habeas Corpus for State Prisoners: How Should AEDPA's Standard of Review Operate after Williams v. Taylor [article],"Steinman, Adam N. (Cited 513 times)",5691,"Wisconsin Law Review, Vol. 2001, Issue 6 (2001), pp. 1493-1540",2001 Wis. L. Rev. 1493 (2001),31,1,2,na
Our Class Action Federalism: Erie and the Rules Enabling Act after Shady Grove [article],"Steinman, Adam N. (Cited 513 times)",5691,"Notre Dame Law Review, Vol. 86, Issue 3 (July 2011), pp. 1131-1180",na,28,na,15,na
"Less Is More - Textualism, Intentionalism, and a Better Solution to the Class Action Fairness Act's Appellate Deadline Riddle [article]","Steinman, Adam N. (Cited 513 times)",5691,"Iowa Law Review, Vol. 92, Issue 4 (May 2007), pp. 1183-1236",92 Iowa L. Rev. 1183 (May 2007),19,1,6,na
The End of an Era: Federal Civil Procedure after the 2015 Amendments [article],"Steinman, Adam N. (Cited 513 times)",5691,"Emory Law Journal, Vol. 66, Issue 1 (2016), pp. 1-54",66 Emory L.J. 1 (2016-2017),18,na,45,na
"To Say What the Law Is: Rules, Results, and the Dangers of Inferential Stare Decisis [article]","Steinman, Adam N. (Cited 513 times)",5691,"Virginia Law Review, Vol. 99, Issue 8 (December 2013), pp. 1737-1810",99 Va. L. Rev. 1737 (2013),13,na,26,na
The Rise and Fall of Plausibility Pleading [article],"Steinman, Adam N. (Cited 513 times)",5691,"Vanderbilt Law Review, Vol. 69, Issue 2 (March 2016), pp. 333-400",69 Vand. L. Rev. 333 (2016),12,na,28,na
"Sausage-Making, Pigs' Ears, and Congressional Expansions of Federal Jurisdiction: Exxon Mobil v. Allapattah and Its Lessons for the Class Action Fairness Act [article]","Steinman, Adam N. (Cited 513 times)",5691,"Washington Law Review, Vol. 81, Issue 2 (May 2006), pp. 279-336",81 Wash. L. Rev. 279 (2006),12,na,8,na
A Constitution for Judicial Lawmaking [article],"Steinman, Adam N. (Cited 513 times)",5691,"University of Pittsburgh Law Review, Vol. 65, Issue 3 (Spring 2004), pp. 545-596",65 U. Pitt. L. Rev. 545 (2003-2004),10,na,8,na
Atlantic Marine through the Lens of Erie [article],"Steinman, Adam N. (Cited 513 times)",5691,"Hastings Law Journal, Vol. 66, Issue 3 (2015), pp. 795-822",na,7,na,18,na
The Meaning of McIntyre [article],"Steinman, Adam N. (Cited 513 times)",5691,"Southwestern Journal of International Law, Vol. 18, Issue 2 (2012), pp. 417-444",na,7,7,4,na
Kryptonite for CAFA [article],"Steinman, Adam N. (Cited 513 times)",5691,"Review of Litigation, Vol. 32, Issue 4: Symposium (2013), pp. 649-690",32 Rev. Litig. 649 (2013),3,na,2,na
"The Multiparty, Multiforum Trial Jurisdiction Act's Impact on Major Accident Litigation [article]","McLaughlin, Thomas J. (Cited 6 times); Steinman, Adam N. (Cited 513 times)",5691,"Brief, Vol. 34, Issue 1 (Fall 2004), pp. 16-23",34 Brief 16 (2004-2005),1,1,na,na
"Access to Justice, Rationality and Personal Jurisdiction [article]","Steinman, Adam N. (Cited 513 times)",5691,"Vanderbilt Law Review, Vol. 71, Issue 5 (October 2018), pp. 1401-1462",71 Vand. L. Rev. 1401 (2018),1,na,43,na
Case Law [article],"Steinman, Adam N. (Cited 513 times)",5691,"Boston University Law Review, Vol. 97, Issue 6 (December 2017), pp. 1947-2010",97 B.U. L. Rev. 1947 (2017),1,na,44,na
Lost in Transplantation: The Supreme Court's Post-Prudence Jurisprudence [article],"Steinman, Adam N. (Cited 513 times)",5691,"Vanderbilt Law Review En Banc, Vol. 70, pp. 289-300",70 Vand. L. Rev. En Banc 289 (2017),na,na,7,na
A New Solution to an Old Problem: Section 1447(d) and Appellate Review of Remand Orders [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2011, pp. [217]-[218]",na,na,na,na,na
Judicial Fact-Making [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [278]-[280]",na,na,na,na,na
Fit to Be Tied [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [119]-[121]",na,na,na,na,na
Comparative Avoidance [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. [7]-[8]",na,na,na,na,na
Human Rights Litigation and the States [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",na,na,na,37,na
An Ounce of Prevention: Solving Some Unforeseen Problems with the Proposed Amendments to Rule 56 and the Federal Summary Judgement Process [article],"Steinman, Adam N. (Cited 513 times)",5691,"Northwestern University Law Review Colloquy, Vol. 103, pp. 230-241",103 Nw. L. Rev. Colloquy 230 (2008-2009),na,na,6,na
Nonmajority Opinions and Biconditional Rules [article],"Steinman, Adam (Cited 513 times)",5691,"Yale Law Journal Forum, Vol. 128, pp. 1-21",128 Yale L.J. F. 1 (2018-2019),na,na,na,na
When American Pipe Met Erie [reviews],"Steinman, Adam N. (Cited 513 times)",5691,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-2",na,na,na,na,na
