Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Continuity, Coherence, and the Canons [article]","Tyler, Amanda L. (Cited 248 times)",2819,"Northwestern University Law Review, Vol. 99, Issue 4 (2005), pp. 1389-1462",99 Nw. U. L. Rev. 1389 (2004-2005),62,na,11,na
Is Suspension a Political Question [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Stanford Law Review, Vol. 59, Issue 2 (November 2006), pp. 333-414",59 Stan. L. Rev. 333 (November 2006),59,1,15,na
Suspension as an Emergency Power [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Yale Law Journal, Vol. 118, Issue 4 (January 2009), pp. 600-695",118 Yale L. J. 600 (2008-2009),55,na,29,na
The Forgotten Core Meaning of the Suspension Clause [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Harvard Law Review, Vol. 125, Issue 4 (February 2012), pp. 901-1017",125 Harv. L. Rev. 901 (2011-2012),34,3,22,na
Setting the Supreme Court's Agenda: Is There a Place for Certification [article],"Tyler, Amanda L. (Cited 248 times)",2819,"George Washington Law Review, Vol. 78, Issue 6 (September 2010), pp. 1310-1328",na,15,na,9,na
Assessing the Role of History in the Federal Courts Canon: A Word of Caution [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Notre Dame Law Review, Vol. 90, Issue 5 (May 2015), pp. 1739-1752",90 Notre Dame L. Rev. 1739 (2014-2015),5,na,3,na
Habeas Corpus and the American Revolution [article],"Tyler, Amanda L. (Cited 248 times)",2819,"California Law Review, Vol. 103, Issue 3 (June 2015), pp. 635-698",na,3,na,38,na
A Dialogue with Federal Judges on the Role of History in Interpretation [comments],"Tyler, Amanda L. (Cited 248 times); Easterbrook, Frank H. (Cited 12778 times); Kavanaugh, Brett M. (Cited 154 times); Lettow, Charles F. (Cited 14 times)",2819,"George Washington Law Review, Vol. 80, Issue 6 (November 2012), pp. 1889-[vi]",na,3,na,86,na
A Second Magna Carta: The English Habeas Corpus Act and the Statutory Origins of Habeas Privilege [comments],"Tyler, Amanda L. (Cited 248 times)",2819,"Notre Dame Law Review, Vol. 91, Issue 5 (May 2016), pp. 1949-1996",na,3,3,28,na
The Counterfactual That Came to Pass: What if the Founders Had Not Constitutionalized the Privilege of the Writ of Habeas Corpus [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Indiana Law Review, Vol. 45, Issue 1 (2011), pp. 3-20",na,1,na,9,na
Habeas Corpus in the Anglo-American Legal Tradition [article],"Tyler, Amanda L. (Cited 248 times)",2819,"Journal of Korean Law, Vol. 16, Issue 1 (December 2016), pp. 33-66",na,na,na,6,na
