Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Standing, Injury in Facts, and Private Rights [article]","Hessick, F. Andrew (Cited 477 times)",5226,"Cornell Law Review, Vol. 93, Issue 2 (January 2008), pp. 275-328",93 Cornell L. Rev. 275 (January 2008),112,11,45,na
"Plea Bargaining and Convicting the Innocent: the Role of the Prosecutor, the Defense Counsel, and the Judge [article]","Hessick, F. Andrew III (Cited 477 times); Saujani, Reshma M. (Cited 102 times)",5226,"BYU Journal of Public Law, Vol. 16, Issue 2 (2002), pp. 189-242",16 BYU J. Pub. L. 189 (2001-2002),62,1,137,na
Appellate Review of Sentencing Decisions [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",5226,"Alabama Law Review , Vol. 60, Issue 1 (2008), pp. 1-40",60 Ala. L. Rev. 1 (2008-2009),44,na,12,na
Probablistic Standing [article],"Hessick, F. Andrew (Cited 477 times)",5226,"Northwestern University Law Review, Vol. 106, Issue 1 (Winter 2012), pp. 55-102",106 Nw. U. L. Rev. 55 (Winter 2012),44,6,17,na
Recognizing Constitutional Rights at Sentencing [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",5226,"California Law Review, Vol. 99, Issue 1 (February 2011), pp. 47-94",99 Calif. L. Rev. 47 (2011),40,10,17,na
Rethinking the Presumption of Constitutionality [article],"Hessick, F. Andrew (Cited 477 times)",5226,"Notre Dame Law Review , Vol. 85, Issue 4 (June 2010), pp. 1447-1504",85 Notre Dame L. Rev. 1447 (June 2010),28,na,30,na
Setting the Size of the Supreme Court [article],"Hessick, F. Andrew (Cited 477 times); Jordon, Samuel P. (Cited 20 times)",5226,"Arizona State Law Journal, Vol. 41, Issue 3 (Fall 2009), pp. 645-708",41 Ariz. St. L.J. 645 (2009),20,na,17,na
The Common Law of Federal Question Jurisdiction [article],"Hessick, F. Andrew III (Cited 477 times)",5226,"Alabama Law Review , Vol. 60, Issue 4 (2009), pp. 895-942",60 Ala. L. Rev. 895 (2008-2009),17,1,1,na
Double Jeopardy as a Limit on Punishment [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",5226,"Cornell Law Review, Vol. 97, Issue 1 (November 2011), pp. 45-86",97 Cornell L. Rev. 45 (2011-2012),15,1,18,na
The Non-Redelegation Doctrine [article],"Hessick, F. Andrew (Cited 477 times); Hessick, Carissa Byrne (Cited 475 times)",5226,"William & Mary Law Review, Vol. 55, Issue 1 (October 2013), pp. 163-220",55 Wm. & Mary L. Rev. 163 (2013-2014),12,na,10,na
