Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Regulatory Takings and Original Intent: The Direct, Physical Takings Thesis Goes Too Far [article]","Gold, Andrew S. (Cited 404 times)",3197,"American University Law Review, Vol. 49, Issue 1 (October 1999), pp. 181-242",49 Am. U. L. Rev. 181 (1999-2000),57,5,14,na
"A Decision Theory Approach to the Business Judgment Rule: Reflections on Disney, Good Faith, and Judicial Uncertainty [article]","Gold, Andrew S. (Cited 404 times)",3197,"Maryland Law Review, Vol. 66, Issue 2 (2007), pp. 398-474",66 Md. L. Rev. 398 (2006-2007),51,na,37,na
The New Concept of Loyalty in Corporate Law [article],"Gold, Andrew S. (Cited 404 times)",3197,"U.C. Davis Law Review, Vol. 43, Issue 2 (December 2009), pp. 457-528",43 U.C. Davis L. Rev. 457 (2009-2010),48,na,23,na
On the Elimination of Fiduciary Duties: A Theory of Good Faith for Unincorporated Firms [article],"Gold, Andrew S. (Cited 404 times)",3197,"Wake Forest Law Review, Vol. 41, Issue 1 (2006), pp. 123-188",41 Wake Forest L. Rev. 123 (2006),39,3,17,na
A Property Theory of Contract [article],"Gold, Andrew S. (Cited 404 times)",3197,"Northwestern University Law Review , Vol. 103, Issue 1 (Winter 2009), pp. 1-62",103 Nw. U. L. Rev. 1 (2009),31,na,32,na
A Moral Rights Theory of Private Law [article],"Gold, Andrew S. (Cited 404 times)",3197,"William and Mary Law Review, Vol. 52, Issue 6 (May 2011), pp. 1873-1932",52 Wm. & Mary L. Rev. 1873 (2010-2011),30,na,30,na
"Absurd Results, Scrivener's Errors, and Statutory Interpretation [article]","Gold, Andrew S. (Cited 404 times)",3197,"University of Cincinnati Law Review, Vol. 75, Issue 1 (Fall 2006), pp. 25-86",75 U. Cin. L. Rev. 25 (2006-2007),29,na,16,na
The Diminishing Equivalence between Regulatory Takings and Physical Takings [article],"Gold, Andrew S. (Cited 404 times)",3197,"Dickinson Law Review, Vol. 107, Issue 3 (Winter 2003), pp. 571-622",107 Dick. L. Rev. 571 (2002-2003),19,na,6,na
Reassessing the Scope of Conduct Prohibited by Section 10(b) and the Elements of Rule 10b-5: Reflections on Securities Fraud and Secondary Actors [article],"Gold, Andrew S. (Cited 404 times)",3197,"Catholic University Law Review, Vol. 53, Issue 3 (Spring 2004), pp. 667-708",53 Cath. U. L. Rev. 667 (Spring 2004),17,na,4,na
Fiduciary Governance [article],"Miller, Paul B. (Cited 122 times); Gold, Andrew S. (Cited 404 times)",3197,"William & Mary Law Review, Vol. 57, Issue 2 (November 2015), pp. 513-586",57 Wm. & Mary L. Rev. 513 (2015-2016),16,na,49,na
Dynamic Fiduciary Duties [article],"Gold, Andrew S. (Cited 404 times)",3197,"Cardozo Law Review, Vol. 34, Issue 2 (December 2012), pp. 491-530",34 Cardozo L. Rev. 491 (2012-2013),14,na,33,na
The Taxonomy of Civil Recourse [article],"Gold, Andrew S. (Cited 404 times)",3197,"Florida State University Law Review, Vol. 39, Issue 1 (Fall 2011), pp. 65-84",39 Fla. St. U. L. Rev. 65 (2011-2012),13,na,8,na
Theories of the Firm and Judicial Uncertainty [article],"Gold, Andrew S. (Cited 404 times)",3197,"Seattle University Law Review, Vol. 35, Issue 4 (Summer 2012), pp. 1087-1108",na,10,na,6,na
Experimenting with the Lead Plaintiff Selection Process in Securities Class Actions: A Suggestion for PSLRA Reform [notes],"Gold, Andrew S. (Cited 404 times)",3197,"DePaul Law Review, Vol. 57, Issue 2 (Winter 2008), pp. 447-470",na,6,na,3,na
A Thoery of Redressive Justice [article],"Gold, Andrew S. (Cited 404 times)",3197,"University of Toronto Law Journal, Vol. 64, Issue 2 (Spring 2014), pp. 159-205",64 U. Toronto L.J. 159 (2014),5,na,13,na
Formalism and State Sovereignty in Printz v. United States: Cooperation by Consent [article],"Gold, Andrew S. (Cited 404 times)",3197,"Harvard Journal of Law & Public Policy , Vol. 22, Issue 1 (Fall 1998), pp. 247-278",22 Harv. J. L. & Pub. Pol'y 247 (1998-1999),5,na,15,na
Reflections on the State as Fiduciary [article],"Gold, Andrew S. (Cited 404 times)",3197,"University of Toronto Law Journal, Vol. 63, Issue 4 (Fall 2013), pp. 655-670",63 U. Toronto L.J. 655 (2013),4,na,24,na
Contracts with and without Degradation [comments],"Gold, Andrew S. (Cited 404 times)",3197,"Capital University Law Review, Vol. 40, Issue 3 (Summer 2012), pp. 657-678",na,3,na,1,na
Private Rights and Private Wrongs [reviews],"Gold, Andrew S. (Cited 404 times)",3197,"Michigan Law Review, Vol. 115, Issue 6 (April 2017), pp. 1071-1096",na,2,na,25,na
On Selling Civil Recourse [article],"Gold, Andrew S. (Cited 404 times)",3197,"DePaul Law Review, Vol. 63, Issue 2 (Winter 2014), pp. 485-498",na,1,na,14,na
Purposive Loyalty [article],"Gold, Andrew S. (Cited 404 times)",3197,"Washington and Lee Law Review, Vol. 74, Issue 2 (Spring 2017), pp. 881-908",na,1,na,19,na
"Contract, Promise, and the Right of Redress [article]","Gold, Andrew S. (Cited 404 times)",3197,"William and Mary Business Law Review, Vol. 9, Issue 2 (February 2018), pp. 389-418",na,na,na,21,na
