Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Proportional Deportation [article],"Banks, Angela M. (Cited 129 times)",9115,"Wayne Law Review, Vol. 55, Issue 4 (Winter 2009), pp. 1651-1682",na,39,na,39,na
The Normative and Historical Cases for Proportional Deportation [article],"Banks, Angela M. (Cited 129 times)",9115,"Emory Law Journal, Vol. 62, Issue 5 (2013), pp. 1243-1308",62 Emory L.J. 1243 (2013),22,na,4,na
Expanding Participation in Constitution Making: Challenges and Opportunities [notes],"Banks, Angela M. (Cited 129 times)",9115,"William and Mary Law Review, Vol. 49, Issue 4 (March 2008), pp. 1043-1070",na,14,na,50,na
The Curious Relationship between Self-Deportation Policies and Naturalization Rates [article],"Banks, Angela M. (Cited 129 times)",9115,"Lewis & Clark Law Review, Vol. 16, Issue 4 (Winter 2012), pp. 1149-1214",16 Lewis & Clark L. Rev. 1149 (2012),13,na,8,na
"CEDAW, Compliance, and Custom: Human Rights Enforcements in Sub-Saharan Africa [article]","Banks, Angela M. (Cited 129 times)",9115,"Fordham International Law Journal, Vol. 32, Issue 3 (February 2009), pp. 781-845",32 Fordham Int'l L.J. 781 (2008-2009),11,na,62,na
Deporting Families: Legal Matter or Political Question [article],"Banks, Angela M. (Cited 129 times)",9115,"Georgia State University Law Review, Vol. 27, Issue 3 (Spring 2011), pp. 489-564",27 Ga. St. U. L. Rev. 489 (2010-2011),10,na,7,na
Challenging Political Boundaries in Post-Conflict States [article],"Banks, Angela M. (Cited 129 times)",9115,"University of Pennsylvania Journal of International Law, Vol. 29, Issue 1 (Fall 2007), pp. 105-168",29 U. Pa. J. Int'l L. 105 (2007-2008),7,na,10,na
The Trouble with Treaties: Immigration and Judicial Review [article],"Banks, Angela M. (Cited 129 times)",9115,"St. John's Law Review, Vol. 84, Issue 4 (Fall 2010), pp. 1219-1272",84 St. John's L. Rev. 1219 (2010),3,na,6,na
Members Only: Undocumented Students & in-State Tuition [article],"Banks, Angela M. (Cited 129 times)",9115,"Brigham Young University Law Review, Vol. 2013, Issue 6 (2013), pp. 1425-1456",2013 BYU L. Rev. 1425 (2013),2,na,35,na
Moderating Politics in Post-Conflict States: An Examination of Bosnia and Herzegovina [article],"Banks, Angela M. (Cited 129 times)",9115,"UCLA Journal of International Law and Foreign Affairs, Vol. 10, Issue 1 (Spring/Summer 2005), pp. 1-65",10 UCLA J. Int'l L. & Foreign Aff. 1 (2005),2,na,2,na
Respectability & the Quest for Citizenship [article],"Banks, Angela M. (Cited 129 times)",9115,"Brooklyn Law Review, Vol. 83, Issue 1 (Fall 2017), pp. 1-54",83 Brook. L. Rev. 1 (2017-2018),1,na,48,na
Participatory Constitution-Making in Post-Conflict States [comments],"Banks, Angela M. (Cited 129 times)",9115,"American Society of International Law Proceedings, Vol. 101, pp. 138-141",na,1,na,7,na
The Growing Impact of Non-State Actors on the International and European Legal System [article],"Banks, Angela M. (Cited 129 times)",9115,"International Law FORUM Du Droit International, Vol. 5, Issue 4 (November 2003), pp. 293-299",na,1,na,6,na
Introduction: Noncitizen Participation in the American Polity [comments],"Banks, Angela M. (Cited 129 times)",9115,"William & Mary Bill of Rights Journal, Vol. 21, Issue 2 (December 2012), pp. 333-338",na,1,na,1,na
The Normative and Historical Cases for Proportional Deportation [article],"Banks, Angela M. (Cited 129 times)",9115,"Immigration and Nationality Law Review, Vol. 34, pp. 433-498",na,na,na,6,na
The Substantive Criteria Underlying Birthright Citizenship [reviews],"Banks, Angela (Cited 129 times)",9115,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [494]-[495]",na,na,na,na,na
Cultural Narratives and Legal Rights [reviews],"Banks, Angela (Cited 129 times)",9115,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [132]-[133]",na,na,na,na,na
Undocumented Migrants and International Law [reviews],"Banks, Angela (Cited 129 times)",9115,"Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [206]-[207]",na,na,na,na,na
Protecting the Right to Family Life in Immigration Law [reviews],"Banks, Angela (Cited 129 times)",9115,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",na,na,na,8,na
The Need for Facts in Immigration Policymaking [reviews],"Banks, Angela (Cited 129 times)",9115,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",na,na,na,5,na
Carala Del Ponte: Her Retrospective of Four Years in the Hague [notes],"Banks, Angela M. (Cited 129 times)",9115,"International Law FORUM Du Droit International , Vol. 6, Issue 1 (February 2004), pp. 37-42",na,na,na,na,na
Precarious Citizenship: Asian Immigrant Naturalization 1918 to 1925 [article],"Banks, Angela M. (Cited 129 times)",9115,"Law and Inequality: A Journal of Theory and Practice, Vol. 37, Issue 1 (Winter 2019), pp. 149-188",37 Law & Ineq. 149 (2019),na,na,2,na
Bringing Culture Back: Immigrants' Citizenship Rights in the Twenty-First Century [article],"Banks, Angela M. (Cited 129 times)",9115,"Santa Clara Law Review, Vol. 57, Issue 2 (2017), pp. 315-366",57 Santa Clara L. Rev. 315 (2017),na,na,20,na
