Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Reflecting on the Subject: A Critique of the Social Influence Conception of Deterrence, the Broken Windows Theory, and Order-Maintenance Policing New York Style [article]","Harcourt, Bernard E. (Cited 852 times)",5665,"Michigan Law Review, Vol. 97, Issue 2 (November 1998), pp. 291-389",97 Mich. L. Rev. 291 (1998-1999),165,1,267,na
The Collapse of the Harm Principle [article],"Harcourt, Bernard E. (Cited 852 times)",5665,"Journal of Criminal Law and Criminology, Vol. 90, Issue 1 (Fall 1999), pp. 109-194",na,102,na,357,na
Broken Windows: New Evidence from New York City and a Five-City Social Experiment [article],"Harcourt, Bernard E. (Cited 852 times); Ludwig, Jens (Cited 204 times)",5665,"University of Chicago Law Review, Vol. 73, Issue 1 (Winter 2006), pp. 271-320",73 U. Chi. L. Rev. 271 (2006),98,na,219,na
Transparent Adjudication and Social Science Research in Constitutional Criminal Procedure [comments],"Meares, Tracey L. (Cited 1413 times); Harcourt, Bernard E. (Cited 852 times)",5665,"Journal of Criminal Law and Criminology, Vol. 90, Issue 3 (Spring 2000), pp. 733-798",na,63,1,14,na
"Rethinking Racial Profiling: A Critique of the Economics, Civil Liberties, and Constitutional Literature, and of Criminal Profiling More Generally [article]","Harcourt, Bernard E. (Cited 852 times)",5665,"University of Chicago Law Review, Vol. 71, Issue 4 (Fall 2004), pp. 1275-1382",71 U. Chi. L. Rev. 1275 (Fall 2004),50,2,44,na
Randomization and the Fourth Amendment [article],"Harcourt, Bernard E. (Cited 852 times); Meares, Tracey L. (Cited 1413 times)",5665,"University of Chicago Law Review, Vol. 78, Issue 3 (Summer 2011), pp. 809-878",78 U. Chi. L. Rev. 809 (2011),49,na,28,na
"Foreword: You Are Entering a Gay and Lesbian Free Zone: On the Radical Dissents of Justice Scalia and Other (Post-) Queers - [Raising Questions about Lawrence, Sex Wars, and the Criminal Law] [comments]","Harcourt, Bernard E. (Cited 852 times)",5665,"Journal of Criminal Law & Criminology, Vol. 94, Issue 3 (Spring 2004), pp. 503-550",na,33,na,7,na
After the Social Meaning Turn: Implications for Research Design and Methods of Proof in Contemporary Criminal Law Policy Analysis [article],"Harcourt, Bernard E. (Cited 852 times)",5665,"Law & Society Review, Vol. 34, Issue 1 (2000), pp. 179-212",na,30,na,15,na
From the Asylum to the Prison: Rethinking the Incarceration Revolution [article],"Harcourt, Bernard E. (Cited 852 times)",5665,"Texas Law Review, Vol. 84, Issue 7 (June 2006), pp. 1751-1786",na,26,na,84,na
From the Ne'er-Do-Well to the Criminal History Category: The Refinement of the Actuarial Model in Criminal Law [article],"Harcourt, Bernard E. (Cited 852 times)",5665,"Law and Contemporary Problems, Vol. 66, Issue 3 (Summer 2003), pp. 99-152",na,25,na,8,na
