Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Disparate Impact on Death Row: M.L.B. and the Indigent's Right to Counsel at Captial State Postconviction Proceedings [notes],"Snyder, Brad (Cited 209 times)",5421,"Yale Law Journal, Vol. 107, Issue 7 (May 1998), pp. 2211-2248",na,60,na,na,na
How the Conservatives Canonized Brown v. Board of Education [article],"Snyder, Brad (Cited 209 times)",5421,"Rutgers Law Review, Vol. 52, Issue 2 (Winter 2000), pp. 383-494",52 Rutgers L. Rev. 383 (1999-2000),57,na,89,na
The Judicial Genealogy (and Mythology) of John Roberts: Clerkships from Gray to Brandeis to Friendly to Roberts [article],"Snyder, Brad (Cited 209 times)",5421,"Ohio State Law Journal, Vol. 71, Issue 6 (2010), pp. 1149-1244",71 Ohio St. L.J. 1149 (2010),17,na,9,na
Protecting the Media from Excessive Damages: The Ninteenth-Century Origins of Remittitur and Its Modern Application in Food Lion [article],"Snyder, Brad (Cited 209 times)",5421,"Vermont Law Review, Vol. 24, Issue 2 (Winter 2000), pp. 299-346",24 Vt. L. Rev. 299 (1999-2000),15,na,11,na
Rehnquist's Missing Letter: A Former Law Clerk's 1955 Thoughts on Justice Jackson and Brown [comments],"Snyder, Brad (Cited 209 times); Barrett, John Q. (Cited 137 times)",5421,"Boston College Law Review, Vol. 53, Issue 2 (March 2012), pp. 631-660",na,13,na,10,na
The House That Built Holmes [article],"Snyder, Brad (Cited 209 times)",5421,"Law and History Review, Vol. 30, Issue 3 (August 2012), pp. 661-722",30 Law & Hist. Rev. 661 (2012),13,na,7,na
"What Would Justice Holmes Do (WWJHD): Rehnquist's Plessy Memo, Majoritarianism, and Parents Involved [article]","Snyder, Brad (Cited 209 times)",5421,"Ohio State Law Journal, Vol. 69, Issue 5 (2008), pp. 873-910",na,9,na,8,na
Frankfurter and Popular Constitutionalism [article],"Snyder, Brad (Cited 209 times)",5421,"U.C. Davis Law Review, Vol. 47, Issue 1 (November 2013), pp. 343-418",47 U.C.D. L. Rev. 343 (2013-2014),8,na,20,na
Taking Great Cases: Lessons from the Rosenberg Case [article],"Snyder, Brad (Cited 209 times)",5421,"Vanderbilt Law Review, Vol. 63, Issue 4 (May 2010), pp. 885-956",63 Vand. L. Rev. 885 (2010),8,na,15,na
The Former Clerks Who Nearly Killed Judicial Restraint [article],"Snyder, Brad (Cited 209 times)",5421,"Notre Dame Law Review, Vol. 89, Issue 5 (May 2014), pp. 2129-2154",na,6,na,11,na
Rejecting the Legal Process Theory Joker: Bill Nelson's Scholarship on Judge Edward Weinfeld and Justice Byron White [article],"Snyder, Brad (Cited 209 times)",5421,"Chicago-Kent Law Review, Vol. 89, Issue 3 (2014), pp. 1065-1084",na,3,na,5,na
Sacco-Vanzetti and the Supreme Court [article] *new*,"Snyder, Brad (Cited 209 times)",5421,"Journal of Supreme Court History, Vol. 43, Issue 2 (July 2018), pp. 107-124",na,na,na,na,na
