Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Rock, Scissors, Paper: ERISA, the Bankruptcy Code and State Exemption Laws for Individual Retirement Accounts [article]","Pryor, C. Scott (Cited 93 times)",4242,"American Bankruptcy Law Journal, Vol. 77, Issue 1 (Winter 2003), pp. 65-128",77 Am. Bankr. L.J. 65 (2003),12,1,3,na
Municipal Bankruptcy: When Doing Less Is Doing Best [article],"Pryor, C. Scott (Cited 93 times)",4242,"American Bankruptcy Law Journal, Vol. 88, Issue 1 (Winter 2014), pp. 85-iv",88 Am. Bankr. L.J. 85 (2014),12,na,17,na
Revised Uniform Commercial Code Article 9: Impact in Bankruptcy [article],"Pryor, C. Scott (Cited 93 times)",4242,"American Bankrutpcy Institute Law Review, Vol. 7, Issue 2 (Winter 1999), pp. 465-516",7 Am. Bankr. Inst. L. Rev. 465 (1999),11,1,4,na
How Revised Article 9 Will Turn the Trustee's Strong-Arm into a Weak Finger: A Potpourri of Cases [article],"Pryor, C. Scott (Cited 93 times)",4242,"American Bankruptcy Institute Law Review, Vol. 9, Issue 1 (Spring 2001), pp. 229-286",na,9,na,2,na
Principled Pluralism and Contract Remedies [article],"Pryor, C. Scott (Cited 93 times)",4242,"McGeorge Law Review, Vol. 40, Issue 3 (2009), pp. 723-756",40 McGeorge L. Rev. 723 (2009),9,na,5,na
Mission Possible: A Paradigm for Analysis of Contractual Impossiblity at Regent University [article],"Pryor, C. Scott (Cited 93 times)",4242,"St. John's Law Review, Vol. 74, Issue 3 (Summer 2000), pp. 691-730",na,8,na,1,na
Consideration in the Common Law of Contracts: A Biblical-Theological Critique [article],"Pryor, C. Scott (Cited 93 times)",4242,"Regent University Law Review, Vol. 18, Issue 1 (2005-2006), pp. 1-52",18 Regent U. L. Rev. 1 (2005-2006),7,na,394,na
God's Bridle: John Calvin's Application of Natural Law [article],"Pryor, C. Scott (Cited 93 times)",4242,"Journal of Law and Religion , Vol. 22, Issue 1 (2006-2007), pp. 225-254",22 J. L. & Religion 225 (2006-2007),5,na,8,na
Puritan Revolution and the Law of Contracts [article],"Pryor, C. Scott (Cited 93 times); Hoshauer, Glenn M. (Cited 5 times)",4242,"Texas Wesleyan Law Review, Vol. 11, Issue 2 (Spring 2005), pp. 291-360",na,5,3,10,na
Third Time's the Charm: The Coming Impact of the Restatement (Third) Restitution and Unjust Enrichment in Bankruptcy [article],"Pryor, C. Scott (Cited 93 times)",4242,"Pepperdine Law Review, Vol. 40, Issue 4 (2013), pp. 843-910",40 Pepp. L. Rev. 843 (2012-2013),4,na,9,na
Who Bears the Burden: The Place for Participation of Municipal Residents in Chapter 9 [article],"Pryor, C. Scott (Cited 93 times)",4242,"Campbell Law Review, Vol. 37, Issue 1 (Spring 2015), pp. 161-[ii]",37 Campbell L. Rev. 161 (2015),3,na,3,na
Contractual Good Faith: Variations on the Theme of Expectations [article],"Pryor, C. Scott (Cited 93 times)",4242,"Florida Bar Journal, Vol. 72, Issue 1 (January 1998), pp. 20-25",72 Fla. B.J. 20 (1998),3,na,1,na
"Looking for Bedrock: Accounting for Human Rights in Classical Liberalism, Modern Secularism, and the Christian Tradition [article]","Pryor, C. Scott (Cited 93 times)",4242,"Campbell Law Review, Vol. 33, Issue 3 (2011), pp. 609-640",33 Campbell L. Rev. 609 (2010-2011),2,na,29,na
Clear Rules Still Produce Fuzzy Results: Impossibility in Indian Contract Law [article],"Pryor, C. Scott (Cited 93 times)",4242,"Arizona Journal of International and Comparative Law, Vol. 27, Issue 1 (Spring 2010), pp. 1-30",27 Ariz. J. Int'l & Comp. L. 1 (2010),2,na,18,na
Reflections on Evangelicals and Catholics Together on Law: The Lord of Heaving and Earth [article],"Pryor, C. Scott (Cited 93 times)",4242,"Journal of Christian Legal Thought, Vol. 3, Issue 2 (Fall 2013), pp. 2-3",3 J. Christian Legal Thought 2 (2013),1,na,1,na
Watertight - Royalty Indemnity Ruling is Not: Ambiguity Often Results When Concision Trumps Clarity [article],"Pryor, C. Scott (Cited 93 times); Pryor, Jeremy L. (Cited 3 times)",4242,"VBA News Journal , Vol. 38, Issue 2 (Summer 2011), pp. 22-24",38 VBA News J. 22 (2011),na,na,1,na
Nine into Eleven: Accounting for Common Interest Communities in Bankruptcy [article],"Pryor, C. Scott (Cited 93 times)",4242,"Emory Bankruptcy Developments Journal, Vol. 33, Issue 2 (2017), pp. 455-486",33 Emory Bankr. Dev. J. 455 (2016-2017),na,na,11,na
The Law of Contracts: A Place to Start [article],"Pryor, C. Scott (Cited 93 times)",4242,"Journal of Christian Legal Thought, Vol. 1, Issue 3 (Winter 2011), pp. 7-20",1 J. Christian Legal Thought 7 (2011),na,na,5,na
"Law and the Bible: Justice, Mercy and Legal Institutions [reviews]","Pryor, C. Scott (Cited 93 times)",4242,"Journal of Law and Religion, Vol. 29, Issue 2 (2014), pp. 351-354",na,na,na,7,na
Who Pays the Price: The Necessity of Taxpayer Participation in Chapter 9 [article],"Pryor, C. Scott (Cited 93 times)",4242,"Widener Law Journal, Vol. 24, Issue 1 (2015), pp. 81-120",na,na,na,6,na
