Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Regulating Public Morals and Private Markets: Online Securities Trading, Internet Gambling, and the Speculation Paradox [article]","Hurt, Christine (Cited 280 times)",7886,"Boston University Law Review, Vol. 86, Issue 2 (April 2006), pp. 371-442",86 B.U. L. Rev. 371 (2006),45,1,25,na
Moral Hazard and the Initial Public Offering [article],"Hurt, Christine (Cited 280 times)",7886,"Cardozo Law Review, Vol. 26, Issue 2 (January 2005), pp. 711-790",26 Cardozo L. Rev. 711 (2004-2005),45,na,82,na
The Undercivilization of Corporate Law [article],"Hurt, Christine (Cited 280 times)",7886,"Journal of Corporation Law, Vol. 33, Issue 2 (Winter 2008), pp. 361-446",33 J. Corp. L. 361 (2007-2008),38,na,17,na
Evil Has a New Name (and a New Narrative): Bernard Madoff [article],"Hurt, Christine (Cited 280 times)",7886,"Michigan State Law Review, Vol. 2009, Issue 4 (Winter 2009), pp. 947-988",2009 Mich. St. L. Rev. 947 (2009),22,na,69,na
"Counselor, Gatekeeper, Shareholder, Thief: Why Attorneys Who Invest in Their Clients in a Post-Enron World are Selling Out, Not Buying In [article]","Hurt, Christine (Cited 280 times)",7886,"Ohio State Law Journal, Vol. 64, Issue 3 (2003), pp. 897-956",64 Ohio St. L.J. 897 (2003),21,na,7,na
Pricing Disintermediation: Crowdfunding and Online Auction IPOS [article],"Hurt, Christine (Cited 280 times)",7886,"University of Illinois Law Review, Vol. 2015, Issue 1 (2015), pp. 217-262",2015 U. Ill. L. Rev. 217 (2015),19,na,33,na
Network Effects and Legal Citation: How Antitrust Theory Predicts Who Will Build a Better Bluebook Mousetrap in the Age of Electronic Mice [article],"Hurt, Christine (Cited 280 times)",7886,"Iowa Law Review, Vol. 87, Issue 4 (May 2002), pp. 1257-1302",87 Iowa L. Rev. 1257 (2001-2002),17,na,8,na
The Duty to Manage Risk [article],"Hurt, Christine (Cited 280 times)",7886,"Journal of Corporation Law, Vol. 39, Issue 2 (Winter 2014), pp. 253-294",39 J. Corp. L. 253 (2013-2014),15,na,24,na
What Google Can't Tell Us about Internet Auctions (and What It Can) [article],"Hurt, Christine (Cited 280 times)",7886,"University of Toledo Law Review, Vol. 37, Issue 2 (Winter 2006), pp. 403-438",na,11,na,9,na
"Of Breaches of the Peace, Home Invasions, and Securities Fraud [article]","Hurt, Christine (Cited 280 times)",7886,"American Criminal Law Review, Vol. 44, Issue 4 (Fall 2007), pp. 1365-1382",na,9,na,4,na
Blogging While Untenured and Other Extreme Sports [article],"Hurt, Christine (Cited 280 times); Yin, Tung (Cited 379 times)",7886,"Washington University Law Review, Vol. 84, Issue 5 (2006), pp. 1235-1256",na,9,na,4,na
The Bluebook at Eighteen: Reflecting and Ratifying Current Trends in Legal Scholarship [article],"Hurt, Christine (Cited 280 times)",7886,"Indiana Law Journal, Vol. 82, Issue 1 (Winter 2007), pp. 49-68",82 Ind. L.J. 49 (2007),8,na,9,na
Initial Public Offerings and the Failed Promise of Disintermediation [article],"Hurt, Christine (Cited 280 times)",7886,"Entrepreneurial Business Law Journal, Vol. 2, Issue 2 (2008), pp. 703-742",2 Entrepreneurial Bus. L.J. 703 (2007-2008),5,na,5,na
The Windfall Myth [article],"Hurt, Christine (Cited 280 times)",7886,"Georgetown Journal of Law & Public Policy, Vol. 8, Issue 2 (Summer 2010), pp. 339-394",8 Geo. J.L. & Pub. Pol'y 339 (2010),4,na,5,na
Regulating Compensation [article],"Hurt, Christine (Cited 280 times)",7886,"Ohio State Entrepreneurial Business Law Journal, Vol. 6, Issue 1 (2011), pp. 21-66",6 Ohio St. Entrepren. Bus. L.J. 21 (2011),4,na,10,na
The Hostile Poison Pill [article],"Hurt, Christine (Cited 280 times)",7886,"U.C. Davis Law Review, Vol. 50, Issue 1 (November 2016), pp. 137-204",50 U.C.D. L. Rev. 137 (2016-2017),2,na,79,na
The Limited Liability Partnership in Bankruptcy [article],"Hurt, Christine (Cited 280 times)",7886,"American Bankruptcy Law Journal, Vol. 89, Issue 4 (Fall 2015), pp. 567-606",89 Am. Bankr. L.J. 567 (2015),2,na,35,na
"It's a Bird, It's a Plane, No, It's a Board-Managed LLC [article]","Borden, Bradley T. (Cited 184 times); Hurt, A. Christine (Cited 280 times); Rutledge, Thomas E. (Cited 360 times)",7886,"Business Law Today, Vol. 2017, Issue 3 (March 2017), pp. 1-4",2017 Bus. L. Today 1 (2017),2,na,1,na
Partnership Lost [article],"Hurt, Christine (Cited 280 times)",7886,"University of Richmond Law Review, Vol. 53, Issue 2 (January 2019), pp. 491-556",53 U. Rich. L. Rev. 491 (2018-2019),na,na,23,na
The Impact on Shareholders and Other Constituents [comments],"Hurt, Christine (Cited 280 times)",7886,"Journal of Business & Technology Law, Vol. 2, Issue 1 (2007), pp. 97-98",na,na,na,1,na
Erasing Lines: Let the LRW Professor without Lines Throw the First Eraser [comments],"Hurt, Christine (Cited 280 times)",7886,"Journal of the Association of Legal Writing Directors , Vol. 1, pp. 79-84",na,na,na,2,na
