Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Out of Practice: The Twenty-First-Century Legal Profession [article],"Remus, Dana A. (Cited 70 times)",3542,"Duke Law Journal, Vol. 63, Issue 6 (March 2014), pp. 1243-1286",63 Duke L.J. 1243 (2013-2014),20,1,29,na
The Corporate Settlement Mill [article],"Remus, Dana A. (Cited 70 times); Zimmerman, Adam S. (Cited 220 times)",3542,"Virginia Law Review, Vol. 101, Issue 1 (March 2015), pp. 129-192",101 Va. L. Rev. 129 (2015),17,na,14,na
Advocacy Revalued [article],"Hazard, Geoffrey C. Jr. (Cited 3430 times); Remus, Dana A. (Cited 70 times)",3542,"University of Pennsylvania Law Review, Vol. 159, Issue 3 (February 2011), pp. 751-782",159 U. Pa. L. Rev. 751 (2010-2011),13,na,10,na
The Uncertain Promise of Predictive Coding [article],"Remus, Dana A. (Cited 70 times)",3542,"Iowa Law Review, Vol. 99, Issue 4 (May 2014), pp. 1691-1724",99 Iowa L. Rev. 1691 (2013-2014),8,na,42,na
The Institutional Politics of Federal Judicial Conduct Regulation [article],"Remus, Dana A. (Cited 70 times)",3542,"Yale Law & Policy Review, Vol. 31, Issue 1 (Fall 2012), pp. 33-78",31 Yale L. & Pol'y Rev. 33 (2012-2013),7,na,9,na
Aggregate Litigation Goes Private [article],"Remus, Dana A. (Cited 70 times); Zimmerman, Adam S. (Cited 220 times)",3542,"Emory Law Journal, Vol. 63, Issue 6 (2013-2014), pp. 1317-1338",na,2,na,6,na
Reconstructing Professionalism [article],"Remus, Dana A. (Cited 70 times)",3542,"Georgia Law Review, Vol. 51, Issue 3 (Spring 2017), pp. 807-878",51 Ga. L. Rev. 807 (2016-2017),2,na,18,na
A Roadmap for Reform: A Book Review [reviews],"Remus, Dana A. (Cited 70 times)",3542,"Legal Ethics, Vol. 18, Issue 1 (July 2015), pp. 97-107",na,na,na,na,na
Interstitial Exclusivities after Association for Molecular Pathology [article],"Mitchell, Mary; Remus, Dana A. (Cited 70 times)",3542,"Michigan Law Review First Impressions, Vol. 109, pp. 34-41",109 Mich. L. Rev. First Impressions 34 (2010),na,na,1,na
Confidence Breach: A Breakdown in Professional Self-Regulation [reviews],"Remus, Dana A. (Cited 70 times)",3542,"Texas Law Review, Vol. 92, Issue 6 (May 2014), pp. 1599-1616",na,na,na,4,na
