Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Three Essays on Tax Salience: Market Salience and Political Salience [article],"Gamage, David (Cited 267 times); Shanske, Darien (Cited 144 times)",9922,"Tax Law Review, Vol. 65, Issue 1 (Fall 2011), pp. 19-98",65 Tax L. Rev. 19 (2011-2012),59,na,73,na
How Less Can Be More: Using the Federal Income Tax to Stabilize State and Local Finance [article],"Shanske, Darien (Cited 144 times)",9922,"Virginia Tax Review, Vol. 31, Issue 3 (Winter 2012), pp. 413-470",31 Va. Tax Rev. 413 (2011-2012),15,na,6,na
Public Tax Dollars for Private Suburban Development: A First Report on a National Phenomenon [notes],"Shanske, Darien (Cited 144 times)",9922,"Virginia Tax Review, Vol. 26, Issue 3 (Winter 2007), pp. 709-768",na,12,na,2,na
Four Theses: Preliminary to an Appeal to Equity [notes],"Shanske, Darien (Cited 144 times)",9922,"Stanford Law Review, Vol. 57, Issue 6 (May 2005), pp. 2053-2086",na,10,2,7,na
Above All Else Stop Digging: Local Government Law as a (Partial) Cause of (and Solution to) the Current Housing Crisis [article],"Shanske, Darien (Cited 144 times)",9922,"University of Michigan Journal of Law Reform, Vol. 43, Issue 3 (Spring 2010), pp. 663-712",43 U. Mich. J.L. Reform 663 (2009-2010),8,na,10,na
State-Level Carbon Taxes and the Dormant Commerce Clause: Can Formulary Apportionment Save the World [article],"Shanske, Darien (Cited 144 times)",9922,"Chapman Law Review, Vol. 18, Issue 1 (Fall 2014), pp. 191-210",18 Chap. L. Rev. 191 (2014-2015),6,na,9,na
The Trouble with Tax Increase Limitations [article],"Gamage, David (Cited 267 times); Shanske, Darien (Cited 144 times)",9922,"Albany Government Law Review, Vol. 6, Issue 1 (2013), pp. 50-82",na,5,na,4,na
Revitalizing Local Political Economy through Modernizing the Property Tax [article],"Shanske, Darien (Cited 144 times)",9922,"Tax Law Review, Vol. 68, Issue 1 (Fall 2014), pp. 143-ii",68 Tax L. Rev. 143 (2014-2015),5,na,6,na
A New Theory of the State Corporate Income Tax: The State Corporate Income Tax as Retail Sales Tax Complement [article],"Shanske, Darien (Cited 144 times)",9922,"Tax Law Review, Vol. 66, Issue 3 (Spring 2013), pp. 305-ii",66 Tax L. Rev. 305 (2012-2013),4,na,10,na
The Supreme Court and the New Old Public Finance: A New Old Defense of the Court's Recent Dormant Commerce Clause Jurisprudence [article],"Shanske, Darien (Cited 144 times)",9922,"Urban Lawyer , Vol. 43, Issue 3 (Summer 2011), pp. 659-722",43 Urb. Law. 659 (Summer 2011),3,na,1,na
Local Fiscal Autonomy Requires Constraints: The Case for Fiscal Menus [article],"Shanske, Darien (Cited 144 times)",9922,"Stanford Law & Policy Review, Vol. 25, Issue 1 (2014), pp. 9-32",25 Stan. L. & Pol'y Rev. 9 (2014),3,na,4,na
The Feds Are Already Here: The Federal Role in Municipal Debt Finance [article],"Shanske, Darien (Cited 144 times)",9922,"Review of Banking and Financial Law, Vol. 33, Issue 2 (Spring 2014), pp. 795-812",na,2,na,7,na
Municipal Finance and Asymmetric Risk [article],"Raineri, Lori (Cited 2 times); Shanske, Darien (Cited 144 times)",9922,"Belmont Law Review, Vol. 4, pp. 65-84",na,2,na,7,na
