Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Out Yet Unseen: A Racial Critique of Gay and Lesbian Legal Theory and Political Discourse [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Connecticut Law Review, Vol. 29, Issue 2 (Winter 1997), pp. 561-646",29 Conn. L. Rev. 561 (1996-1997),167,na,75,na
"Ignoring the Sexualization of Race: Heteronormativity, Critical Race Theory and Anti-Racist Politics [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Buffalo Law Review, Vol. 47, Issue 1 (Winter 1999), pp. 1-116",47 Buff. L. Rev. 1 (1999),122,na,177,na
"Gay Rights for Gay Whites: Race, Sexual Identity, and Equal Protection Discourse [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Cornell Law Review , Vol. 85, Issue 5 (1999-2000), pp. 1358-1391",85 Cornell L. Rev. 1358 (1999-2000),98,1,103,na
"Identity Crisis: Intersectionality, Multidimensionality, and the Development of an Adequate Theory of Subordination [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Michigan Journal of Race & Law, Vol. 6, Issue 2 (Spring 2001), pp. 285-318",na,96,na,149,na
Unexplainable on Grounds Other Than Race: The Inversion of Privilege and Subordination in Equal Protection Jurisprudence [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"University of Illinois Law Review, Vol. 2003, Issue 3 (2003), pp. 615-700",2003 U. Ill. L. Rev. 615 (2003),79,na,18,na
"Progressive Race Blindness: Individual Identity, Group Politics, and Reform [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"UCLA Law Review, Vol. 49, Issue 5 (June 2002), pp. 1455-1480",na,45,na,25,na
Racial Exhaustion [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Washington University Law Review, Vol. 86, Issue 4 (2009), pp. 917-974",86 Wash. U. L. Rev. 917 (2008-2009),34,na,11,na
Critical Race Histories: In and Out [comments],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"American University Law Review, Vol. 53, Issue 6 (August 2004), pp. 1187-1216",na,33,na,19,na
"The Majoritarian Difficulty: Affirmative Action, Sodomy, and Supreme Court Politics [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Law and Inequality: A Journal of Theory and Practice, Vol. 23, Issue 1 (Winter 2005), pp. 1-94",23 Law & Ineq. 1 (Winter 2005),33,na,17,na
"Accommodating Outness: Hurley, Free Speech, and Gay and Lesbian Equality [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"University of Pennsylvania Journal of Constitutional Law, Vol. 1, Issue 1 (Spring 1998), pp. 85-126",1 U. Pa. J. Const. L. 85 (1998-1999),30,na,5,na
"Continually Reminded of Their Inferior Position: Social Dominance, Implicit Bias, Criminality, and Race [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Washington University Journal of Law & Policy, Vol. 46, pp. 23-116",46 Wash. U. J. L. & Pol'y 23 (2014),27,na,109,na
"Not without Political Power: Gays and Lesbians, Equal Protection [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Alabama Law Review, Vol. 65, Issue 4 (2014), pp. 975-1034",65 Ala. L. Rev. 975 (2013-2014),21,2,9,na
"Closet Case: Boy Scouts of America v. Dale and the Reinforcement of Gay, Lesbian, Bisexual, and Transgender Invisibility [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Tulane Law Review, Vol. 76, Issue 1 (November 2001), pp. 81-148",76 Tul. L. Rev. 81 (2001-2002),20,na,27,na
Sexual Politics and Social Change [comments],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Connecticut Law Review, Vol. 41, Issue 5 (July 2009), pp. 1523-1548",na,19,na,9,na
Beyond the Rhetoric of Dirty Laundry: Examining the Value of Internal Criticism within Progressive Social Movements and Oppressed Communities [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Michigan Journal of Race & Law, Vol. 5, Issue 1 (Fall 1999), pp. 185-200",na,16,na,17,na
New Complexity Theories: From Theoretical Innovation to Doctrinal Reform [comments],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"UMKC Law Review, Vol. 71, Issue 2 (Winter 2002), pp. 431-446",na,15,na,7,na
Factless Jurisprudence [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Columbia Human Rights Law Review, Vol. 34, Issue 3 (Summer 2003), pp. 615-634",34 Colum. Hum. Rts. L. Rev. 615 (2002-2003),14,na,1,na
Preventing Balkanization or facilitating Racial Domination: A Critique of the New Equal Protection [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Virginia Journal of Social Policy & the Law, Vol. 22, Issue 1 (Winter 2015), pp. 1-70",22 Va. J. Soc. Pol'y & L. 1 (2015),11,na,11,na
"Undignified: The Supreme Court, Racial Justice, and Dignity Claims [article]","Hutchinson, Darren Lenard (Cited 906 times)",6849,"Florida Law Review, Vol. 69, Issue 1 (January 2017), pp. 1-62",69 Fla. L. Rev. 1 (January 2017),9,na,59,na
Dissecting Axes of Subordination: The Need for a Structural Analysis [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"American University Journal of Gender, Social Policy & the Law, Vol. 11, Issue 1 (2002-2003), pp. 13-24",na,8,na,2,na
Who Locked Us up: Examining the Social Meaning of Black Punitiveness [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Yale Law Journal, Vol. 127, Issue 8 (June 2018), pp. 2388-2447",127 Yale L. J. 2388 (2017-2018),3,na,106,na
"Social Movements and Judging: An Essay on Institutional Reform Litigation and Desegregation in Dallas, Texas [article]","Hutchinson, Darren (Cited 906 times)",6849,"SMU Law Review, Vol. 62, Special Issue (2009), pp. 1635-1656",na,2,na,1,na
Majority Politic and Race Based Remedies [article],"Hutchinson, Darren Lenard (Cited 906 times)",6849,"Howard Law Journal, Vol. 50, Issue 3 (Spring 2007), pp. 827-840",na,1,na,2,na
