Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Critical Habitat and the Challenge of Regulating Small Harms [article],"Owen, Dave (Cited 271 times)",1148,"Florida Law Review, Vol. 64, Issue 1 (January 2012), pp. 141-200",na,32,na,15,na
Technocracy and Democracy: Conflicts between Models and Participation in Environmental Law and Planning [article],"Fine, James D. (Cited 29 times); Owen, Dave (Cited 271 times)",1148,"Hastings Law Journal, Vol. 56, Issue 5 (2004-2005), pp. 901-982",56 Hastings L.J. 901 (2004-2005),29,na,37,na
"Probabilities, Planning Failures, and Environmental Law [article]","Owen, Dave (Cited 271 times)",1148,"Tulane Law Review, Vol. 84, Issue 2 (December 2009), pp. 265-336",84 Tul. L. Rev. 265 (2009-2010),28,na,19,na
"The Mono Lake Case, the Public Trust Doctrine, and the Administrative State [article]","Owen, Dave (Cited 271 times)",1148,"UC Davis Law Review, Vol. 45, Issue 3 (February 2012), pp. 1099-1154",na,24,na,28,na
"Urbanization, Water Quality, and the Regulated Landscape [article]","Owen, Dave (Cited 271 times)",1148,"University of Colorado Law Review, Vol. 82, Issue 2 (2011), pp. 431-504",82 U. Colo. L. Rev. 431 (2011),23,na,34,na
"Law, Environmental Dynamism, Reliability: The Rise and Fall of Calfed [article]","Owen, Dave (Cited 271 times)",1148,"Environmental Law, Vol. 37, Issue 4 (Fall 2007), pp. 1145-1216",37 Envtl. L. 1145 (2007),22,na,4,na
Regional Federal Administration [article],"Owen, Dave (Cited 271 times)",1148,"UCLA Law Review, Vol. 63, Issue 1 (2016), pp. 58-121",63 UCLA L. Rev. 58 (2016),20,na,15,na
Climate Change and Environmental Assessment Law [article],"Owen, Dave (Cited 271 times)",1148,"Columbia Journal of Environmental Law, Vol. 33, Issue 1 (2008), pp. 57-120",33 Colum. J. Envtl. L. 57 (2008),19,na,18,na
"Mapping, Modeling, and the Fragmentation of Environmental Law [article]","Owen, Dave (Cited 271 times)",1148,"Utah Law Review, Vol. 2013, Issue 1 (2013), pp. 219-282",2013 Utah L. Rev. 219 (2013),14,na,17,na
Taking Groundwater [article],"Owen, Dave (Cited 271 times)",1148,"Washington University Law Review, Vol. 91, Issue 2 (2013), pp. 253-307",91 Wash. U. L. Rev. 253 (2013-2014),12,na,10,na
Trading Dams [article],"Owen, Dave (Cited 271 times); Apse, Colin (Cited 10 times)",1148,"U.C. Davis Law Review, Vol. 48, Issue 3 (February 2015), pp. 1043-1110",48 U.C.D. L. Rev. 1043 (2014-2015),10,na,15,na
The Disappointing History of the National Marine Sanctuaries Act [article],"Owen, Dave (Cited 271 times)",1148,"New York University Environmental Law Journal, Vol. 11, Issue 3 (2003), pp. 711-757",11 N.Y.U. Envtl L.J. 711 (2002-2003),10,na,10,na
Gibbs v. Babbitt [notes],"Owen, Dave (Cited 271 times)",1148,"Ecology Law Quarterly, Vol. 28, Issue 2 (2001), pp. 377-398",na,8,na,2,na
"Prescriptive Laws, Uncertain Science, and Political Stories: Forest Management in the Sierra Nevada [article]","Owen, Dave (Cited 271 times)",1148,"Ecology Law Quarterly, Vol. 29, Issue 4 (2002), pp. 747-804",29 Ecology L.Q. 747 (2002),8,na,3,na
Little Streams and Legal Transformations [article],"Owen, Dave (Cited 271 times)",1148,"Utah Law Review, Vol. 2017, Issue 1 (2017), pp. 1-56",2017 Utah L. Rev. 1 (2017),6,na,15,na
Interdisciplinary Research and Environmental Law [article],"Owen, Dave (Cited 271 times); Noblet, Caroline (Cited 2 times)",1148,"Ecology Law Quarterly, Vol. 41, Issue 4 (2014), pp. 887-938",41 Ecology L.Q. 887 (2014),2,na,26,na
After the TMDLs [article],"Owen, Dave (Cited 271 times)",1148,"Vermont Journal of Environmental Law, Vol. 17, Issue 4 (Spring 2016), pp. 845-870",na,2,na,4,na
Water and Taxes [article],"Owen, Dave (Cited 271 times)",1148,"U.C. Davis Law Review, Vol. 50, Issue 4 (April 2017), pp. 1559-1618",50 U.C.D. L. Rev. 1559 (2016-2017),1,na,16,na
Sea-Level Rise and the Endangered Species Act [article],"Owen, Dave (Cited 271 times)",1148,"Louisiana Law Review, Vol. 73, Issue 1 (Fall 2012), pp. 119-150",73 La. L. Rev. 119 (Fall 2012),1,na,13,na
"Auctions, Taxes, and Air [article]","Owen, Dave (Cited 271 times)",1148,"UCLA Law Review Discourse, Vol. 65, pp. 64-87",65 UCLA L. Rev. Discourse 64 (2017-2018),na,na,12,na
Cooperative Subfederalism [article],"Owen, Dave (Cited 271 times)",1148,"UC Irvine Law Review, Vol. 9, Issue 1 (September 2018), pp. 177-228",9 UC Irvine L. Rev. 177 (2018-2019),na,na,19,na
Foreword [comments],"Owen, Dave (Cited 271 times)",1148,"Ecology Law Quarterly, Vol. 29, Issue 2 (2002), pp. 131-136",na,na,na,1,na
The Conservative Turn against Compensatory Mitigation [comments],"Owen, Dave (Cited 271 times)",1148,"Environmental Law, Vol. 48, Issue 2 (Spring 2018), pp. 265-290",na,na,na,25,na
Federal Laboratories of Democracy [article],"Wiseman, Hannah J. (Cited 655 times); Owen, Dave (Cited 271 times)",1148,"U.C. Davis Law Review, Vol. 52, Issue 2 (December 2018), pp. 1119-1192",52 U.C.D. L. Rev. 1119 (2018-2019),na,na,11,na
