Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Poor State of Health Care Quality in the U.S.: Is Malpractice Liability Part of the Problem or Part of the Solution [article],"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",7191,"Cornell Law Review, Vol. 90, Issue 4 (May 2005), pp. 893-994",90 Cornell L. Rev. 893 (2004-2005),95,4,35,na
"Medical Malpractice Litigation and Tort Reform: It's the Incentives, Stupid [article]","Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",7191,"Vanderbilt Law Review, Vol. 59, Issue 4 (May 2006), pp. 1085-0",na,74,na,93,na
Regulating Managed Care: What's Wrong with a Patient Bill of Rights [article],"Hyman, David A. (Cited 1166 times)",7191,"Southern California Law Review, Vol. 73, Issue 2 (January 2000), pp. 221-276",73 S. Cal. L. Rev. 221 (1999-2000),73,na,21,na
Two Cheers for Employment-Based Health Insurance [article],"Hyman, David A. (Cited 1166 times); Hall, Mark (Cited 132 times)",7191,"Yale Journal of Health Policy, Law, and Ethics, Vol. 2, Issue 1 (2001-2002), pp. 23-58",2 Yale J. Health Pol'y L. & Ethics 23 (2001-2002),70,na,17,na
"Lies, Damned Lies, and Narrative [article]","Hyman, David A. (Cited 1166 times)",7191,"Indiana Law Journal, Vol. 73, Issue 3 (Summer 1998), pp. 797-866",73 Ind. L.J. 797 (1997-1998),64,4,10,na
"Stability, Not Crisis: Medical Malpractice Claim Outcomes in Texas, 1988-2002 [article]","Black, Bernard (Cited 3647 times); Silver, Charles (Cited 1565 times); Hyman, David A. (Cited 1166 times); Sage, William M. (Cited 1594 times)",7191,"Journal of Empirical Legal Studies, Vol. 2, Issue 2 (2005), pp. 207-260",2 J. Empirical Legal Stud. 207 (2005),46,na,10,na
Medical Malpractice and the Tort System: What Do We Know and What (If Anything) Should We Do about It [comments],"Hyman, David A. (Cited 1166 times)",7191,"Texas Law Review, Vol. 80, Issue 7 (June 2002), pp. 1639-1656",na,42,na,38,na
You Get What You Pay For: Result-Based Compensation for Health Care [article],"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",7191,"Washington and Lee Law Review, Vol. 58, Issue 4 (Fall 2001), pp. 1427-1492",58 Wash. & Lee L. Rev. 1427 (2001),38,na,5,na
Rescue without Law: An Empirical Perspective on the Duty to Rescue [article],"Hyman, David A. (Cited 1166 times)",7191,"Texas Law Review, Vol. 84, Issue 3 (February 2006), pp. 653-738",84 Tex. L. Rev. 653 (2005-2006),38,na,82,na
Patient Dumping and Emtala: Past Imperfect/Future Shock [article],"Hyman, David A. (Cited 1166 times)",7191,"Health Matrix: Journal of Law-Medicine, Vol. 8, Issue 1 (Winter 1998), pp. 29-56",na,35,na,34,na
Consumer Protection in a Managed Care World: Should Consumers Call 911 [article],"Hyman, David A. (Cited 1166 times)",7191,"Villanova Law Review, Vol. 43, Issue 2 (1998), pp. 409-466",na,32,na,1,na
The Conundrum of Charitability: Reassessing Tax Exemption for Hospitals [article],"Hyman, David A. (Cited 1166 times)",7191,"American Journal of Law & Medicine, Vol. 16, Issue 3 (1990), pp. 327-380",16 Am. J.L. & Med. 327 (1990),28,na,7,na
Drive-Through Deliveries: Is Consumer Protection Just What the Doctor Ordered [article],"Hyman, David A. (Cited 1166 times)",7191,"North Carolina Law Review, Vol. 78, Issue 1 (November 1999), pp. 5-100",78 N.C. L. Rev. 5 (1999-2000),28,na,4,na
And Such Small Portions: Limited Performance Agreements and the Cost/Quality/Access Trade-Off [article],"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",7191,"Georgetown Journal of Legal Ethics, Vol. 11, Issue 4 (Summer 1998), pp. 959-980",na,27,na,3,na
"Hospital Conversions: Fact, Fantasy, and Regulatory Follies [article]","Hyman, David A. (Cited 1166 times)",7191,"Journal of Corporation Law, Vol. 23, Issue 4 (Summer 1998), pp. 741-778",na,25,1,6,na
"Health Care Fraud and Abuse: Market Change, Social Norms, and the Trust Reposed in the Workmen [comments]","Hyman, David A. (Cited 1166 times)",7191,"Journal of Legal Studies, Vol. 30, Issue 2 - Part 2 (June 2001), pp. 531-568",na,25,na,21,na
"Professional Responsibility, Legal Malpractice, and the Eternal Tiangle: Will Lawyers or Insurers Call the Shots [article]","Hyman, David A. (Cited 1166 times)",7191,"Connecticut Insurance Law Journal, Vol. 4, Issue 1 (1997-1998), pp. 353-404",na,24,1,5,na
"Do Defendants Pay What Juries Award - Post-Verdict Haircuts in Texas Medical Malpractice Cases, 1988-2003 [article]","Hyman, David A. (Cited 1166 times); Black, Bernard (Cited 3647 times); Zeiler, Kathryn (Cited 133 times)",7191,"Journal of Empirical Legal Studies , Vol. 4, Issue 1 (2007), pp. 3-68",na,22,na,na,na
Why Who Does What Matters: Governmental Design and Agency Performance [article],"Hyman, David A. (Cited 1166 times); Kovacic, William E. (Cited 1576 times)",7191,"George Washington Law Review, Vol. 82, Issue 5 (October 2014), pp. 1446-1516",na,20,na,41,na
Fraud and Abuse: Regulatory Alternatives in a Competitive Health Care Era [article],"Hyman, David A. (Cited 1166 times); Williamson, Joel V. (Cited 23 times)",7191,"Loyola University Chicago Law Journal, Vol. 19, Issue 4 (Summer 1988), pp. 1133-1196",19 Loy. U. Chi. L.J. 1133 (Summer 1988),20,na,13,na
