Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Can the United States Afford a No-Fault System of Compensation for Medical Injury [article],"Studdert, David M. (Cited 255 times); Thomas, Eric J. (Cited 105 times); Zbar, Brett I.W. (Cited 55 times); Newhouse, Joseph P. (Cited 58 times)",9475,"Law and Contemporary Problems, Vol. 60, Issue 2 (Spring 1997), pp. 1-34",na,55,na,3,na
Toward a Workable Model of No-Fault Compensation for Medical Injury in the United States [article],"Studdert, David M. (Cited 255 times); Brennan, Troyen A. (Cited 538 times)",9475,"American Journal of Law & Medicine, Vol. 27, Issues 2 & 3 (2001), pp. 225-252",na,52,na,33,na
"Beyond Dead Reckoning: Measures of Medical Injury Burden, Malpractice Litigation, and Alternative Compensation Models from Utah and Colorado [article]","Studdert, David M. (Cited 255 times); Brennan, Troyen A. (Cited 538 times); Thomas, Eric J. (Cited 105 times)",9475,"Indiana Law Review, Vol. 33, Issue 4 (2000), pp. 1643-1686",33 Ind. L. Rev. 1643 (1999-2000),40,1,8,na
Policy Experimentation with Administrative Compensation for Medical Injury: Issues under State Constitutional Law [article],"Mello, Michelle M. (Cited 394 times); Studdert, David M. (Cited 255 times); Moran, Patricia (Cited 27 times); Dauer, Edward A. (Cited 393 times)",9475,"Harvard Journal on Legislation , Vol. 45, Issue 1 (Winter 2008), pp. 59-106",45 Harv. J. on Legis. 59 (2008),16,na,17,na
Deconstructing Negligence: The Role of Individual and System Factors in Causing Medical Injuries [article],"Mello, Michelle M. (Cited 394 times); Studdert, David M. (Cited 255 times)",9475,"Georgetown Law Journal, Vol. 96, Issue 2 (January 2008), pp. 599-624",na,15,na,24,na
Physician Responses to the Malpractice Crisis: From Defense to Offense [article],"Kachalia, Allen (Cited 19 times); Choudhry, Niteesh K. (Cited 12 times); Studdert, David M. (Cited 255 times)",9475,"Journal of Law, Medicine and Ethics, Vol. 33, Issue 3 (Fall 2005), pp. 416-428",na,12,na,6,na
Geographic Variation in Informed Consent Law: Two Standards for Disclosure of Treatment Risks [article],"Studdert, David M. (Cited 255 times); Mello, Michelle M. (Cited 394 times); Levy, Marin K. (Cited 133 times)",9475,"Journal of Empirical Legal Studies , Vol. 4, Issue 1 (2007), pp. 103-124",na,10,na,na,na
"Who Pays for Medical Errors - An Analysis of Adverse Event Costs, the Medical Liability System, and Incentives for Patient Safety Improvements [article]","Mello, Michelle M. (Cited 394 times); Studdert, David M. (Cited 255 times); Thomas, Eric J. (Cited 105 times); Yoon, Catherine S. (Cited 10 times)",9475,"Journal of Empirical Legal Studies , Vol. 4, Issue 4 (2007), pp. 835-860",4 J. Empirical Legal Stud. 835 (2007),10,na,na,na
Adjudicating Severe Birth Injury Claims in Florida and Virginia: The Experience of a Landmark Experiment in Personal Injury Compensation [article],"Siegal, Gil (Cited 31 times); Mello, Michelle M. (Cited 394 times); Studdert, David M. (Cited 255 times)",9475,"American Journal of Law & Medicine, Vol. 34, Issue 3 (2008), pp. 493-538",34 Am. J.L. & Med. 493 (2008),9,na,19,na
Rationalizing Noneconomic Damages: A Health-Utilities Approach [article],"Studdert, David M. (Cited 255 times); Kachalia, Allen (Cited 19 times); Salomon, Joshua A. (Cited 7 times); Mello, Michelle M. (Cited 394 times)",9475,"Law and Contemporary Problems, Vol. 74, Issue 3 (Summer 2011), pp. 57-102",na,7,na,3,na
