Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Winning through Losing [article],"NeJaime, Douglas (Cited 873 times)",7723,"Iowa Law Review, Vol. 96, Issue 3 (March 2010), pp. 941-1012",96 Iowa L. Rev. 941 (March 2010),117,na,46,na
Lawyering for Marriage Equality [article],"Cummings, Scott L. (Cited 814 times); NeJaime, Douglas (Cited 873 times)",7723,"UCLA Law Review , Vol. 57, Issue 5 (June 2010), pp. 1235-1332",na,106,na,66,na
Exposing Sex Stereotypes in Recent Same-Sex Marriage Jurisprudence [article],"Widiss, Deborah A. (Cited 471 times); Rosenblatt, Elizabeth L. (Cited 191 times); NeJaime, Douglas (Cited 873 times)",7723,"Harvard Journal of Law & Gender , Vol. 30, Issue 2 (Summer 2007), pp. 461-506",30 Harv. J.L. & Gender 461 (2007),83,na,22,na
Marriage Equality and the New Parenthood [article],"NeJaime, Douglas (Cited 873 times)",7723,"Harvard Law Review, Vol. 129, Issue 5 (March 2016), pp. 1185-1266",129 Harv. L. Rev. 1185 (2015-2016),65,na,126,na
"Marriage Inequality: Same-Sex Relationships, Religious Exemptions, and the production of Sexual Orientation Discrimination [article]","NeJaime, Douglas (Cited 873 times)",7723,"California Law Review, Vol. 100, Issue 5 (October 2012), pp. 1169-1238",100 Calif. L. Rev. 1169 (2012),61,3,82,na
Before Marriage: the Unexplored History of Nonmarital Recognition and Its Relationship to Marriage [article],"NeJaime, Douglas (Cited 873 times)",7723,"California Law Review, Vol. 102, Issue 1 (February 2014), pp. 87-172",102 Calif. L. Rev. 87 (February 2014),56,na,37,na
The Legal Mobilization Dilemma [article],"NeJaime, Douglas (Cited 873 times)",7723,"Emory Law Journal, Vol. 61, Issue 4 (2012), pp. 663-736",na,47,na,36,na
When New Governance Fails [article],"NeJaime, Douglas (Cited 873 times)",7723,"Ohio State Law Journal , Vol. 70, Issue 2 (2009), pp. 323-402",70 Ohio St. L.J. 323 (2009),32,na,14,na
"Marriage, Cruising, and Life in between: Clarifying Organizational Positionalities in Pursuit of Polyvocal Gay-Based Advocacy [notes]","NeJaime, Douglas (Cited 873 times)",7723,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 38, Issue 2 (Summer 2003), pp. 511-562",na,29,na,7,na
Cause Lawyers inside the State [article],"NeJaime, Douglas (Cited 873 times)",7723,"Fordham Law Review, Vol. 81, Issue 2 (November 2012), pp. 649-704",na,20,na,36,na
"Inclusion, Accommodation, and Recognition: Accounting for Differences Based on Religion and Sexual Orientation [article]","NeJaime, Douglas (Cited 873 times)",7723,"Harvard Journal of Law & Gender, Vol. 32, Issue 2 (Summer 2009), pp. 303-382",32 Harv. J.L. & Gender 303 (2009),20,na,25,na
"Constitutional Change, Courts, and Social Movements [reviews]","NeJaime, Douglas (Cited 873 times)",7723,"Michigan Law Review, Vol. 111, Issue 6 (April 2013), pp. 877-902",na,19,na,38,na
"Marriage, Biology, and Gender [comments]","NeJaime, Douglas (Cited 873 times)",7723,"Iowa Law Review Bulletin, Vol. 98, pp. 83-96",na,12,na,5,na
"Griswold's Progeny: Assisted Reproduction, Procreative Liberty, and Sexual Orientation Equality [article]","NeJaime, Douglas (Cited 873 times)",7723,"Yale Law Journal Forum, Vol. 124, pp. 340-348",124 Yale L.J. F. 340 (2014-2015),8,na,13,na
"The View from Below: Public Interest Lawyering, Social Change, and Adjudication [article]","NeJaime, Douglas (Cited 873 times)",7723,"UCLA Law Review Discourse, Vol. 61, pp. 182-205",61 UCLA L. Rev. Discourse 182 (2013),6,na,2,na
Framing (in)Equality for Same-Sex Couples [article],"NeJaime, Douglas (Cited 873 times)",7723,"UCLA Law Review Discourse, Vol. 60, pp. 184-199",60 UCLA L. Rev. Discourse 184 (2012),5,na,3,na
The Family's Constitution [article],"NeJaime, Douglas (Cited 873 times)",7723,"Constitutional Commentary, Vol. 32, Issue 2 (Summer 2017), pp. 413-448",na,1,na,21,na
Exposing Sex Sterotypes in Recent Same-Sex Marriage Jurisprudence [article],"Widiss, Deborah A. (Cited 471 times); Rosenblatt, Elizabeth L. (Cited 191 times); NeJaime, Douglas (Cited 873 times)",7723,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 7, Issue 1 (2008), pp. 1-46",7 Dukeminier Awards: Best Sexual Orientation & Gender Identity L. Rev. 1 (2008),na,na,7,na
Winning through Losing [article],"NeJaime, Douglas (Cited 873 times)",7723,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 11, pp. 941-1012",11 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 941 (2011-2012),na,na,6,na
The Nature of Parenthood [article],"NeJaime, Douglas (Cited 873 times)",7723,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 17, pp. 283-392",na,na,na,15,na
Introduction: Religious Accommodation in the Age of Civil Rights [article],"Stolzenberg, Nomi Maya (Cited 253 times); NeJaime, Douglas (Cited 873 times)",7723,"Harvard Journal of Law and Gender, Vol. 38, Issue 1 (Winter 2015), pp. vii-xiv",38 Harv. Women's L.J. vii (2015),na,na,na,na
How Families Gain Recognition [reviews],"NeJaime, Douglas (Cited 873 times)",7723,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [116]-[118]",na,na,na,na,na
Biological and Social Approaches to the LGBT Family [reviews],"NeJaime, Douglas (Cited 873 times)",7723,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",na,na,na,9,na
"Status-Conduct, Old and New [reviews]","NeJaime, Douglas (Cited 873 times)",7723,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",na,na,na,7,na
Talking around Marriage [comments],"NeJaime, Douglas (Cited 873 times)",7723,"Loyola of Los Angeles Law Review, Vol. 45, Issue 3 (Spring 2012), pp. 675-692",na,na,na,36,na
Religious Exemptions and Antidiscrimination Law in Masterpiece Cakeshop [article],"NeJaime, Douglas (Cited 873 times); Siegel, Reva (Cited 6348 times)",7723,"Yale Law Journal Forum, Vol. 128, pp. 201-225",128 Yale L.J. F. 201 (2018-2019),na,na,na,na
A New Vision for LGBT Rights Critique and Reform [reviews],"NeJaime, Douglas (Cited 873 times)",7723,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-4",na,na,na,na,na
