Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Consumer Protection in Transnational Contexts [article],"Delisle, Jacques (Cited 174 times); Trujillo, Elizabeth (Cited 38 times)",6369,"American Journal of Comparative Law , Vol. 58, Issue - Supplement (2010), pp. 135-164",na,10,na,13,na
Mission Possible: Reciprocal Deference between Domestic Regulatory Structures and the WTO [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Cornell International Law Journal, Vol. 40, Issue 1 (Winter 2007), pp. 201-264",40 Cornell Int'l L.J. 201 (2007),8,na,8,na
State Action Antitrust Exemption Collides with Deregulation: Rehabilitating the Foreseeability Doctrine [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Fordham Journal of Corporate & Financial Law, Vol. 11, Issue 2 (2006), pp. 349-412",11 Fordham J. Corp. & Fin. L. 349 (2005-2006),4,na,3,na
City of Boerne v. Flores: Religious Free Exercise Pays a High Price for the Supreme Court's Retaliation on Congress [notes],"Trujillo, Elizabeth I. (Cited 38 times)",6369,"Houston Law Review, Vol. 36, Issue 2 (Summer 1999), pp. 645-678",na,4,na,4,na
A Dialogical Approach to Trade and Environment [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Journal of International Economic Law, Vol. 16, Issue 3 (September 2013), pp. 535-586",na,4,na,na,na
From Here to Beijing: Public/Private Overlaps in Trade and Their Effects on U.S. Law [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Loyola University Chicago Law Journal, Vol. 40, Issue 3 (Spring 2009), pp. 691-744",40 Loy. U. Chi. L.J. 691 (2008-2009),3,na,2,na
Shifting Paradigms of Parochialism: Lessons for International Trade Law [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Journal of International Law and International Relations, Vol. 3, Issue 2 (2007), pp. 41-56",3 J. Int'l L & Int'l Rel. 41 (2007),2,na,4,na
"Balancing Sustainability, the Right to Regulate, and the Need for Investor Protection: Lessons from the Trade Regime [comments]","Trujillo, Elizabeth (Cited 38 times)",6369,"Boston College Law Review, Vol. 59, Issue 8 (November 2018), pp. 2735-2764",na,1,na,39,na
International Trade and the Financial Crisis [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"American Society of International Law Proceedings, Vol. 104, pp. 438-443",na,1,na,3,na
Regulatory Cooperation in International Trade and Its Transformative Effects on Executive Power [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Indiana Journal of Global Legal Studies, Vol. 25, Issue 1 (2018), pp. 365-412",25 Ind. J. Global Legal Stud. 365 (2018),1,na,82,na
Consumer Protection in Transnational Contexts [article],"Delisle, Jacques (Cited 174 times); Trujillo, Elizabeth (Cited 38 times)",6369,"American Journal of Comparative Law Supplement, Vol. 58, pp. 135-164",na,na,na,21,na
Disaggregating the Regional-Multilateral Overlap: The NAFTA Looking-Glass [article],"Trujillo, Elizabeth (Cited 38 times)",6369,"Indiana International & Comparative Law Review, Vol. 19, Issue 3 (2009), pp. 553-568",19 Ind. Int'l & Comp. L. Rev. 553 (2009),na,na,6,na
Foreword: NAFTA as a Lesson for Globalization [comments],"Trujillo, Elizabeth (Cited 38 times)",6369,"University of Detroit Mercy Law Review, Vol. 81, pp. [xix]-[xxviii]",na,na,na,na,na
Prologo: TLCAN - Una Leccion Para la Globalization [comments],"Trujillo, Elizabeth (Cited 38 times)",6369,"University of Detroit Mercy Law Review, Vol. 81, pp. [xxxiii]-[xlii]",na,na,na,na,na
