Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Waiver Paradox [article],"Mazzone, Jason (Cited 532 times)",986,"Northwestern University Law Review, Vol. 97, Issue 2 (2002-2003), pp. 801-878",97 Nw. U. L. Rev. 801 (2002-2003),73,4,29,na
Freedom's Associations [article],"Mazzone, Jason (Cited 532 times)",986,"Washington Law Review, Vol. 77, Issue 3 , pp. 639-768",77 Wash. L. Rev. 639 (January 2002),67,7,12,na
Copyfraud [article],"Mazzone, Jason (Cited 532 times)",986,"New York University Law Review, Vol. 81, Issue 3 (June 2006), pp. 1026-1100",81 N.Y.U. L. Rev. 1026 (2006),49,na,20,na
The Bill of Rights in the Early State Courts [article],"Mazzone, Jason (Cited 532 times)",986,"Minnesota Law Review, Vol. 92, Issue 1 (November 2007), pp. 1-82",92 Minn. L. Rev. 1 (2007-2008),38,2,9,na
Administering Fair Use [article],"Mazzone, Jason (Cited 532 times)",986,"William and Mary Law Review, Vol. 51, Issue 2 (November 2009), pp. 395-438",na,37,na,18,na
Unamendments [article],"Mazzone, Jason (Cited 532 times)",986,"Iowa Law Review, Vol. 90, Issue 5 (May 2005), pp. 1747-1856",90 Iowa L. Rev. 1747 (2004-2005),33,na,12,na
When Courts Speak: Social Capital and Law's Expressive Function [article],"Mazzone, Jason (Cited 532 times)",986,"Syracuse Law Review, Vol. 49, Issue 3 (1999), pp. 1039-1066",49 Syracuse 1039 (1998-1999),30,na,19,na
When the Supreme Court is Not Supreme [article],"Mazzone, Jason (Cited 532 times)",986,"Northwestern University Law Review, Vol. 104, Issue 3 (2010), pp. 979-1066",104 Nw. U. L. Rev. 979 (2010),24,na,20,na
Facebook's Afterlife [article],"Mazzone, Jason (Cited 532 times)",986,"North Carolina Law Review, Vol. 90, Issue 5 (June 2012), pp. 1643-1686",na,24,3,51,na
The Security Constitution [article],"Mazzone, Jason (Cited 532 times)",986,"UCLA Law Review, Vol. 53, Issue 1 (October 2005), pp. 29-152",53 UCLA L. Rev. 29 (2005-2006),20,2,12,na
The Justice and the Jury [article],"Mazzone, Jason (Cited 532 times)",986,"Brooklyn Law Review , Vol. 72, Issue 1 (Fall 2006), pp. 35-60",na,16,na,13,na
The Commandeerer in Chief [article],"Mazzone, Jason (Cited 532 times)",986,"Notre Dame Law Review, Vol. 83, Issue 1 (November 2007), pp. 265-352",83 Notre Dame L. Rev. 265 (2007-2008),14,na,13,na
