Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Fixing Frand: A Pseudo-Pool Approach to Standards-Based Patent Licensing [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Antitrust Law Journal, Vol. 79, Issue 1 (2013), pp. 47-98",79 Antitrust L.J. 47 (2013),37,na,47,na
A Market Reliance Theory for FRAND Commitments and Other Patent Pledges [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Utah Law Review, Vol. 2015, Issue 2 (2015), pp. 479-vi",2015 Utah L. Rev. 479 (2015),22,na,33,na
Patent Pledges [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Arizona State Law Journal, Vol. 47, Issue 3 (Fall 2015), pp. 543-608",47 Ariz. St. L.J. 543 (2015),21,na,37,na
Unified Framework for RAND and Other Reasonable Royalties [article],"Contreras, Jorge L. (Cited 207 times); Gilbert, Richard J. (Cited 303 times)",8081,"Berkeley Technology Law Journal, Vol. 30, Issue 2 (Fall 2015), pp. 1451-1504",30 Berkeley Tech. L.J. 1451 (2015),19,na,26,na
Technical Standards and Ex Ante Disclosure: Results and Analysis of an Empirical Study [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Jurimetrics, Vol. 53, Issue 2 (Winter 2013), pp. 163-212",53 Jurimetrics 163 (2012-2013),19,na,9,na
A Brief History of Frand: Analyzing Current Debates in Standard Setting and Antitrust through a Historical Lens [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Antitrust Law Journal, Vol. 80, Issue 1 (2015), pp. 39-120",80 Antitrust L.J. 39 (2015-2016),15,na,5,na
"Data Sharing, Latency Variables, and Science Commons [article]","Contreras, Jorge L. (Cited 207 times)",8081,"Berkeley Technology Law Journal, Vol. 25, Issue 4 (Fall 2010), pp. 1601-1672",25 Berkeley Tech. L.J. 1601 (2010),9,na,12,na
"Standards, Patent, and the National Smart Grid [article]","Contreras, Jorge L. (Cited 207 times)",8081,"Pace Law Review, Vol. 32, Issue 3 (Summer 2012), pp. 641-675",na,8,na,11,na
Genetic Property [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Georgetown Law Journal, Vol. 105, Issue 1 (November 2016), pp. 1-54",105 Geo. L.J. 1 (2016-2017),6,na,66,na
"Bermuda's Legacy: Policy, Patents, and the Design of the Genome Commons [article]","Contreras, Jorge L. (Cited 207 times)",8081,"Minnesota Journal of Law, Science & Technology, Vol. 12, Issue 1 (2011), pp. 61-126",12 Minn. J.L. Sci. & Tech. 61 (2011),6,na,11,na
Mapping Today's Cybersecurity Landscape [comments],"Contreras, Jorge L. (Cited 207 times); DeNardis, Laura (Cited 9 times); Teplinsky, Melanie (Cited 5 times)",8081,"American University Law Review, Vol. 62, Issue 5 (June 2013), pp. 1113-1130",na,5,na,50,na
Developing a Framework for Arbitrating Standards-Essential Patent Disputes [article],"Contreras, Jorge L. (Cited 207 times); Newman, David L. (Cited 5 times)",8081,"Journal of Dispute Resolution, Vol. 2014, Issue 1 (2014), pp. 23-50",na,5,na,25,na
Copyright Termination and Technical Standards [article],"Contreras, Jorge L. (Cited 207 times); Hernacki, Andrew T. (Cited 28 times)",8081,"University of Baltimore Law Review, Vol. 43, Issue 2 (Spring 2014), pp. 221-254",43 U. Balt. L. Rev. 221 (2014),4,na,19,na
Intellectual Property Landscape of Material Sustainability Standards [article],"Contreras, Jorge L. (Cited 207 times); MacManis, Charles R. (Cited 3 times)",8081,"Columbia Science and Technology Law Review, Vol. 14, Issue 2 (Spring 2013), pp. 485-513",14 Colum. Sci. & Tech. L. Rev. 485 (2012-2013),3,na,3,na
"A Tale of Two Layers: Patents, Standardization, and the Internet [article]","Contreras, Jorge L. (Cited 207 times)",8081,"Denver Law Review, Vol. 93, Issue 4 (2016), pp. 855-898",93 Denv. L. Rev. 855 (2015-2016),3,na,19,na
From Private Ordering to Public Law: The Legal Frameworks Governing Standards-Essential Patents [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Harvard Journal of Law & Technology (Harvard JOLT), Vol. 30, Special Symposium (2017), pp. 211-232",30 Harv. J. L. & Tech. 211 (2016-2017),3,na,16,na
Model Jury Instructions for Reasonable Royalty Patent Damages [article],"Contreras, Jorge L. (Cited 207 times); Eixenberger, Michael A. (Cited 3 times)",8081,"Jurimetrics, Vol. 57, Issue 1 (Fall 2016), pp. 1-24",na,3,na,2,na
Rationalizing FRAND Royalties: Can Interpleader Save the Internet of Things [article],"Bartlett, Jason R. (Cited 3 times); Contreras, Jorge L. (Cited 207 times)",8081,"Review of Litigation, Vol. 36, Issue 2 (2017), pp. 285-334",36 Rev. Litig. 285 (2017-2018),3,na,51,na
Implementing Procedural Safeguards for the Development of Bioinformatics Interoperability Standards [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Northern Kentucky Law Review, Vol. 39, Issue 2 (2012), pp. 87-118",na,3,na,7,na
Narratives of Gene Patenting [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Florida State University Law Review, Vol. 43, Issue 4 (Winter 2016), pp. 1133-1200",43 Fla. St. U. L. Rev. 1133 (2015-2016),2,na,31,na
When a Stranger Calls: Standards Outsiders and Unencumbered Patents [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Journal of Competition Law and Economics, Vol. 12, Issue 3 (September 2016), pp. 507-540",na,2,na,na,na
"Confronting the Crisis in Scientific Publishing: Latency, Licensing, and Access [article]","Contreras, Jorge L. (Cited 207 times)",8081,"Santa Clara Law Review, Vol. 53, Issue 2 (2013), pp. 491-576",53 Santa Clara L. Rev. 491 (2013),2,na,11,na
Pre-Competition [article],"Contreras, Jorge L. (Cited 207 times); Vertinsky, Liza S. (Cited 19 times)",8081,"North Carolina Law Review, Vol. 95, Issue 1 (December 2016), pp. 67-132",95 N.C. L. Rev. 67 (2016-2017),2,na,27,na
Litigation of Standards-Essential Patents in Europe: A Comparative Analysis [article],"Contreras, Jorge L. (Cited 207 times); Gaessler, Fabian (Cited 1 times); Helmers, Christian (Cited 20 times); Love, Brian J. (Cited 335 times)",8081,"Berkeley Technology Law Journal, Vol. 32, Issue 4 (2017), pp. 1457-1488",32 Berkeley Tech. L.J. 1457 (2017),1,na,39,na
Frand Market Failure: IPXT'S Standards-Essential Patent License Exchange [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Chicago-Kent Journal of Intellectual Property, Vol. 15, Issue 2 (2016), pp. 419-440",15 Chi.-Kent J. Intell. Prop. 419 (2016),1,na,10,na
Patent Pledges: Between the Public Domain and Market Exclusivity [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Michigan State Law Review, Vol. 2015, Issue 2 (2015), pp. 787-792",2015 Mich. St. L. Rev. 787 (2015),1,na,11,na
Aggregated Royalties for Top-down FRAND Determinations: Revisiting Joint Negotiation [article],"Contreras, Jorge L. (Cited 207 times)",8081,"Antitrust Bulletin, Vol. 62, Issue 4 (December 2017), pp. 690-709",na,na,na,2,na
Liability (and) Rules for Health Information [article] *new*,"Contreras, Jorge L. (Cited 207 times); Nordfalk, Francisca",8081,"Health Matrix: Journal of Law-Medicine, Vol. 29, pp. 179-224",29 Health Matrix 179 (2019),na,na,na,na
"Intellectual Property, Surrogate Licensing, and Precision Medicine [article]","Sherkow, Jacob S. (Cited 77 times); Contreras, Jorge L. (Cited 207 times)",8081,"IP Theory, Vol. 7, Issue 2 (2018), pp. 1-20",7 IP Theory 1 (2017),na,na,44,na
Solar Climate Engineering and Intellectual Property: Toward a Research Commons [article],"Reynolds, Jesse L. (Cited 1 times); Contreras, Jorge L. (Cited 207 times); Sarnoff, Joshua D. (Cited 387 times)",8081,"Minnesota Journal of Law, Science and Technology, Vol. 18, Issue 1 (Winter 2017), pp. 1-110",18 Minn. J.L. Sci. & Tech. 1 (2017),na,na,27,na
Taking It to the Limit: Shifting U.S. Antitrust Policy toward Standards Development [comments],"Contreras, Jorge L. (Cited 207 times)",8081,"Minnesota Law Review Headnotes, Vol. 103, Issue 1 (Fall 2018), pp. 67-82",na,na,na,20,na
"No Matter How Small: Property, Autonomy, and State in Horton Hears a Who [article]","Contreras, Jorge L. (Cited 207 times)",8081,"New York Law School Law Review, Vol. 58, Issue 3 (2013-2014), pp. 603-616",na,na,na,9,na
Patent Working Requirements and Complex Products [article],"Contreras, Jorge L. (Cited 207 times); Lakshane, Rohini; Lewis, Paxton M.",8081,"New York University Journal of Intellectual Property & Entertainment Law (JIPEL), Vol. 7, Issue 1 (2017), pp. 1-50",7 NYU J. Intell. Prop. & Ent. L. 1 (2017-2018),na,na,15,na
Patents and Mobile Devices in India: An Empirical Survey [article],"Contreras, Jorge L. (Cited 207 times); Lakshane, Rohini",8081,"Vanderbilt Journal of Transnational Law, Vol. 50, Issue 1 (January 2017), pp. 1-44",50 Vand. J. Transnat'l L. 1 (2017),na,na,38,na
