Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Secularism and Human Rights: A Contextual Analysis of Headscarves, Religious Expression, and Women's Equality under International Law [article]","Bennoune, Karima (Cited 115 times)",1696,"Columbia Journal of Transnational Law, Vol. 45, Issue 2 (2007), pp. 367-426",45 Colum. J. Transnat'l L. 367 (2006-2007),26,na,145,na
Terror/Torture [article],"Bennoune, Karima (Cited 115 times)",1696,"Berkeley Journal of International Law, Vol. 26, Issue 1 (2008), pp. 1-61",26 Berkeley J. Int'l L. 1 (2008),24,na,48,na
Toward a Human Rights Approach to Armed Conflict: Iraq 2003 [article],"Bennoune, Karima (Cited 115 times)",1696,"U.C. Davis Journal of International Law & Policy, Vol. 11, Issue 1 (Fall 2004), pp. 171-228",na,20,na,39,na
As-Salamu Alaykum - Humanitarian Law in Islamic Jurisprudence [notes],"Bennoune, Karima (Cited 115 times)",1696,"Michigan Journal of International Law, Vol. 15, Issue 2 (Winter 1994), pp. 605-644",na,12,na,24,na
Remembering the Other's Others: Theorizing the Approach of International law to Muslim Fundamentalism [article],"Bennoune, Karima (Cited 115 times)",1696,"Columbia Human Rights Law Review, Vol. 41, Issue 3 (Spring 2010), pp. 635-698",41 Colum. Hum. Rts. L. Rev. 635 (2009-2010),9,na,13,na
Sovereignty vs. Suffering - Re-examining Sovereignty and Human Rights through the Lens of Iraq [article],"Bennoune, Karima (Cited 115 times)",1696,"European Journal of International Law , Vol. 13, Issue 1 (2002), pp. 243-262",na,9,na,na,na
Who Takes Responsibility - Afghan Women's Human Rights and the Role of the United States [article],"Bennoune, Karima (Cited 115 times)",1696,"Human Rights, Vol. 29, Issue 3 (Summer 2002), pp. 4-6",29 Hum. Rts. 4 (2002),6,1,7,na
Do We Need New International Law to Protect Women in Armed Conflict [article],"Bennoune, Karima (Cited 115 times)",1696,"Case Western Reserve Journal of International Law, Vol. 38, Issue 2 (2006-2007), pp. 363-392",na,4,na,14,na
Paradoxical Feminist Quest for Remedy: A Case Study of Jane Doe v. Islamic Salvation Front and Anouar Haddam [article],"Bennoune, Karima (Cited 115 times)",1696,"International Criminal Law Review, Vol. 11, Issue 3 (2011), pp. 579-588",na,2,na,8,na
Why Does It Matter If Women Are Human: Catharine MacKinnon's Contributions to International Law [article],"Bennoune, Karima (Cited 115 times)",1696,"Tulsa Law Review, Vol. 46, Issue 1 (Fall 2010), pp. 107-122",na,2,na,29,na
A Peace of Her [article],"Bennoune, Karima (Cited 115 times)",1696,"UCLA Journal of International Law and Foreign Affairs, Vol. 19, pp. 63-88",19 UCLA J. Int'l L. Foreign Aff. 63 (2015),1,na,17,na
Systeme Degage: Women and Transitional justice in the Wake of the Arab Spring [comments],"Bennoune, Karima (Cited 115 times)",1696,"American Society of International Law Proceedings, Vol. 106, Issue 1 (March 28-31, 2012), pp. 502-506",na,na,na,16,na
Acting TOGETHER to Stop Those Who Are Killing Us: International Law and the Civil Society Struggle against Jihadist Terrorism [comments],"Bennoune, Karima (Cited 115 times)",1696,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 143-152",na,na,na,22,na
Your Fatwa Does Not Apply Here: International Law and the Opponents of Holy Wars [article],"Bennoune, Karima (Cited 115 times)",1696,"FIU Law Review, Vol. 11, Issue 1 (Fall 2015), pp. 39-46",na,na,na,12,na
The War was Illegal [article],"Bennoune, Karima (Cited 115 times)",1696,"Guild Practitioner, Vol. 60, pp. 226-236",na,na,na,11,na
Toward a More Courageous Politics at the 60th Anniversary of the UDHR: Talking about Muslim Fundamentalism in the West [article],"Bennoune, Karima (Cited 115 times)",1696,"Maryland Journal of International Law, Vol. 24, Issue 1 (2009), pp. 125-134",na,na,na,8,na
Green Wave Blues: Women and Fundamentalism in North Africa after 2011 [article],"Bennoune, Karima (Cited 115 times)",1696,"Journal of Gender, Race, and Justice, Vol. 18, Issue 2 (Spring 2016), pp. 381-388",na,na,na,2,na
The Impact of Armed Conflict on Women [comments],"Bennoune, Karima (Cited 115 times)",1696,"Women's Rights Law Reporter, Vol. 24, Issue 3 (Summer/Fall 2003), pp. 173-178",na,na,na,11,na
Prevention of Human Trafficking I [comments],"Bennoune, Karima (Cited 115 times); Brundige, Elizabeth (Cited 2 times); Nessel, Lori (Cited 10 times); Vandenberg, Martina (Cited 10 times)",1696,"Women's Rights Law Reporter, Vol. 34, Issue 2/3 (Winter/Spring 2013), pp. 185-215",na,na,na,36,na
The Third Annual Katherine B. Fite Lecture: Perspectives from North Africa on the Arab Spring [comments],"Bennoune, Karima (Cited 115 times)",1696,"Studies in Transnational Legal Policy, Vol. 46, pp. 35-62",na,na,na,na,na
Green Wave Blues: Women and Fundamentalism in North Africa after 2011 [article],"Bennoune, Karima (Cited 115 times)",1696,"Transnational Law and Contemporary Problems, Vol. 24, Issue 2 (Fall 2015), pp. 333-340",na,na,na,2,na
Terror/Torture Redux [article],"Bennoune, Karima (Cited 115 times)",1696,"Tulane Journal of International and Comparative Law, Vol. 19, Issue 1 (Winter 2010), pp. 173-186",na,na,na,13,na
