Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Introduction of Biotech Foods to the Tort System: Creating a New Duty to Identify [article],"Van Tassel, Katharine (Cited 77 times)",1911,"University of Cincinnati Law Review, Vol. 72, Issue 4 (Summer 2004), pp. 1645-1706",72 U. Cin. L. Rev. 1645 (2003-2004),21,na,3,na
Hospital Peer Review Standards and Due Process: Moving from Tort Doctrine toward Contract Principles Based on Clinical Practice Guidelines [article],"Van Tassel, Katharine (Cited 77 times)",1911,"Seton Hall Law Review, Vol. 36, Issue 4 (2006), pp. 1179-1256",36 Seton Hall L. Rev. 1179 (2005-2006),18,5,7,na
"Slaying the Hydra: The History of Quack Medicine, the Obesity Epidemic and the FDA's Battle to Regulate Dietary Supplements Marketed as Weight Loss Aids [article]","Van Tassel, Katharine A. (Cited 77 times)",1911,"Indiana Health Law Review, Vol. 6, Issue 2 (2009), pp. 203-252",6 Ind. Health L. Rev. 203 (2009),12,na,16,na
Blacklisted: The Constitutionality of the Federal System for Publishing Reports of Bad Doctors in the National Practitioner Data Bank [article],"Van Tassel, Katharine A. (Cited 77 times)",1911,"Cardozo Law Review, Vol. 33, Issue 5 (June 2012), pp. 2031-2096",33 Cardozo L. Rev. 2031 (June 2012),11,3,8,na
The Growing Consumer Exposure to Nanotechnology in Everyday Products: Regulating Innovative Technologies in Light of Lessons from the Past [article],"Van Tassel, Katharine A. (Cited 77 times); Goldman, Rose H. (Cited 5 times)",1911,"Connecticut Law Review, Vol. 44, Issue 2 (December 2011), pp. 481-530",44 Conn. L. Rev. 481 (December 2011),5,na,11,na
"Harmonizing the Affordable Care Act with the Three Main National Systems for Healthcare Quality Improvement: The Tort, Licensure, and Hospital Peer Review Hearing Systems [article]","Van Tassel, Katharine (Cited 77 times)",1911,"Brooklyn Law Review, Vol. 78, Issue 3 (Spring 2013), pp. 883-928",78 Brook. L. Rev. 883 (2012-2013),4,na,10,na
"Using Clinical Practice Guidelines and Knowledge Translation Theory to Cure the Negative Impact of the National Hospital Peer Review Hearing System on Healthcare Quality, Cost, and Access [article]","Van Tassel, Katharine (Cited 77 times)",1911,"Pepperdine Law Review, Vol. 40, Issue 4 (2013), pp. 911-974",40 Pepp. L. Rev. 911 (2012-2013),3,na,14,na
"Regulating in Uncertainty: Animating the Public Health Product Safety Net to Capture Consumer Products Regulated by the FDA that Use Innovative Technologies, including Nanotechnologies, Genetic Modification, Cloning, and Lab Grown Meat [article]","Van Tassel, Katharine (Cited 77 times)",1911,"University of Chicago Legal Forum, Vol. 2013, pp. 433-488",na,1,na,27,na
Intellectual Property and Public Health - A White Paper [article],"Vacca, Ryan (Cited 73 times); Van Tassel, Katharine (Cited 77 times)",1911,"Akron Intellectual Property Journal, Vol. 7, Issue 1 (2014), pp. 39-60",7 Akron Intell. Prop. J. 39 (2014),na,na,9,na
"Modernizing the Emergency Medical Treatment and Labor Act to Harmonize with the Affordable Care Act to Improve Equality, Quality and Cost of Emergency Care [article]","Van Tassel, Katharine (Cited 77 times)",1911,"Houston Journal of Health Law & Policy, Vol. 15, pp. 131-172",na,na,na,9,na
