Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
"Between Indigence, Islamophobia, and Erasure: Poor and Muslim in War on Terror America [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"California Law Review, Vol. 104, Issue 6 (December 2016), pp. 1463-1502",na,18,na,145,na
Between Muslim and White: The Legal Construction of Arab American Identity [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"New York University Annual Survey of American Law, Vol. 69, Issue 1 (2013), pp. 29-76",69 N.Y.U. Ann. Surv. Am. L. 29 (2013-2014),14,7,66,na
Beyond the Paris Attacks: Unveiling the War within French Counterterror Policy [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"American University Law Review, Vol. 65, Issue 6 (August 2016), pp. 1273-1334",65 Am. U. L. Rev. 1273 (2015-2016),11,na,112,na
Antebellum Islam [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Howard Law Journal, Vol. 58, Issue 1 (Fall 2014), pp. 141-194",na,11,na,23,na
Reverse Passing [article],"Beydoun, Khaled A. (Cited 102 times); Wilson, Erika K. (Cited 67 times)",5464,"UCLA Law Review, Vol. 64, Issue 2 (February 2017), pp. 282-355",64 UCLA L. Rev. 282 (February 2017),10,na,74,na
Islamophobia: Toward a Legal Definition and Framework [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Columbia Law Review Online, Vol. 116, pp. 108-125",116 Colum. L. Rev. Online 108 (2016),9,na,70,na
Boxed In: Reclassification of Arab Americans on the U.S. Census as Progress or Peril [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Loyola University Chicago Law Journal, Vol. 47, Issue 3 (Spring 2016), pp. 693-760",47 Loy. U. Chi. L.J. 693 (Spring 2016),6,na,35,na
Muslim Bans and the (Re)Making of Political Islamophobia [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"University of Illinois Law Review, Vol. 2017, Issue 5 (2017), pp. 1733-1774",2017 U. Ill. L. Rev. 1733 (2017),5,na,188,na
Fast Tracking Women into Parliamentary Seats in the Arab World [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Southwestern Journal of International Law, Vol. 17, Issue 1 (2011), pp. 63-110",17 Sw. J. Int'l L. 63 (2011),4,na,6,na
Acting Muslim [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 53, Issue 1 (Winter 2018), pp. 1-64",53 Harv. C.R.-C.L. L. Rev. 1 (2018),2,na,174,na
"Laicite, Liberalism, and the Headscarg [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"Journal of Islamic Law & Culture, Vol. 10, Issue 2 (July 2008), pp. 188-212",10 J. Islamic L. & Culture 188 (2008),2,na,29,na
Islam Incarcerated: Religious Accomodation of Muslim Prisoners before Holt v. Hobbs [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"University of Cincinnati Law Review, Vol. 84, Issue 1 (2016), pp. 99-152",84 U. Cin. L. Rev. 99 (2016),1,na,13,na
Why Ferguson Is Our Issue: A Letter to Muslim America [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Harvard Journal on Racial & Ethnic Justice, Vol. 31, pp. 1-6",31 Harv. J.Racial & Ethnic Just. 1 (2015),1,na,33,na
"Bisecting American Islam: Divide, Conquer, and Counter-Radicalization [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"Hastings Law Journal, Vol. 69, Issue 2 (February 2018), pp. 429-498",69 Hastings L.J. 429 (2017-2018),1,na,31,na
"America, Islam, and Constitutionalism: Muslim American Poverty and the Mounting Police State [comments]","Beydoun, Khaled A. (Cited 102 times)",5464,"Journal of Law and Religion, Vol. 31, Issue 3 (November 2016), pp. 279-292",na,1,na,na,na
"9/11 and 11/9: The Law, Lives and Lies That Bind [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"CUNY Law Review, Vol. 20, Issue 2 (2017), pp. 455-466",20 CUNY L. Rev. 455 (2016-2017),na,na,5,na
"Lone Wolf Terrorism: Types, Stripes, and Double Standards [comments]","Beydoun, Khaled A. (Cited 102 times)",5464,"Northwestern University Law Review, Vol. 112, Issue 5 (2018), pp. 1213-1244",na,na,na,186,na
Muslim Bans and the Re-Making of Political Islamophobia [article] *new*,"Beydoun, Khaled A. (Cited 102 times)",5464,"Immigration and Nationality Law Review, Vol. 38, pp. 37-78",na,na,na,na,na
A Demographic Threat: Proposed Reclassification of Arab Americans on the 2020 Census [article],"Beydoun, Khaled A. (Cited 102 times)",5464,"Michigan Law Review First Impressions, Vol. 114, pp. 1-8",114 Mich. L. Rev. First Impressions 1 (2015),na,na,12,na
Les Bleus and Black: A Football Elegy to French Colorblindness [comments],"Beydoun, Khaled A. (Cited 102 times)",5464,"Minnesota Law Review Headnotes, Vol. 103, Issue 1 (Fall 2018), pp. 20-27",na,na,na,9,na
"Lone Wolf Terrorism: Types, Stripes and Double Standards [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"Northwestern University Law Review Online, Vol. 112, pp. 187-216",112 Nw. U. L. Rev. Online 187 (2017-2018),na,na,31,na
"On Islamophobia, Immigration, and the Muslims Bans [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"Ohio Northern University Law Review, Vol. 43, Issue 3 (2017), pp. 443-458",na,na,na,118,na
"15 Years after 9/11: Where We Were, and Where We Are [article]","Beydoun, Khaled A. (Cited 102 times)",5464,"Tennessee Law Review, Vol. 84, Issue 3 (Spring 2017), pp. 599-602",84 Tenn. L. Rev. 599 (2016-2017),na,na,63,na
The Ban and the Borderlands within: The Travel Ban as a Domestic War on Terror Tool [comments],"Beydoun, Khaled A. (Cited 102 times)",5464,"Stanford Law Review Online, Vol. 71, pp. 251-266",na,na,na,na,na
