Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Things Fall Apart: Regulating the Credit Default Swap Commons [article],"Johnson, Kristin N. (Cited 176 times)",3525,"University of Colorado Law Review, Vol. 82, Issue 1 (2011), pp. 167-258",82 U. Colo. L. Rev. 167 (2011),53,5,34,na
Addressing Gaps in the Dodd-Frank Act: Directors' Risk Management Oversight Obligations [article],"Johnson, Kristin N. (Cited 176 times)",3525,"University of Michigan Journal of Law Reform, Vol. 45, Issue 1 (Fall 2011), pp. 55-112",45 U. Mich. J.L. Reform 55 (2011-2012),36,1,66,na
Governing Financial Markets: Regulating Conflicts [article],"Johnson, Kristin N. (Cited 176 times)",3525,"Washington Law Review, Vol. 88, Issue 1 (March 2013), pp. 185-244",88 Wash. L. Rev. 185 (2013),27,na,30,na
Macroprudential Regulation: A Sustainable Approach to Regulating Financial Markets [article],"Johnson, Kristin N. (Cited 176 times)",3525,"University of Illinois Law Review, Vol. 2013, Issue 3 (2013), pp. 881-918",na,16,na,17,na
Clearinghouse Governance: Moving beyond Cosmetic Reform [comments],"Johnson, Kristin N. (Cited 176 times)",3525,"Brooklyn Law Review, Vol. 77, Issue 2 (Winter 2012), pp. 681-708",na,15,na,4,na
From Diagnosing the Dilemma to Divining a Cure: Post-Crisis Regulation of Financial Markets [article],"Johnson, Kristin N. (Cited 176 times)",3525,"Seton Hall Law Review, Vol. 40, Issue 4 (2010), pp. 1299-1322",na,11,na,17,na
Managing Cyber Risks [comments],"Johnson, Kristin N. (Cited 176 times)",3525,"Georgia Law Review, Vol. 50, Issue 2 (Winter 2016), pp. 547-592",na,6,na,73,na
New Guiding Principles: Macroprudential Solutions to Risk Management Oversight and Systemic Risk Concerns [article],"Johnson, Kristin N. (Cited 176 times); Ramirez, Steven A. (Cited 667 times)",3525,"University of St. Thomas Law Journal, Vol. 11, Issue 3 (2014), pp. 386-426",11 U. St. Thomas L.J. 386 (2013-2014),3,na,12,na
Cyber Risks: Emerging Risk Management Concerns for Financial Institutions [article],"Johnson, Kristin N. (Cited 176 times)",3525,"Georgia Law Review, Vol. 50, Issue 1 (Fall 2015), pp. 131-142",na,3,na,65,na
Banking on Diversity: Does Gender Diversity Improve Financial Firms Risk Oversight [article],"Johnson, Kristin N. (Cited 176 times)",3525,"SMU Law Review, Vol. 70, Issue 2 (Spring 2017), pp. 327-376",70 S.M.U. L. Rev. 327 (2017),3,na,46,na
Regulating Innovation: High Frequency Trading in Dark Pools [article],"Johnson, Kristin N. (Cited 176 times)",3525,"Journal of Corporation Law, Vol. 42, Issue 4 (Summer 2017), pp. 833-886",42 J. Corp. L. 833 (2016-2017),1,na,55,na
