Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Second Adoption of the Establishment Clause: The Rise of the Nonestablishment Principle [article],"Lash, Kurt T. (Cited 875 times)",8046,"Arizona State Law Journal, Vol. 27, Issue 4 (Winter 1995), pp. 1085-1154",27 Ariz. St. L.J. 1085 (1995),127,5,10,na
Second Adoption of the Free Exercise Clause: Religious Exemptions under the Fourteenth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"Northwestern University Law Review , Vol. 88, Issue 3 , pp. 1106-1156",88 Nw. U. L. Rev. 1106 (1993-1994),109,na,13,na
The Lost Original Meaning of the Ninth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"Texas Law Review, Vol. 83, Issue 2 (December 2004), pp. 331-430",83 Tex L. Rev. 331 (December 2004),72,3,10,na
"Originalism, Popular Sovereignty, and Reverse Stare Decisis [article]","Lash, Kurt T. (Cited 875 times)",8046,"Virginia Law Review, Vol. 93, Issue 6 (October 2007), pp. 1437-1482",na,71,7,10,na
The Lost Jurisprudence of the Ninth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"Texas Law Review, Vol. 83, Issue 3 (February 2005), pp. 597-716",83 Tex L. Rev. 597 (February 2005),49,1,3,na
A Textual-Historical Theory of the Ninth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"Stanford Law Review , Vol. 60, Issue 4 (February 2008), pp. 895-936",60 Stan. L. Rev. 895 (February 2008),42,2,11,na
The Constitutional Convention of 1937: The Original Meaning of the New Jurisprudential Deal [article],"Lash, Kurt T. (Cited 875 times)",8046,"Fordham Law Review, Vol. 70, Issue 2 (November 2001), pp. 459-526",70 Fordham L. Rev. 459 (2001-2002),41,na,11,na
"The Origins of the Privileges or Immunities Clause, Part I: Privileges and Immunities as an Antebellum Term of Art [article]","Lash, Kurt T. (Cited 875 times)",8046,"Georgetown Law Journal, Vol. 98, Issue 5 (June 2010), pp. 1241-1302",98 Geo. L.J. 1241 (2009-2010),38,10,11,na
"The Origins of the Privileges or Immunities Clause, Part II: John Bingham and the Second Draft of the Fourteenth Amendment [article]","Lash, Kurt T. (Cited 875 times)",8046,"Georgetown Law Journal, Vol. 99, Issue 2 (January 2011), pp. 329-434",99 Geo. L.J. 329 (2010-2011),36,na,23,na
"The Original Meaning of an Omission: The Tenth Amendment, Popular Sovereignty, and Expressly Delegated Power [article]","Lash, Kurt T. (Cited 875 times)",8046,"Notre Dame Law Review, Vol. 83, Issue 5 (July 2008), pp. 1889-1956",83 Notre Dame L. Rev. 1889 (2007-2008),33,na,31,na
James Madison's Celebrated Report of 1800: The Transformation of the Tenth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"George Washington Law Review, Vol. 74, Issue 2 (February 2006), pp. 165-200",74 Geo. Wash. L. Rev. 165 (2005-2006),27,na,15,na
The Inescapable Federalism of the Ninth Amendment [article],"Lash, Kurt T. (Cited 875 times)",8046,"Iowa Law Review, Vol. 93, Issue 3 (March 2008), pp. 801-880",93 Iowa L. Rev. 801 (2007-2008),27,na,4,na
Power and the Subject of Religion [article],"Lash, Kurt T. (Cited 875 times)",8046,"Ohio State Law Journal, Vol. 59, Issue 4 (1998), pp. 1069-1154",59 Ohio St. L.J. 1069 (1998),27,na,4,na
Minority Report: John Marshall and the Defense of the Alien and Sedition Acts [article],"Lash, Kurt T. (Cited 875 times); Harrison, Alicia (Cited 21 times)",8046,"Ohio State Law Journal, Vol. 68, Issue 2 (2007), pp. 435-516",68 Ohio St. L.J. 435 (2007),21,na,31,na
Leaving the Chisholm Trail: The Eleventh Amendment and the Background Principle of Strict Construction [article],"Lash, Kurt T. (Cited 875 times)",8046,"William and Mary Law Review, Vol. 50, Issue 5 (April 2009), pp. 1577-1698",50 Wm. & Mary L. Rev. 1577 (2008-2009),17,na,9,na
Beyond Incorporation [article],"Lash, Kurt T. (Cited 875 times)",8046,"Journal of Contemporary Legal Issues, Vol. 18, Issue 1 (2009), pp. 447-468",na,14,na,8,na
Two Movements of a Constitutional Symphony: Akhil Reed Amar's The Bill of Rights [comments],"Lash, Kurt T. (Cited 875 times)",8046,"University of Richmond Law Review, Vol. 33, Issue 2 (March 1999), pp. 485-510",na,13,na,7,na
