Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Arrest Efficiency an the Fourth Amendment [article],"Richardson, L. Song (Cited 417 times)",2159,"Minnesota Law Review, Vol. 95, Issue 6 (2011), pp. 2035-2098",95 Minn. L. Rev. 2035 (2010-2011),103,2,35,na
Implicit Racial Bias in Public Defender Triage [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",2159,"Yale Law Journal, Vol. 122, Issue 8 (June 2013), pp. 2626-2649",122 Yale L. J. 2626 (2012-2013),60,na,178,na
Police Efficiency and the Fourth Amendment [article],"Richardson, L. Song (Cited 417 times)",2159,"Indiana Law Journal, Vol. 87, Issue 3 (Summer 2012), pp. 1143-1182",87 Ind. L.J. 1143 (2012),59,na,47,na
Self Defense and the Suspicion Heuristic [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",2159,"Iowa Law Review, Vol. 98, Issue 1 (November 2012), pp. 293-336",na,51,na,56,na
Police Racial Violence: Lessons from Social Psychology [article],"Richardson, L. Song (Cited 417 times)",2159,"Fordham Law Review, Vol. 83, Issue 6 (May 2015), pp. 2961-2976",na,28,na,319,na
"Cognitive Bias, Police Character, and the Fourth Amendment [article]","Richardson, L. Song (Cited 417 times)",2159,"Arizona State Law Journal, Vol. 44, Issue 1 (Spring 2012), pp. 267-304",na,27,1,74,na
Interrogating Racial Violence [article],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",2159,"Ohio State Journal of Criminal Law, Vol. 12, Issue 1 (Fall 2014), pp. 115-152",na,25,na,53,na
Systemic Triage: Implicit Racial Bias in the Criminal Courtroom [reviews],"Richardson, L. Song (Cited 417 times)",2159,"Yale Law Journal, Vol. 126, Issue 3 (January 2017), pp. 862-893",na,13,na,106,na
Racial Anxiety [article],"Godsil, Rachel D. (Cited 349 times); Richardson, L. Song (Cited 417 times)",2159,"Iowa Law Review, Vol. 102, Issue 5 (July 2017), pp. 2235-2264",102 Iowa L. Rev. 2235 (2016-2017),11,na,67,na
When Human Experimentation is Criminal [article],"Richardson, L. Song (Cited 417 times)",2159,"Journal of Criminal Law and Criminology , Vol. 99, Issue 1 (Fall 2008), pp. 89-134",na,8,na,14,na
Police Unions [article],"Fisk, Catherine L. (Cited 1106 times); Richardson, L. Song (Cited 417 times)",2159,"George Washington Law Review, Vol. 85, Issue 3 (May 2017), pp. 712-799",85 Geo. Wash. L. Rev. 712 (2017),7,na,109,na
Implicit Racial Bias and Racial Anxiety: Implications for Stops and Frisks [article],"Richardson, L. Song (Cited 417 times)",2159,"Ohio State Journal of Criminal Law, Vol. 15, Issue 1 (Fall 2017), pp. 73-88",na,6,na,63,na
Convicting the Innocent in Transnational Criminal Cases: A Comparative Institutional Analysis Approach to the Problem [article],"Richardson, L. Song (Cited 417 times)",2159,"Berkeley Journal of International Law, Vol. 26, Issue 1 (2008), pp. 62-110",26 Berkeley J. Int'l L. 62 (2008),4,na,10,na
Implicit Racial Bias and the Perpetrator Perspective: A Response to Reasonable but Unconstitutional [comments],"Richardson, L. Song (Cited 417 times)",2159,"George Washington Law Review, Vol. 83, Issue 3 (April 2015), pp. 1008-1022",na,4,na,21,na
The Black Police: Policing Our Own [reviews],"Carbado, Devon W. (Cited 1657 times); Richardson, L. Song (Cited 417 times)",2159,"Harvard Law Review, Vol. 131, Issue 7 (May 2018), pp. 1979-2026",na,3,2,98,na
Patient Negligence [article],"Goodwin, Michele (Cited 420 times); Richardson, L. Song (Cited 417 times)",2159,"Law and Contemporary Problems, Vol. 72, Issue 4 (Fall 2009), pp. 223-250",na,3,na,20,na
Due Process for the Global Crime Age: A Proposal [article],"Richardson, L. Song (Cited 417 times)",2159,"Cornell International Law Journal, Vol. 41, Issue 2 (Summer 2008), pp. 347-382",41 Cornell Int'l L.J. 347 (2008),2,na,10,na
Race and Objective Reasonableness in Use of Force Cases: An Introduction to Some Relevant Social Science [article],"Rutbeck-Goldman, Ariela (Cited 1 times); Richardson, L. Song (Cited 417 times)",2159,"Alabama Civil Rights & Civil Liberties Law Review, Vol. 8, Issue 1 (2017), pp. 145-[vi]",8 Ala. C.R. & C.L. L. Rev. 145 (2017),1,na,12,na
From Interraciality to Racial Realism [reviews],"Richardson, L. Song (Cited 417 times); Goff, Phillip Atiba (Cited 143 times)",2159,"Texas Law Review, Vol. 92, Issue 3 (February 2014), pp. 669-688",na,1,na,6,na
