Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Expressive Theories of Law: A Skeptical Overview [article],"Adler, Matthew D. (Cited 1526 times)",2676,"University of Pennsylvania Law Review, Vol. 148, Issue 5 (May 2000), pp. 1363-1502",148 U. Pa. L. Rev. 1363 (1999-2000),216,na,57,na
Rethinking Cost-Benefit Analysis [article],"Adler, Matthew D. (Cited 1526 times); Posner, Eric A. (Cited 6076 times)",2676,"Yale Law Journal, Vol. 109, Issue 2 (1999), pp. 165-248",109 Yale L.J. 165 (1999),213,na,127,na
Rights against Rules: The Moral Structure of American Constitutional Law [article],"Adler, Matthew D. (Cited 1526 times)",2676,"Michigan Law Review, Vol. 97, Issue 1 (October 1998), pp. 1-173",97 Mich. L. Rev. 1 (1998-1999),125,1,19,na
"The New Etiquette of Federalism: New York, Printz, and Yeskey [article]","Adler, Matthew D. (Cited 1526 times); Kreimer, Seth F. (Cited 1555 times)",2676,"Supreme Court Review, Vol. 1998, pp. 71-144",1998 Sup. Ct. Rev. 71 (1998),100,1,11,na
Judicial Restraint in the Administrative State: Beyond the Countermajoritarian Difficulty [article],"Adler, Matthew D. (Cited 1526 times)",2676,"University of Pennsylvania Law Review, Vol. 145, Issue 4 (April 1997), pp. 759-892",145 U. Pa. L. Rev. 759 (1996-1997),91,na,10,na
Law and Imcommensurability: Introduction [article],"Adler, Matthew (Cited 1526 times)",2676,"University of Pennsylvania Law Review, Vol. 146, Issue 5 (June 1998), pp. 1169-1184",na,68,na,10,na
Constiutional Existence Conditions and Judicial Review [article],"Adler, Matthew D. (Cited 1526 times); Dorf, Michael C. (Cited 3393 times)",2676,"Virginia Law Review, Vol. 89, Issue 6 (October 2003), pp. 1105-1202",na,67,na,12,na
Implementing Cost-Benefit Analysis When Preferences Are Distorted [comments],"Adler, Matthew D. (Cited 1526 times); Posner, Eric A. (Cited 6076 times)",2676,"Journal of Legal Studies, Vol. 29, Issue 2 - Part 2 (June 2000), pp. 1105-1148",na,66,na,na,na
"Risk, Death and Harm: The Normative Foundations of Risk Regulation [article]","Adler, Matthew D. (Cited 1526 times)",2676,"Minnesota Law Review, Vol. 87, Issue 5 (May 2003), pp. 1293-1446",87 Minn. L. Rev. 1293 (May 2003),59,na,23,na
Incommensurability and Cost-Benefit Analysis [article],"Adler, Matthew (Cited 1526 times)",2676,"University of Pennsylvania Law Review, Vol. 146, Issue 5 (June 1998), pp. 1371-1418",146 U. Pa. L. Rev. 1371 (1997-1998),55,na,14,na
