Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Networked Family: Reframing the Legal Understanding of Caregiving and Caregivers [article],"Murray, Melissa (Cited 603 times)",6698,"Virginia Law Review, Vol. 94, Issue 2 (April 2008), pp. 385-456",94 Va. L. Rev. 385 (April 2008),114,na,35,na
"Strange Bedfellows: Criminal Law, Family Law, and the Legal Construction of Intimate Life [article]","Murray, Melissa (Cited 603 times)",6698,"Iowa Law Review , Vol. 94, Issue 4 (May 2009), pp. 1253-1314",94 Iowa L. Rev. 1253 (May 2009),78,na,38,na
Disestablishing the Family [article],"Ristroph, Alice (Cited 441 times); Murray, Melissa (Cited 603 times)",6698,"Yale Law Journal , Vol. 119, Issue 6 (April 2010), pp. 1236-1279",119 Yale L. J. 1236 (April 2010),72,na,20,na
Marriage as Punishment [article],"Murray, Melissa (Cited 603 times)",6698,"Columbia Law Review, Vol. 112, Issue 1 (January 2012), pp. 1-65",112 Colum. L. Rev. 1 (2012),72,na,na,na
What's So New about the New Illegitimacy [article],"Murray, Melissa (Cited 603 times)",6698,"American University Journal of Gender, Social Policy & the Law, Vol. 20, Issue 3 (2012), pp. 387-436",na,55,na,22,na
Obergefell v. Hodges and Nonmarriage Inequality [comments],"Murray, Melissa (Cited 603 times)",6698,"California Law Review, Vol. 104, Issue 5 (October 2016), pp. 1207-1258",na,37,na,301,na
"Marriage Rights and Parental Rights: Parents, the State, and Proposition 8 [article]","Murray, Melissa (Cited 603 times)",6698,"Stanford Journal of Civil Rights & Civil Liberties, Vol. 5, Issue 2 (October 2009), pp. 357-408",na,37,na,23,na
Equal Rites and Equal Rights [comments],"Murray, Melissa (Cited 603 times)",6698,"California Law Review, Vol. 96, Issue 5 (October 2008), pp. 1395-1404",na,27,na,6,na
Family Law's Doctrine [article],"Murray, Melissa (Cited 603 times)",6698,"University of Pennsylvania Law Review, Vol. 163, Issue 7 (June 2015), pp. 1985-2018",163 U. Pa. L. Rev. 1985 (2014-2015),16,na,11,na
Paradigms Lost: How Domestic Partnership Went from Innovation to Injury [article],"Murray, Melissa (Cited 603 times)",6698,"New York University Review of Law & Social Change, Vol. 37, Issue 1 (2013), pp. 291-306",na,16,na,22,na
"When War Is Work: The G.I. Bill, Citizenship, and the Civic Generation [article]","Murray, Melissa (Cited 603 times)",6698,"California Law Review, Vol. 96, Issue 4 (August 2008), pp. 967-998",96 Calif. L. Rev. 967 (2008),15,na,16,na
Accommodating Nonmarriage [article],"Murray, Melissa (Cited 603 times)",6698,"Southern California Law Review, Vol. 88, Issue 3 (March 2015), pp. 661-702",na,14,na,42,na
Rights and Regulation: The Evolution of Sexual Regulation [comments],"Murray, Melissa (Cited 603 times)",6698,"Columbia Law Review, Vol. 116, Issue 2 (March 2016), pp. 573-624",na,11,na,26,na
Griswold's Criminal Law [article],"Murray, Melissa (Cited 603 times)",6698,"Connecticut Law Review, Vol. 47, Issue 4 (May 2015), pp. 1045-1074",na,9,na,10,na
"Black Marriage, White People, Red Herrings [reviews]","Murray, Melissa (Cited 603 times)",6698,"Michigan Law Review, Vol. 111, Issue 6 (April 2013), pp. 977-1000",na,8,na,5,na
Overlooking Equality on the Road to Griswold [article],"Murray, Melissa (Cited 603 times)",6698,"Yale Law Journal Forum, Vol. 124, pp. 324-331",124 Yale L.J. F. 324 (2014-2015),6,na,6,na
The Space Between: The Cooperative Regulation of Criminal Law and Family Law [article],"Murray, Melissa (Cited 603 times)",6698,"Family Law Quarterly, Vol. 44, Issue 2 (Summer 2010), pp. 227-254",na,5,na,10,na
Loving's Legacy: Decriminalization and the Regulation of Sex and Sexuality [article],"Murray, Melissa (Cited 603 times)",6698,"Fordham Law Review, Vol. 86, Issue 6 (May 2018), pp. 2671-2700",na,3,na,44,na
Crossing the (Color) Line [comments],"Murray, Melissa (Cited 603 times)",6698,"Journal of Gender, Race & Justice, Vol. 16, Issue 3 (Summer 2013), pp. 667-680",na,2,na,5,na
Teaching Gender as a Core Value: The Softer Side of Criminal Law [article],"Murray, Melissa (Cited 603 times)",6698,"Oklahoma City University Law Review, Vol. 36, Issue 2 (Summer 2011), pp. 525-530",na,1,na,5,na
Lunching with a Legend: A Tribute to Herma [article],"Murray, Melissa (Cited 603 times)",6698,"California Law Review, Vol. 104, Issue 2 (April 2016), pp. 587-590",na,na,na,6,na
What's So New about the New Illegitimacy [article],"Murray, Melissa (Cited 603 times)",6698,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 12, pp. 387-436",12 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 387 (2012-2013),na,na,2,na
"Consequential Sex: #MeToo, Masterpiece Cakeshop, and Private Sexual Regulation [article]","Murray, Melissa (Cited 603 times)",6698,"Northwestern University Law Review, Vol. 113, Issue 4 (2018), pp. 825-884",113 Nw. U. L. Rev. 825 (2018-2019),na,na,na,na
A Hug from the State: Recognizing Stillbirths [reviews],"Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2012, pp. [297]-[299]",na,na,na,na,na
The Oppression of Analogy [reviews],"Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [291]-[293]",na,na,na,na,na
Reframing and Reclaiming Pregnancy and Abortion [reviews],"Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [469]-[471]",na,na,na,na,na
Undoing Hellerstedt [reviews],"Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",na,na,na,7,na
Good Faith in Franchising [article],"Barreto, Paula Mena; Bortolotti, Silvia; Murray, Melissa (Cited 603 times); Porzio, Cristobal; Simons, Josh",6698,"International Journal of Franchising Law, Vol. 13, Issue 5 (2015), pp. 17-31",13 Int'l J. Franchising L. 17 (2015),na,na,18,na
What if Your Franchisee Becomes Insolvent [article],"Attard, Corinne; Brinkley, Timothy; Murray, Melissa (Cited 603 times)",6698,"International Journal of Franchising Law, Vol. 15, Issue 4 (2017), pp. 9-22",15 Int'l J. Franchising L. 9 (2017),na,na,na,na
Same Sex and the City [reviews],"Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [393]-[395]",na,na,na,na,na
The Next Chapter in the Struggle for LGBTQIA Equality: Transcript [comments],"Shapiro, Steven (Cited 15 times); Murray, Melissa (Cited 603 times); Cathcart, Kevin M.; Byard, Eliza",6698,"New York University Journal of Legislation and Public Policy, Vol. 19, Issue 3 (2016), pp. 469-508",na,na,na,8,na
Inequality Frontiers [article],"Murray, Melissa (Cited 603 times)",6698,"Yale Law Journal Forum, Vol. 122, pp. 235-242",122 Yale L.J. F. 235 (2012-2013),na,na,5,na
Sex and the Schoolhouse [reviews],"Murray, Melissa (Cited 603 times)",6698,"Harvard Law Review, Vol. 132, Issue 5 (March 2019), pp. 1445-1489",na,na,na,na,na
"Families, Inc. [reviews]","Murray, Melissa (Cited 603 times)",6698,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-3",na,na,na,na,na
