Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Making Credit Safer [article],"Bar-Gill, Oren (Cited 1191 times); Warren, Elizabeth (Cited 2489 times)",4391,"University of Pennsylvania Law Review, Vol. 157, Issue 1 (November 2008), pp. 1-102",157 U. Pa. L. Rev. 1 (2008-2009),267,11,138,na
Seduction by Plastic [article],"Bar-Gill, Oren (Cited 1191 times)",4391,"Northwestern University Law Review, Vol. 98, Issue 4 (2004), pp. 1373-1434",98 Nw. U. L. Rev. 1373 (2003-2004),201,2,70,na
"The Law, Economics and Psychology of Subprime Mortgage Contracts [article]","Bar-Gill, Oren (Cited 1191 times)",4391,"Cornell Law Review, Vol. 94, Issue 5 (July 2009), pp. 1073-1152",94 Cornell L. Rev. 1073 (2008-2009),106,4,95,na
The Behavioral Economics of Consumer Contracts [comments],"Bar-Gill, Oren (Cited 1191 times)",4391,"Minnesota Law Review, Vol. 92, Issue 3 (February 2008), pp. 749-802",na,96,na,106,na
Taking Warrants Seriously [article],"Bar-Gill, Oren (Cited 1191 times); Friedman, Barry (Cited 3897 times)",4391,"Northwestern University Law Review, Vol. 106, Issue 4 (Fall 2012), pp. 1609-1674",106 Nw. U. L. Rev. 1609 (Fall 2012),54,3,33,na
The Value of Giving Away Secrets [article],"Bar-Gill, Oren (Cited 1191 times); Parchomovsky, Gideon (Cited 2006 times)",4391,"Virginia Law Review, Vol. 89, Issue 8 (December 2003), pp. 1857-1896",na,36,na,10,na
Bundling and Consumer Misperception [article],"Bar-Gill, Oren (Cited 1191 times)",4391,"University of Chicago Law Review, Vol. 73, Issue 1 (Winter 2006), pp. 33-62",na,34,na,23,na
Credit Card Pricing: The Card Act and Beyond [article],"Bar-Gill, Oren (Cited 1191 times); Bubb, Ryan (Cited 177 times)",4391,"Cornell Law Review, Vol. 97, Issue 5 (July 2012), pp. 967-1018",na,33,na,50,na
A Marketplace for Idea [article],"Bar-Gill, Oren (Cited 1191 times); Parchomovsky, Gideon (Cited 2006 times)",4391,"Texas Law Review, Vol. 84, Issue 2 (December 2005), pp. 395-432",na,32,na,4,na
Law and the Boundaries of Technology-Intensive Firms [article],"Bar-Gill, Oren (Cited 1191 times); Parchomovsky, Gideon (Cited 2006 times)",4391,"University of Pennsylvania Law Review, Vol. 157, Issue 6 (June 2009), pp. 1649-1690",157 U. Pa. L. Rev. 1649 (2008-2009),31,na,3,na
Credible Coercion [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Texas Law Review, Vol. 83, Issue 3 (February 2005), pp. 717-780",83 Tex L. Rev. 717 (February 2005),31,2,32,na
Plea Bargains Only for the Guilty [article],"Bar-Gill, Oren (Cited 1191 times); Ayal, Oren Gazal (Cited 27 times)",4391,"Journal of Law and Economics, Vol. 49, Issue 1 (April 2006), pp. 353-364",49 J.L. & Econ. 353 (2006),27,na,31,na
The Prisoners' (Plea Bargain) Dilemma [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Journal of Legal Analysis, Vol. 1, Issue 2 (Summer 2009), pp. 737-[ii]",1 J. Legal Analysis 737 (2009),23,na,44,na
Empty Promises [article],"Bar-Gill, Oren (Cited 1191 times); Davis, Kevin (Cited 124 times)",4391,"Southern California Law Review, Vol. 84, Issue 1 (November 2010), pp. 1-46",84 S. Cal. L. Rev. 1 (2010-2011),21,1,22,na
The Law of Duress and the Economics of Credible Threats [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Journal of Legal Studies, Vol. 33, Issue 2 (June 2004), pp. 391-430",33 J. Legal Stud. 391 (2004),19,na,11,na
An Information Theory of Willful Breach [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Michigan Law Review, Vol. 107, Issue 8 (June 2009), pp. 1479-1500",107 Mich. L. Rev. 1479 (2008-2009),18,1,22,na
Informing Consumers about Themselves [article],"Bar-Gill, Oren (Cited 1191 times); Ferrari, Franco (Cited 263 times)",4391,"Erasmus Law Review, Vol. 3, Issue 2 (2010), pp. 93-120",na,17,na,39,na
Mobile Misperceptions [article],"Bar-Gill, Oren (Cited 1191 times); Stone, Rebecca (Cited 27 times)",4391,"Harvard Journal of Law & Technology, Vol. 23, Issue 1 (Fall 2009), pp. 49-118",23 Harv. J. L. & Tech. 49 (2009-2010),14,na,15,na
Crime Rates and Expected Sanctions: The Economics of Deterrence Revisted [article],"Bar-Gill, Oren (Cited 1191 times); Harel, Alon (Cited 514 times)",4391,"Journal of Legal Studies, Vol. 30, Issue 2 - Part 1 (June 2001), pp. 485-502",30 J. Legal Stud. 485 (2001),13,na,15,na
The Uneasy Case for Competitive Negligence [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"American Law and Economics Review , Vol. 5, Issue 2 (Fall 2003), pp. 433-469",na,11,na,na,na
Product-Use Information and the Limits of Voluntary Disclosure [article],"Bar-Gill, Oren (Cited 1191 times); Board, Oliver (Cited 10 times)",4391,"American Law and Economics Review, Vol. 14, Issue 1 (Spring 2012), pp. 235-270",na,10,na,na,na
Regulatory Techniques in Consumer Protection: A Critique of European Consumer Contract Law [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Ben (Cited 11 times)",4391,"Common Market Law Review, Vol. 50, Special Issue (2013), pp. 109-126",50 Common Market L. Rev. 109 (2013),10,na,11,na
The Evolution and Persistence of Optimism in Litigation [article],"Bar-Gill, Oren (Cited 1191 times)",4391,"Journal of Law, Economics, and Organization , Vol. 22, Issue 2 (October 2006), pp. 490-507",na,9,na,na,na
Law and Preferences [article],"Bar-Gill, Oren (Cited 1191 times); Fershtman, Chaim (Cited 9 times)",4391,"Journal of Law, Economics, and Organization , Vol. 20, Issue 2 (October 2004), pp. 331-352",na,8,na,na,na
Exit from Contract [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Journal of Legal Analysis, Vol. 6, Issue 1 (Spring 2014), pp. 151-184",6 J. Legal Analysis 151 (2014),7,na,9,na
Searching for the Common Law: The Quantitative Approach of the Restatement of Consumer Contracts [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times); Marotta-Wurgler, Florencia (Cited 268 times)",4391,"University of Chicago Law Review, Vol. 84, Issue 1 (Winter 2017), pp. 7-36",na,5,na,50,na
Algorithmic Price Discrimination When Demand Is a Function of Both Preferences and (Mis)perceptions [article],"Bar-Gill, Oren (Cited 1191 times)",4391,"University of Chicago Law Review, Vol. 86, Issue 2 (March 2019), pp. 217-254",na,5,na,17,na
Harm - Benefit Interactions [article],"Bar-Gill, Oren (Cited 1191 times); Porat, Ariel (Cited 551 times)",4391,"American Law and Economics Review, Vol. 16, Issue 1 (2014), pp. 86-116",na,5,na,na,na
Consent and Exchange [article],"Bar-Gill, Oren (Cited 1191 times); Bebchuk, Lucian Arye (Cited 4498 times)",4391,"Journal of Legal Studies, Vol. 39, Issue 2 (June 2010), pp. 375-398",39 J. Legal Stud. 375 (2010),5,na,1,na
Threatening an Irrational Breach of Contract [article],"Bar-Gill, Oren (Cited 1191 times); Ben-Shahar, Omri (Cited 1051 times)",4391,"Supreme Court Economic Review , Vol. 11, pp. 143-170",11 Sup. Ct. Econ. Rev. 143 (2003),5,na,7,na
Regulation as Delegation [article],"Bar-Gill, Oren (Cited 1191 times); Sunstein, Cass R. (Cited 27709 times)",4391,"Journal of Legal Analysis, Vol. 7, Issue 1 (Spring 2015), pp. 1-36",7 J. Legal Analysis 1 (2015),4,na,35,na
