Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Broken Promises of Privacy: Responding to the Surprising Failure of Anonymization [article],"Ohm, Paul (Cited 662 times)",2437,"UCLA Law Review , Vol. 57, Issue 6 (August 2010), pp. 1701-1778",57 UCLA L. Rev. 1701 (2009-2010),267,1,451,na
The Fourth Amendment in a World without Privacy [article],"Ohm, Paul (Cited 662 times)",2437,"Mississippi Law Journal, Vol. 81, Issue 5 (2012), pp. 1309-1356",na,70,na,54,na
The Rise and Fall of Invasive ISP Surveillance [article],"Ohm, Paul (Cited 662 times)",2437,"University of Illinois Law Review, Vol. 2009, Issue 5 (2009), pp. 1417-1496",2009 U. Ill. L. Rev. 1417 (2009),62,na,35,na
"The Myth of the Superuser: Fear, Risk, and Harm Online [article]","Ohm, Paul (Cited 662 times)",2437,"U.C. Davis Law Review, Vol. 41, Issue 4 (April 2008), pp. 1327-1402",41 U.C. Davis L. Rev. 1327 (2007-2008),31,1,16,na
Sensitive Information [article],"Ohm, Paul (Cited 662 times)",2437,"Southern California Law Review, Vol. 88, Issue 5 (July 2015), pp. 1125-1196",88 S. Cal. L. Rev. 1125 (2014-2015),31,na,125,na
Branding Privacy [article],"Ohm, Paul (Cited 662 times)",2437,"Minnesota Law Review, Vol. 97, Issue 3 (February 2013), pp. 907-989",97 Minn. L. Rev. 907 (February 2013),26,na,37,na
Probably Probable Cause: The Diminishing Importance of Justification Standards [article],"Ohm, Paul (Cited 662 times)",2437,"Minnesota Law Review, Vol. 94, Issue 5 (May 2010 ), pp. 1514-1560",na,25,1,19,na
The Underwhelming Benefits of Big Data [comments],"Ohm, Paul (Cited 662 times)",2437,"University of Pennsylvania Law Review PENNumbra, Vol. 161, pp. 339-346",na,18,na,34,na
"On Regulating the Internet: Usenet, a Case Study [comments]","Ohm, Paul K. (Cited 662 times)",2437,"UCLA Law Review, Vol. 46, Issue 6 (August 1999), pp. 1941-1988",na,18,na,10,na
Good enough Privacy [article],"Ohm, Paul (Cited 662 times)",2437,"University of Chicago Legal Forum, Vol. 2008, pp. 1-64",na,16,na,8,na
Playing with the Data: What Legal Scholars Should Learn about Machine Learning [article],"Lehr, David (Cited 39 times); Ohm, Paul (Cited 662 times)",2437,"U.C. Davis Law Review, Vol. 51, Issue 2 (December 2017), pp. 653-718",na,14,na,197,na
Electronic Surveillance Law and the Intra-Agency Separation of Powers [article],"Ohm, Paul (Cited 662 times)",2437,"University of San Francisco Law Review, Vol. 47, Issue 2 (Fall 2012), pp. 269-290",na,13,na,13,na
