Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
From Pirates to Partners: Protecting Intellectual Property in China in the Twenty-First Century [article],"Yu, Peter K. (Cited 1768 times)",5347,"American University Law Review, Vol. 50, Issue 1 (October 2000), pp. 131-244",50 Am. U. L. Rev. 131 (2001-2001),114,na,135,na
The Copyright Divide [article],"Yu, Peter K. (Cited 1768 times)",5347,"Cardozo Law Review, Vol. 25, Issue 1 (November 2003), pp. 331-446",na,85,na,19,na
Currents and Crosscurrents in the International Intellectual Property Regime [article],"Yu, Peter K. (Cited 1768 times)",5347,"Loyola of Los Angeles Law Review, Vol. 38, Issue 1 (Fall 2004), pp. 323-444",na,82,na,64,na
The International Enclosure Movement [article],"Yu, Peter K. (Cited 1768 times)",5347,"Indiana Law Journal, Vol. 82, Issue 4 (Fall 2007), pp. 827-908",82 Ind. L.J. 827 (2007),81,1,41,na
TRIPS and Its Discontents [article],"Yu, Peter K. (Cited 1768 times)",5347,"Marquette Intellectual Property Law Review, Vol. 10, Issue 2 (2006), pp. 369-410",10 Marq. Intell. Prop. L. Rev. 369 (2006),80,na,58,na
P2P and the Future of Private Copying [article],"Yu, Peter K. (Cited 1768 times)",5347,"University of Colorado Law Review, Vol. 76, Issue 3 (2005), pp. 653-766",76 U. Colo. L. Rev. 653 (2005),74,2,32,na
Reconceptualizing Intellectual Property Interests in a Human Rights Framework [article],"Yu, Peter K. (Cited 1768 times)",5347,"U.C. Davis Law Review, Vol. 40, Issue 3 (March 2007), pp. 1039-1150",na,73,na,100,na
From Pirates to Partners (Episode II): Protecting Intellectual Property in Post-WTO China [article],"Yu, Peter K. (Cited 1768 times)",5347,"American University Law Review, Vol. 55, Issue 4 (April 2006), pp. 901-1000",na,68,1,82,na
The Graduated Response [article],"Yu, Peter K. (Cited 1768 times)",5347,"Florida Law Review , Vol. 62, Issue 5 (January 2010 ), pp. 1373-1430",na,56,na,21,na
The Escalating Copyright Wars [article],"Yu, Peter K. (Cited 1768 times)",5347,"Hofstra Law Review, Vol. 32, Issue 3 (Spring 2004), pp. 907-952",32 Hofstra L. Rev. 907 (2003-2004),55,na,14,na
The Objectives and Principles of the Trips Agreement [article],"Yu, Peter K. (Cited 1768 times)",5347,"Houston Law Review, Vol. 46, Issue 4 (2009), pp. 979-1046",na,55,na,66,na
