Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Remedying Environmental Racism [notes],"Godsil, Rachel D. (Cited 349 times)",1783,"Michigan Law Review, Vol. 90, Issue 2 (November 1991), pp. 394-427",na,162,2,16,na
"Viewing the Cathedral from behind the Color Line: Property Rules, Liability Rules, and Environmental Racism [article]","Godsil, Rachel D. (Cited 349 times)",1783,"Emory Law Journal, Vol. 53, Issue 4 (Fall 2004), pp. 1807-1886",53 Emory L.J. 1807 (2004),31,na,32,na
"Protecting Status: The Mortgage Crisis, Eminent Domain, and the Ethic of Homeownership [article]","Godsil, Rachel D. (Cited 349 times); Simunovich, David V. (Cited 33 times)",1783,"Fordham Law Review, Vol. 77, Issue 3 (December 2008), pp. 949-998",77 Fordham L. Rev. 949 (2008-2009),30,1,24,na
The Question of Risk: Incorporating Community Perceptions into Environmental Risk Assesments [article],"Freeman, James S. (Cited 52 times); Godsil, Rachel D. (Cited 349 times)",1783,"Fordham Urban Law Journal, Vol. 21, Issue 3 (Spring 1994), pp. 547-576",21 Fordham Urb. L.J. 547 (1993-1994),28,na,14,na
Race Nuisance: The Politics of Law in the Jim Crow Era [article],"Godsil, Rachel D. (Cited 349 times)",1783,"Michigan Law Review , Vol. 105, Issue 3 (December 2006), pp. 505-558",105 Mich. L. Rev. 505 (2006-2007),24,na,68,na
"Jobs, Trees, and Autonomy: The Convergence of the Environmental Justice Movement and Community Economics Development [article]","Godsil, Rachel D. (Cited 349 times); Freeman, James S. (Cited 52 times)",1783,"Maryland Journal of Contemporary Legal Issues, Vol. 5, Issue 1 (1994), pp. 25-48",5 Md. J. Contemp. Legal Issues 25 (1994),18,na,16,na
"Expressivism, Empathy and Equality [article]","Godsil, Rachel D. (Cited 349 times)",1783,"University of Michigan Journal of Law Reform, Vol. 36, Issue 2 (Winter 2003), pp. 247-304",36 U. Mich. J.L. Reform 247 (2002-2003),18,na,15,na
Environmental Justice and the Integration Ideal [article],"Godsil, Rachel D. (Cited 349 times)",1783,"New York Law School Law Review, Vol. 49, Issue 4 (2004-2005), pp. 1109-1144",na,12,na,2,na
Racial Anxiety [article],"Godsil, Rachel D. (Cited 349 times); Richardson, L. Song (Cited 417 times)",1783,"Iowa Law Review, Vol. 102, Issue 5 (July 2017), pp. 2235-2264",102 Iowa L. Rev. 2235 (2016-2017),11,na,67,na
"The Gentrification Trigger: Autonomy, Mobility, and Affirmatively Furthering Fair Housing [article]","Godsil, Rachel D. (Cited 349 times)",1783,"Brooklyn Law Review, Vol. 78, Issue 2 (Winter 2013), pp. 319-338",na,7,na,53,na
"Race, Ethnicity, and Place Identity: Implicit Bias and Competing Belief Systems [article]","Godsil, Rachel D. (Cited 349 times); Freeman, James S. (Cited 52 times)",1783,"University of Hawai'i Law Review, Vol. 37, Issue 2 (Spring 2015), pp. 313-338",37 U. Haw. L. Rev. 313 (Spring 2015),5,na,124,na
Why Race Matters in Physics Class [article],"Godsil, Rachel D. (Cited 349 times)",1783,"UCLA Law Review Discourse, Vol. 64, pp. 40-63",64 UCLA L. Rev. Discourse 40 (2016-2017),2,na,6,na
Answering the Diversity Mandate; Overcoming Implicit Bias and Racial Anxiety [article],"Godsil, Rachel D. (Cited 349 times)",1783,"New Jersey Lawyer, Vol. 2014, Issue 286 (February 2014), pp. 25-29",2014 N.J. Law. 25 (2014),na,na,5,na
Rigor and Relationships: The Positive Case for Integration in Schools and Neighborhoods [article],"Godsil, Rachel D. (Cited 349 times)",1783,"Cardozo Law Review, Vol. 40, Issue 3 (February 2019), pp. 1287-1326",na,na,na,na,na
