Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Symbolism and Incommensurability in Civil Sanctioning: Decision Makers as Goal Managers [article],"Robbennolt, Jennifer K. (Cited 578 times); Darley, John M. (Cited 887 times); MacCoun, Robert J. (Cited 258 times)",8980,"Brooklyn Law Review, Vol. 68, Issue 4 (2003), pp. 1121-1158",na,27,na,6,na
Differential Treatment of Corporate Defendants by Juries: An Examination of the Deep-Pocket Hypothesis [article],"MacCoun, Robert J. (Cited 258 times)",8980,"Law & Society Review, Vol. 30, Issue 1 (1996), pp. 121-162",30 Law & Soc'y Rev. 121 (1996),27,na,28,na
Estimating Liability Risks with the Media as Your Guide [article],"Bailis, Daniel S. (Cited 17 times); MacCoun, Robert J. (Cited 258 times)",8980,"Judicature, Vol. 80, Issue 2 (September-October 1996), pp. 64-67",80 Judicature 64 (1996-1997),17,na,1,na
The Costs and Benefits of Letting Juries Punish Corporations: Comment on Viscusi [comments],"MacCoun, Robert J. (Cited 258 times)",8980,"Stanford Law Review, Vol. 52, Issue 6 (July 2000), pp. 1821-1828",na,17,na,9,na
Media Reporting of Jury Verdicts: Is the Tail (of the Distribution) Wagging the Dog [article],"MacCoun, Robert J. (Cited 258 times)",8980,"DePaul Law Review, Vol. 55, Issue 2 (Winter 2006), pp. 539-562",na,11,na,13,na
"Comparing Legal Factfinders: Real and Mock, Amateur and Professional [notes]","MacCoun, Robert J. (Cited 258 times)",8980,"Florida State University Law Review, Vol. 32, Issue 2 (Winter 2005), pp. 511-518",na,10,na,10,na
Unintended Consequences of Court Arbitration: A Cautionary Tale from New Jersey [article],"MacCoun, Robert J. (Cited 258 times)",8980,"Justice System Journal, Vol. 14, Issue 2 (1991), pp. 229-243",14 Just. Sys. J. 229 (1990-1991),10,na,1,na
The Emergence of Extralegal Bias during Jury Deliberation [article],"MacCoun, Robert J. (Cited 258 times)",8980,"Criminal Justice and Behavior, Vol. 17, Issue 3 (September 1990), pp. 303-314",17 Crim. Just. & Behavior 303 (1990),9,na,64,na
Experimental Research on Jury Decision-Making [notes],"MacCoun, Robert J. (Cited 258 times)",8980,"Jurimetrics Journal, Vol. 30, Issue 2 (Winter 1990), pp. 223-234",na,8,na,6,na
Testing Drugs versus Testing for Drug Use: Private Risk Management in the Shadow of Criminal Law [article],"MacCoun, Robert J. (Cited 258 times)",8980,"DePaul Law Review, Vol. 56, Issue 2 (Winter 2007), pp. 507-538",na,7,na,43,na
Intuitive Lawmaking: The Example of Child Support [article],"Ellman, Ira Mark (Cited 1088 times); Braver, Sanford (Cited 25 times); MacCoun, Robert J. (Cited 258 times)",8980,"Journal of Empirical Legal Studies, Vol. 6, Issue 1 (2009), pp. 69-110",6 J. Empirical Legal Stud. 69 (2009),4,na,1,na
Transcription of Keynote Speakers' Address [comments],"MacCoun, Robert (Cited 258 times); Reuter, Peter (Cited 68 times)",8980,"Michigan State University Journal of Medicine and Law, Vol. 13, Issue 2 (Spring 2009), pp. 449-486",na,na,na,1,na
