Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
A Price Theory of Legal Bargaining: An Inquiry into the Selection of Settlement and Litigation under Uncertainty [article],"Rhee, Robert J. (Cited 400 times)",7454,"Emory Law Journal, Vol. 56, Issue 3 (2006), pp. 619-692",56 Emory L.J. 619 (2006-2007),37,na,21,na
Toward Procedural Optionality: Private Ordering of Public Adjudication [article],"Rhee, Robert J. (Cited 400 times)",7454,"New York University Law Review , Vol. 84, Issue 2 (May 2009), pp. 514-571",84 N.Y.U. L. Rev. 514 (2009),35,na,10,na
The Effect of Risk on Legal Valuation [article],"Rhee, Robert J. (Cited 400 times)",7454,"University of Colorado Law Review, Vol. 78, Issue 1 (2007), pp. 193-256",78 U. Colo. L. Rev. 193 (2007),35,na,5,na
"Terrorism Risk in a Post-9/11 Economy: The Convergence of Capital Markets, Insurance, and Government Action [article]","Rhee, Robert J. (Cited 400 times)",7454,"Arizona State Law Journal, Vol. 37, Issue 2 (Summer 2005), pp. 435-534",37 Ariz. St. L.J. 435 (2005),32,na,23,na
A Principled Solution for Negligent Infliction of Emotional Distress Claims [article],"Rhee, Robert J. (Cited 400 times)",7454,"Arizona State Law Journal, Vol. 36, Issue 3 (Fall 2004), pp. 805-884",36 Ariz. St. L.J. 805 (Fall 2004),30,7,26,na
The Tort Foundation of Duty of Care and Business Judgment [article],"Rhee, Robert J. (Cited 400 times)",7454,"Notre Dame Law Review, Vol. 88, Issue 3 (February 2013), pp. 1139-1198",88 Notre Dame L. Rev. 1139 (2012-2013),26,na,69,na
Tort Arbitrage [article],"Rhee, Robert J. (Cited 400 times)",7454,"Florida Law Review, Vol. 60, Issue 1 (January 2008), pp. 125-182",60 Fla. L. Rev. 125 (2008),25,na,7,na
"Fiduciary Exemption for Public Necessity: Shareholder Profit, Public Good, and the Hobson's Choice during a National Crisis [article]","Rhee, Robert J. (Cited 400 times)",7454,"George Mason Law Review, Vol. 17, Issue 3 (Spring 2010), pp. 661-736",17 Geo. Mason L. Rev. 661 (2009-2010),23,2,18,na
"The Madoff Scandal, Market Regulatory Failure and the Business Education of Lawyers [article]","Rhee, Robert J. (Cited 400 times)",7454,"Journal of Corporation Law , Vol. 35, Issue 2 (Winter 2009), pp. 363-392",35 J. Corp. L. 363 (Winter 2009),22,na,121,na
The Law School Firm [comments],"Borden, Bradley T. (Cited 184 times); Rhee, Robert J. (Cited 400 times)",7454,"South Carolina Law Review, Vol. 63, Issue 1 (Autumn 2011), pp. 1-12",na,17,na,9,na
