Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Acting Like an Administrative Agency: The Federal Circuit En Banc [article],"Vacca, Ryan (Cited 73 times)",6373,"Missouri Law Review, Vol. 76, Issue 3 (Summer 2011), pp. 733-762",na,31,na,12,na
Patent Reform and Best Mode: A Signal to the Patent Office or a Step toward Elimination [article],"Vacca, Ryan (Cited 73 times)",6373,"Albany Law Review, Vol. 75, Issue 1 (2011/2012), pp. 279-304",75 Alb. L. Rev. 279 (2011-2012),17,na,11,na
Viewing Virtual Property Ownership through the Lens of Innovation [article],"Vacca, Ryan (Cited 73 times)",6373,"Tennessee Law Review , Vol. 76, Issue 1 (Fall 2008), pp. 33-66",76 Tenn. L. Rev. 33 (2008-2009),7,na,3,na
Food for Thought: Genetically Modified Seeds as de Facto Standard-Essential Patents [article],"Cole, Benjamin M. (Cited 6 times); Horton, Brent J. (Cited 90 times); Vacca, Ryan (Cited 73 times)",6373,"University of Colorado Law Review, Vol. 85, Issue 2 (2014), pp. 313-376",85 U. Colo. L. Rev. 313 (2014),6,na,10,na
Work Made for Hire - Analyzing the Multifactor Balancing Test [article],"Vacca, Ryan (Cited 73 times)",6373,"Florida State University Law Review, Vol. 42, Issue 1 (Fall 2014), pp. 197-254",42 Fla. St. U. L. Rev. 197 (2014-2015),4,na,27,na
Is State Law Looking for Trouble: The Federal Arbitration Act Flexes Its Preemptive Muscle [article],"Hollis, Robert (Cited 3 times); Kerner, Sarah E. (Cited 3 times); Pearson, Alexa Irene (Cited 5 times); Vacca, Ryan G. (Cited 73 times)",6373,"Journal of Dispute Resolution, Vol. 2003, Issue 2 (2003), pp. 463-504",na,3,1,2,na
Design Patents: An Alternative When the Low Standards of Copyright Are Too High [article],"Vacca, Ryan (Cited 73 times)",6373,"Southern Illinois University Law Journal , Vol. 31, Issue 2 (Winter 2007), pp. 325-362",31 S. Ill. U. L.J. 325 (2006-2007),3,na,2,na
Expanding Preferential Treatment under the Record Rental Amendment beyond the Music Industry [article],"Vacca, Ryan (Cited 73 times)",6373,"Lewis & Clark Law Review, Vol. 11, Issue 3 (Fall 2007), pp. 605-632",11 Lewis & Clark L. Rev. 605 (Fall 2007),1,na,3,na
Who Knew - The Admissibility of Subsequent Remedial Measures when Defendants are without Knowledge of the Injuries [article],"Boyko, Mark G. (Cited 1 times); Vacca, Ryan G. (Cited 73 times)",6373,"McGeorge Law Review, Vol. 38, Issue 3 (2007), pp. 653-678",38 McGeorge L. Rev. 653 (2007),1,1,1,na
Intellectual Property and Public Health - A White Paper [article],"Vacca, Ryan (Cited 73 times); Van Tassel, Katharine (Cited 77 times)",6373,"Akron Intellectual Property Journal, Vol. 7, Issue 1 (2014), pp. 39-60",7 Akron Intell. Prop. J. 39 (2014),na,na,9,na
Abolishing the Missing-Claim Rule for Judicial Cancellations [article],"Vacca, Ryan (Cited 73 times)",6373,"Texas Intellectual Property Law Journal , Vol. 18, Issue 2 (Winter 2010), pp. 297-332",18 Tex. Intell. Prop. L.J. 297 (2009-2010),na,na,1,na
