Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
A Powerless Companion: Human Rights in the Age of Neoliberalism [article],"Moyn, Samuel (Cited 22 times)",7170,"Law and Contemporary Problems, Vol. 77, Issue 4 (2014), pp. 147-170",na,6,na,351,na
The Secret History of Constitutional Dignity [article],"Moyn, Samuel (Cited 22 times)",7170,"Yale Human Rights & Development Law Journal, Vol. 17, pp. 39-73",17 Yale Hum. Rts. & Dev. L.J. 39 (2014),6,na,66,na
The International Law That Is America: Reflections on the Last Chapter of the Gentle Civilizer of Nations [notes],"Moyn, Samuel (Cited 22 times)",7170,"Temple International & Comparative Law Journal, Vol. 27, Issue 2 (Fall 2013), pp. 399-416",na,3,na,18,na
Drones and Imagination: A Response to Paul Kahn [article],"Moyn, Samuel (Cited 22 times)",7170,"European Journal of International Law, Vol. 24, Issue 1 (2013), pp. 227-234",na,2,na,na,na
Knowledge and Politics in International Law [reviews],"Moyn, Samuel (Cited 22 times)",7170,"Harvard Law Review, Vol. 129, Issue 8 (June 2016), pp. 2164-2190",na,2,na,32,na
On a Self-Deconstructing Symposium [article],"Moyn, Samuel (Cited 22 times)",7170,"AJIL Unbound, Vol. 110, pp. 258-262",na,1,na,4,na
Judith Shklar on the Philosophy of International Criminal Law [article],"Moyn, Samuel (Cited 22 times)",7170,"International Criminal Law Review, Vol. 14, Issue 4-5 (2014), pp. 717-737",na,1,na,31,na
Human Rights in the Absence of Virtue [article],"Moyn, Samuel (Cited 22 times)",7170,"Journal of International Law and International Relations, Vol. 13, Issue 1 (Spring 2017), pp. 26-28",13 J. Int'l L & Int'l Rel. 26 (2017),1,na,29,na
Thomas Piketty and the Future of Legal Scholarship [article],"Moyn, Samuel (Cited 22 times)",7170,"Harvard Law Review Forum, Vol. 128, pp. 49-55",128 Harv. L. Rev. F. 49 (2014-2015),na,na,12,na
The Universal Declaration of Human Rights and the Challenge of Religion [reviews],"Moyn, Samuel (Cited 22 times)",7170,"Journal of Church and State, Vol. 60, Issue 2 (Spring 2018), pp. 325-326",na,na,na,na,na
"Luke Glanville, Sovereignty and the Responsibility to Protect: A New History [reviews]","Moyn, Samuel (Cited 22 times)",7170,"Law and History Review, Vol. 33, Issue 1 (February 2015), pp. 269-ii",na,na,na,7,na
Christian Human Rights: An Introduction [article],"Moyn, Samuel (Cited 22 times)",7170,"King's Law Journal, Vol. 28, Issue 1 (2017), pp. 1-5",na,na,na,na,na
Tradition and Beyond: Christian Human Rights in Debate [article],"Moyn, Samuel (Cited 22 times)",7170,"King's Law Journal, Vol. 28, Issue 1 (2017), pp. 27-34",na,na,na,na,na
The Future of Human Rights [article],"Moyn, Samuel (Cited 22 times)",7170,"Sur - International Journal on Human Rights, Vol. 20, pp. 57-66",na,na,na,52,na
Beyond the Human Rights Measurement Controversy [article],"Moyn, Samuel (Cited 22 times)",7170,"Law and Contemporary Problems, Vol. 81, Issue 4 (2018), pp. 121-138",na,na,na,14,na
