Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Probably - Understanding Tax Law's Uncertainty [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"University of Pennsylvania Law Review, Vol. 157, Issue 4 (April 2009), pp. 1017-1074",157 U. Pa. L. Rev. 1017 (2008-2009),42,na,13,na
On the Edge: Declining Marginal Utility and Tax Policy [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Minnesota Law Review, Vol. 95, Issue 3 (2011), pp. 904-952",95 Minn. L. Rev. 904 (2010-2011),27,na,17,na
Modeling Uncertainty in Tax Law [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Stanford Law Review, Vol. 65, Issue 2 (February 2013), pp. 241-278",65 Stan. L. Rev. 241 (February 2013),23,na,25,na
Fairly Random: On Compensating Audited Taxpayers [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Connecticut Law Review, Vol. 41, Issue 1 (November 2008), pp. 161-210",41 Conn. L. Rev. 161 (2008-2009),22,na,2,na
A Nineteenth Amendment Defense of the Violence against Women Act [notes],"Lawsky, Sarah B. (Cited 170 times)",3482,"Yale Law Journal, Vol. 109, Issue 4 (2000), pp. 783-816",na,22,na,7,na
Money for Nothing: Charitable Deductions for Microfinance Lenders [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"SMU Law Review, Vol. 61, Issue 4 (Fall 2008), pp. 1525-1556",61 S.M.U. L. Rev. 1525 (2008),13,na,1,na
How Tax Models Work [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Boston College Law Review, Vol. 53, Issue 5 (November 2012), pp. 1657-1694",53 B.C. L. Rev. 1657 (2012),11,na,6,na
Formalizing the Code [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Tax Law Review, Vol. 70, Issue 2 (Winter 2017), pp. 377-ii",70 Tax L. Rev. 377 (2016-2017),7,na,34,na
Sum of Its Parts: Reforming Charitable Donations of Partial Interests [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Tax Law Review, Vol. 64, Issue 1 (Fall 2010), pp. 37-62",64 Tax L. Rev. 37 (2010-2011),1,na,6,na
A Logic for Statutes [article],"Lawsky, Sarah B. (Cited 170 times)",3482,"Florida Tax Review, Vol. 21, Issue 1 (2017), pp. 60-80",21 Fla. Tax Rev. 60 (2017-2018),na,na,24,na
The Problem of Line-Drawing [comments],"Lawsky, Sarah B. (Cited 170 times)",3482,"Iowa Law Review Bulletin, Vol. 98, pp. 42-54",na,na,na,1,na
