Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Boumediene's Quiet Theory: Access to Courts and the Separation of Powers [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Notre Dame Law Review, Vol. 84, Issue 5 (July 2009), pp. 2107-2150",na,55,na,23,na
Emergency Power and the Militia Acts [notes],"Vladeck, Stephen I. (Cited 793 times)",6688,"Yale Law Journal, Vol. 114, Issue 1 (October 2004), pp. 149-194",na,53,na,14,na
The D.C. Circuit after Boumediene [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Seton Hall Law Review, Vol. 41, Issue 4 (2011), pp. 1451-1490",na,48,2,19,na
The Detention Power [notes],"Vladeck, Stephen I. (Cited 793 times)",6688,"Yale Law & Policy Review, Vol. 22, Issue 1 (Winter 2004), pp. 153-196",na,38,na,8,na
"Deconstructing Hirota: Habeas Corpus, Citizenship, and Article III [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Georgetown Law Journal , Vol. 95, Issue 5 (June 2007), pp. 1497-1554",95 Geo. L.J. 1497 (June 2007),33,na,3,na
The New Habeas Revisionism [reviews],"Vladeck, Stephen I. (Cited 793 times)",6688,"Harvard Law Review, Vol. 124, Issue 4 (February 2011), pp. 941-993",na,31,na,8,na
"Congress, the Commander-in-Chief, and the Separation of Powers after Hamden [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Transnational Law & Contemporary Problems, Vol. 16, Issue 3 (Spring 2007), pp. 933-964",na,28,na,16,na
The Espionage Act and National Security Whistleblowing after Garcetti [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"American University Law Review , Vol. 57, Issue 5 (June 2008), pp. 1531-1546",na,26,na,40,na
"State Law, the Westfall Act, and the Nature of the Bivens Question [article]","Vazquez, Carlos M. (Cited 1530 times); Vladeck, Stephen I. (Cited 793 times)",6688,"University of Pennsylvania Law Review, Vol. 161, Issue 2 (January 2013), pp. 509-584",161 U. Pa. L. Rev. 509 (January 2013),26,3,28,na
Suspension Clause as a Structural Right [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"University of Miami Law Review, Vol. 62, Issue 2 (January 2008), pp. 275-306",na,25,na,10,na
The New National Security Canon [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"American University Law Review, Vol. 61, Issue 5 (June 2012), pp. 1295-1330",na,24,2,10,na
Non-Self-Executing Treaties and the Suspension Clause after St. Cyr [comments],"Vladeck, Stephen I. (Cited 793 times)",6688,"Yale Law Journal, Vol. 113, Issue 8 (June 2004), pp. 2007-2014",na,20,na,4,na
"The Long War, the Federal Courts, and the Necessity/Legality Paradox [reviews]","Vladeck, Stephen I. (Cited 793 times)",6688,"University of Richmond Law Review, Vol. 43, Issue 3 (March 2009), pp. 893-926",na,19,na,4,na
National Security and Bivens after Iqbal [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 255-278",na,19,na,10,na
A Small Problem of Precedent: 18 U.S.C. 4001(a) and the Detention of U.S. Citizen Enemy Combatants [comments],"Vladeck, Stephen I. (Cited 793 times)",6688,"Yale Law Journal, Vol. 112, Issue 4 (January 2003), pp. 961-[ii]",na,18,na,9,na
States' Rights and State Standing [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"University of Richmond Law Review, Vol. 46, Issue 3 (March 2012), pp. 845-876",na,16,1,17,na
"AEDPA, Saucier, and the Stronger Case for Rights-First Constitutional Adjudication [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Seattle University Law Review, Vol. 32, Issue 3 (Spring 2009), pp. 595-616",na,16,3,4,na
The Exceptionalism of Foreign Relations Normalization [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Harvard Law Review Forum, Vol. 128, pp. 322-330",128 Harv. L. Rev. F. 322 (2014-2015),15,na,16,na
Military Courts and Article III [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Georgetown Law Journal, Vol. 103, Issue 4 (April 2015), pp. 933-1002",103 Geo. L.J. 933 (2014-2015),15,na,29,na
Terrorism Trials and the Article III Courts after Abu Ali [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Texas Law Review, Vol. 88, Issue 7 (June 2010), pp. 1501-1532",na,15,na,21,na
The Passive-Aggressive Virtues [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Columbia Law Review Sidebar, Vol. 111, pp. 122-140",111 Colum. L. Rev. Sidebar 122 (2011),14,na,12,na
Inchoate Liability and the Espionage Act: The Statutory Framework and the Freedom of the Press [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Harvard Law & Policy Review, Vol. 1, Issue 1 (Winter 2007), pp. 219-238",na,14,na,33,na
The Laws of War as a Constitutional Limit on Military Jurisdiction [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Journal of National Security Law & Policy, Vol. 4, Issue 2 (2010), pp. 295-342",4 J. Nat'l Sec. L. & Pol'y 295 (2010),14,na,5,na
Foreign Affairs Originalism in Youngstown's Shadow [comments],"Vladeck, Stephen I. (Cited 793 times)",6688,"Saint Louis University Law Journal, Vol. 53, Issue 1 (Fall 2008), pp. 29-38",na,13,na,4,na
The Case against National Security Courts [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Willamette Law Review, Vol. 45, Issue 3 (Spring 2009), pp. 505-526",na,13,na,19,na
The Increasingly Unflagging Obligation: Federal Jurisdiction after Saudi Basic and Anna Nicole [notes],"Vladeck, Stephen I. (Cited 793 times)",6688,"Tulsa Law Review, Vol. 42, Issue 3 (Spring 2007), pp. 553-578",na,13,na,3,na
The FISA Court and Article III [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Washington and Lee Law Review, Vol. 72, Issue 3 (Summer 2015), pp. 1161-1180",na,12,na,41,na
"The Field Theory: Martial Law, the Suspension Power, and the Insurrection Act [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Temple Law Review, Vol. 80, Issue 2 (Summer 2007), pp. 391-440",80 Temp. L. Rev. 391 (Summer 2007),12,na,19,na
"Enemy Aliens, Enemy Property, and Access to the Courts [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Lewis & Clark Law Review, Vol. 11, Issue 4 (Winter 2007), pp. 963-996",na,10,na,9,na
The Problem of Jurisdictional Non-Precedent [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Tulsa Law Review, Vol. 44, Issue 3 (Spring 2009), pp. 587-616",na,10,na,2,na
"The Unreviewable Executive: Kiyemba, Maqaleh, and the Obama Administration [article]","Vladeck, Stephen I. (Cited 793 times)",6688,"Constitutional Commentary, Vol. 26, Issue 3 (Summer 2010), pp. 603-624",na,9,na,4,na
Big Data before and after Snowden [article],"Vladeck, Stephen I. (Cited 793 times)",6688,"Journal of National Security Law and Policy, Vol. 7, Issue 2 (2014), pp. 333-340",7 J. Nat'l Sec. L. & Pol'y 333 (2014),9,na,56,na
Common-Law Habeas and the Separation of Powers [comments],"Vladeck, Stephen I. (Cited 793 times)",6688,"Iowa Law Review Bulletin, Vol. 95, pp. 39-54",na,8,1,3,na
