Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Legitimacy Crisis in Investment Treaty Arbitration: Privatizing Publlic International Law through Inconsistent Decisions [article],"Franck, Susan D. (Cited 776 times)",6163,"Fordham Law Review, Vol. 73, Issue 4 (March 2005), pp. 1521-1626",73 Fordham L. Rev. 1521 (March 2005),287,na,374,na
Empirically Evaluating Claims about Investment Treaty Arbitration [article],"Franck, Susan D. (Cited 776 times)",6163,"North Carolina Law Review, Vol. 86, Issue 1 (December 2007), pp. 1-88",86 N.C. L. Rev. 1 (2007-2008),100,na,145,na
Development and Outcomes of Investment Treaty Arbitration [article],"Franck, Susan D. (Cited 776 times)",6163,"Harvard International Law Journal, Vol. 50, Issue 2 (Summer 2009), pp. 435-490",50 Harv. Int'l L.J. 435 (2009),61,na,120,na
Integrating Investment Treaty Conflict and Dispute Systems Design [article],"Franck, Susan D. (Cited 776 times)",6163,"Minnesota Law Review, Vol. 92, Issue 1 (November 2007), pp. 161-230",92 Minn. L. Rev. 161 (2007-2008),47,na,27,na
"Foreign Direct Investment, Investment Treaty Arbitration, and the Rule of Law [article]","Franck, Susan D. (Cited 776 times)",6163,"Pacific McGeorge Global Business & Development Law Journal, Vol. 19, Issue 2 (2007), pp. 337-374",na,43,na,146,na
The Nature and Enforcement of Investor Rights under Investment Treaties: Do Investment Treaties Have a Bright Future [article],"Franck, Susan D. (Cited 776 times)",6163,"U.C. Davis Journal of International Law & Policy, Vol. 12, Issue 1 (Fall 2005), pp. 47-100",na,42,na,41,na
The ICSID Effect - Considering Potential Variations in Arbitration Awards [article],"Franck, Susan D. (Cited 776 times)",6163,"Virginia Journal of International Law, Vol. 51, Issue 4 (Summer 2011), pp. 825-914",51 Va. J. Int'l L. 825 (2010-2011),34,na,41,na
The Role of International Arbitrators [article],"Franck, Susan (Cited 776 times)",6163,"ILSA Journal of International & Comparative Law, Vol. 12, Issue 2 (Spring 2006), pp. 499-522",na,25,na,137,na
The Liability of International Arbitrators: A Comparative Analysis and Proposal for Qualified Immunity [article],"Franck, Susan D. (Cited 776 times)",6163,"New York Law School Journal of International and Comparative Law, Vol. 20, Issue 1 (2000), pp. 1-60",20 N.Y.L. Sch. J. Int'l & Comp. L. 1 (2000),22,na,133,na
Rationalizing Costs in Investment Treaty Arbitration [article],"Franck, Susan D. (Cited 776 times)",6163,"Washington University Law Review, Vol. 88, Issue 4 (2011), pp. 769-852",88 Wash. U. L. Rev. 769 (2010-2011),22,na,56,na
