Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
A Dirty River Runs through It (the Failure of Enforcement in the Clean Water Act) [article],"Flatt, Victor B. (Cited 280 times)",300,"Boston College Environmental Affairs Law Review, Vol. 25, Issue 1 (Fall 1997), pp. 1-46",25 B. C. Envtl. Aff. L. Rev. 1 (1997-1998),31,na,20,na
This Land Is Your Land (Our Right to the Environment) [article],"Flatt, Victor B. (Cited 280 times)",300,"West Virginia Law Review, Vol. 107, Issue 1 (Fall 2004), pp. 1-42",107 W. Va. L. Rev. 1 (2004-2005),23,na,11,na
Spare the Rod and Spoil the Law: Why the Clean Water Act Has Never Grown Up [article],"Flatt, Victor B. (Cited 280 times)",300,"Alabama Law Review, Vol. 55, Issue 3 (Spring 2004), pp. 595-606",na,19,na,12,na
Adapting Laws for a Changing World: A Systemic Approach to Climate Change Adaptation [article],"Flatt, Victor B. (Cited 280 times)",300,"Florida Law Review, Vol. 64, Issue 1 (January 2012), pp. 269-294",na,19,na,32,na
Paving the Legal Path for Carbon Sequestration from Coal [article],"Flatt, Victor B. (Cited 280 times)",300,"Duke Environmental Law & Policy Forum, Vol. 19, Issue 2 (Spring 2009), pp. 211-246",19 Duke Envtl. L. & Pol'y F. 211 (2008-2009),19,na,4,na
Saving the Lost Sheep: Bringing Environmental Values Back into the Fold with a New EPA Decisionmaking Paradigm [article],"Flatt, Victor B. (Cited 280 times)",300,"Washington Law Review, Vol. 74, Issue 1 (January 1999), pp. 1-32",74 Wash. L. Rev. 1 (1999),19,na,8,na
Gasping for Breath: The Administrative Flaws of Federal Hazardous Air Pollution Regulation and What We Can Learn from the States [article],"Flatt, Victor B. (Cited 280 times)",300,"Ecology Law Quarterly, Vol. 34, Issue 1 (2007), pp. 107-174",34 Ecology L.Q. 107 (2007),17,na,5,na
"Adaptation, Legal Resiliency, and the U.S. Army Corps of Engineers: Managing Water Supply in a Climate-Altered World [article]","Flatt, Victor B. (Cited 280 times); Tarr, Jeremy M. (Cited 15 times)",300,"North Carolina Law Review, Vol. 89, Issue 5 (June 2011), pp. 1499-1548",na,15,na,9,na
"Act Locally, Affect Globally: How Changing Social Norms to Influence the Private Sector Shows a Path to Using Local Government to Improve Environmental Harms [article]","Flatt, Victor B. (Cited 280 times)",300,"Boston College Environmental Affairs Law Review, Vol. 35, Issue 3 (2008), pp. 455-478",na,13,na,14,na
Human Environment of the Mind: Correcting NEPA Implementation by Treating Environmental Philosophy and Environmental Risk Allocation as Environmental Values under NEPA [article],"Flatt, Victor B. (Cited 280 times)",300,"Hastings Law Journal, Vol. 46, Issue 1 (November 1994), pp. 85-124",46 Hastings L.J. 85 (1994-1995),12,na,3,na
[H]e Should at His Peril Keep It There: How The Common Law Tells Us That Risk Based Corrective Action is Wrong [article],"Flatt, Victor B. (Cited 280 times)",300,"Notre Dame Law Review, Vol. 76, Issue 2 (January 2001), pp. 341-374",na,10,na,1,na
Environmental Enforcement in Dire Straits: There is No Protection for Nothing and No Data for Free [article],"Flatt, Victor B. (Cited 280 times); Collins, Paul M. Jr. (Cited 111 times)",300,"Notre Dame Law Review , Vol. 85, Issue 1 (November 2009), pp. 55-88",85 Notre Dame L. Rev. 55 (November 2009),10,na,24,na
Environmental Contraction for America: or How I Stopped Worrying and Learned to Love the EPA [article],"Flatt, Victor B. (Cited 280 times)",300,"Loyola of Los Angeles Law Review, Vol. 29, Issue 2 (January 1996), pp. 585-644",29 Loy. L. A. L. Rev. 585 (1995-1996),9,na,1,na
Notice and Comment for Nonprofit Organizations [article],"Flatt, Victor B. (Cited 280 times)",300,"Rutgers Law Review, Vol. 55, Issue 1 (Fall 2002), pp. 65-86",55 Rutgers L. Rev. 65 (2002-2003),8,na,2,na
OSHA Regulation of Low-Exposure Carcinogens: A New Approach to Judicial Analysis of Scientific Evidence [article],"Flatt, Victor B. (Cited 280 times)",300,"University of Puget Sound Law Review, Vol. 14, Issue 2 (Winter 1991), pp. 283-310",14 U. Puget Sound L. Rev. 283 (1990-1991),7,na,2,na
Offsetting Crisis - Climate Change Cap-and-Trade Need Not Contribute to Another Financial Meltdown [article],"Flatt, Victor B. (Cited 280 times)",300,"Pepperdine Law Review, Vol. 39, Issue 3 (2012), pp. 619-644",39 Pepp. L. Rev. 619 (2011-2013),7,na,6,na
Frozen in Time: The Ossification of Environmental Statutory Change and the Theatre of the (Administrative) Absurd [article],"Flatt, Victor B. (Cited 280 times)",300,"Fordham Environmental Law Review, Vol. 24, Issue 2 (2012-2013), pp. 125-148",na,6,na,3,na
The Benefits of Non-Delegation: Using the Non-Delegation Doctrine to Bring More Rigor to Benefit-Cost Analysis [article],"Flatt, Victor B. (Cited 280 times)",300,"William and Mary Bill of Rights Journal , Vol. 15, Issue 4 (April 2007), pp. 1087-1102",15 Wm. & Mary Bill Rts. J. 1087 (2006-2007),6,na,5,na
C(r)ap and Trade: The Brave New World of Non-Point Source Nutrient Trading and Using Lessons from Greenhouse Gas Markets to Make It Work [article],"Flatt, Victor B. (Cited 280 times)",300,"Houston Law Review, Vol. 52, Issue 1 (Fall 2014), pp. 301-360",52 Hous. L. Rev. 301 (2014-2015),5,na,6,na
"Not One without the Other: The Challenge of Integrating U.S. Environment, Energy, Climate, and Economic Policy [article]","Flatt, Victor B. (Cited 280 times); Payne, Heather (Cited 19 times)",300,"Environmental Law, Vol. 44, Issue 4 (Fall 2014), pp. 1079-1110",44 Envtl. L. 1079 (2014),4,na,16,na
Curtailment First: Why Climate Change and the Energy Industry Suggest a New Allocation Paradigm Is Needed for Water Utilized in Hydraulic Fracturing [article],"Flatt, Victor (Cited 280 times); Payne, Heather (Cited 19 times)",300,"University of Richmond Law Review, Vol. 48, Issue 3 (March 2014), pp. 829-856",na,3,na,2,na
Restating Environmental Law [article],"Hester, Tracy (Cited 5 times); Percival, Robert (Cited 2 times); Russell, Irma (Cited 2 times); Flatt, Victor (Cited 280 times); Mintz, Joel",300,"Columbia Journal of Environmental Law, Vol. 40, Issue 1 (2015), pp. 1-38",40 Colum. J. Envtl. L. 1 (2015),2,na,11,na
What is the Best Formula to Protect the Environment in Electricity Restructuring - Comment on the Environmental Impacts of Electricity Restructuring by Karen Palmer and Dallas Burtraw [comments],"Flatt, Victor B. (Cited 280 times)",300,"Environmental & Energy Law & Policy Journal, Vol. 1, Issue 1 (2005), pp. 221-234",na,2,na,1,na
Introduction: Federal Climate Change Legislation - The Perspective from 2008 [comments],"Flatt, Victor B. (Cited 280 times)",300,"Environmental & Energy Law & Policy Journal, Vol. 3, Issue 2 (Fall 2008), pp. 195-199",na,2,na,1,na
Too Big to Jail or Too Abstract (Or Rich) to Care [article],"Flatt, Victor B. (Cited 280 times)",300,"Maryland Law Review, Vol. 72, Issue 4 (2013), pp. 1345-1377",na,2,na,9,na
A Brazen Proposal: Increasing Affordable Housing through Zoning and the Eminent Domain Powers [article],"Flatt, Victor B. (Cited 280 times)",300,"Stanford Law & Policy Review, Vol. 5, Issue 2 (Spring 1994), pp. 115-130",na,2,na,11,na
