,Title,List Author,Author(s),Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,id
0,Plausibility Pleading [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Boston College Law Review, Vol. 49, Issue 2 (March 2008), pp. 431-494",49 B.C. L. Rev. 431 (2008),194,13,10,na,4815
1,Understanding Pleading Doctrine [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Michigan Law Review , Vol. 108, Issue 1 (October 2009), pp. 1-36",108 Mich. L. Rev. 1 (2009-2010),101,4,21,na,4815
2,The Law School Critique in Historical Perspective [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Washington and Lee Law Review, Vol. 69, Issue 4 (Fall 2012), pp. 1949-2066",69 Wash. & Lee L. Rev. 1949 (2012),64,na,29,na,4815
3,"Class Actions, Heightened Commonality, and Declining Access to Justice [article]",A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Boston University Law Review, Vol. 93, Issue 2 (March 2013), pp. 441-492",93 B.U. L. Rev. 441 (2013),60,na,21,na,4815
4,The Restrictive Ethos in Civil Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","George Washington Law Review, Vol. 78, Issue 2 (February 2010), pp. 353-373",na,53,na,23,na,4815
5,Jurisdiction to Adjudicate: A Revised Analysis [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","University of Chicago Law Review, Vol. 73, Issue 2 (Spring 2006), pp. 617-672",73 U. Chi. L. Rev. 617 (2006),52,na,22,na,4815
6,Iqbal and the Slide toward Restrictive Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 185-202",na,48,na,9,na,4815
7,Pleading Civil Rights Claims in the Post-Conley Era [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 99-166",na,39,na,7,na,4815
8,Jurisdiction and the Internet: Returning to Traditional Principles to Analyze Network-Mediated Contacts [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","University of Illinois Law Review, Vol. 2006, Issue 1 (2006), pp. 71-126",2006 U. Ill. L. Rev. 71 (2006),35,6,19,na,4815
9,Due Process and Punitive Damages: The Error of Federal Excessiveness Jurisprudence [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Southern California Law Review, Vol. 79, Issue 5 (July 2006), pp. 1085-1154",79 S. Cal. L. Rev. 1085 (2005-2006),34,na,4,na,4815
10,Pleading and Access to Civil Justice: A Response to Twiqbal Apologists [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1710-1739",na,22,na,14,na,4815
11,The Preservation Obligation: Regulating and Sanctioning Pre-Litigation Spoliation in Federal Court [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 2005-2034",na,18,na,13,na,4815
12,Nationwide Personal Jurisdiction for Our Federal Courts [comments],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Denver University Law Review, Vol. 87, Issue 2 (2010), pp. 325-334",na,14,na,16,na,4815
13,Anti-Federalist Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Washington and Lee Law Review, Vol. 64, Issue 1 (Winter 2007), pp. 233-296",64 Wash. & Lee L. Rev. 233 (2007),7,na,4,na,4815
14,The Judicial Power and the Inferior Federal Courts: Exploring the Constitutional Vesting Thesis [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 1-68",46 Ga. L. Rev. 1 (2011-2012),4,na,6,na,4815
15,Rationalizing Cost Allocation in Civil Discovery [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Review of Litigation, Vol. 34, Issue 4 (2015), pp. 769-814",34 Rev. Litig. 769 (2015),4,na,23,na,4815
16,The Forms Had a Function: Rule 84 and the Appendix of Forms as Guardians of the Liberal Ethos in Civil Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Nevada Law Journal, Vol. 15, Issue 3 (Summer 2015), pp. 1113-1140",na,4,na,3,na,4815
17,Terminating Calder: Effects Based Jurisdiction in the Ninth Circuit after Schwarzenegger v. Fred Martin Motor Co. [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Whitter Law Review, Vol. 26, Issue 1 (Fall 2004), pp. 197-[ii]",26 Whittier L. Rev. 197 (2004-2005),3,na,1,na,4815
18,Supporting and Promoting Scholarly Life in Turbulent Times [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Touro Law Review, Vol. 31, Issue 1 (2014), pp. 25-32",na,1,na,2,na,4815
19,Understanding the Department of Defense's Policy regarding Transgender Servicemembers [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Army Lawyer, Vol. 2017, Issue 2 (February 2017), pp. 4-17",2017 Army Law. 4 (2017),na,na,10,na,4815
20,"Substance, Procedure, and the Rules Enabling Act [article]",A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 654-719",66 UCLA L. Rev. 654 (2019),na,na,na,na,4815
0,The Unconscionability Game: Strategic Judging and the Evolution of Federal Arbitration Law [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","New York University Law Review, Vol. 83, Issue 5 (November 2008), pp. 1420-1490",83 N.Y.U. L. Rev. 1420 (2008),99,2,20,na,8862
1,Hierarchy and Heterogeneity: How to Read a Statute in a Lower Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Law Review, Vol. 97, Issue 3 (March 2012), pp. 433-500",97 Cornell L. Rev. 433 (2011-2012),43,na,24,na,8862
2,"Using Statues to Set Legislative Rules: Entrenchment, Separation of Powers, and the Rules of the Proceedings Clause [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law & Politics, Vol. 19, Issue 4 (Fall 2003), pp. 345-416",19 J.L. & Pol. 345 (2003),38,na,12,na,8862
3,Elected Judges and Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Leib, Ethan J. (Cited 539 times)","University of Chicago Law Review, Vol. 79, Issue 4 (Fall 2012), pp. 1215-1284",79 U. Chi. L. Rev. 1215 (Fall 2012),34,na,27,na,8862
4,The Supreme Court's Controversial GVRS - and an Alternative [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Michigan Law Review, Vol. 107, Issue 5 (March 2009), pp. 711-756",107 Mich. L. Rev. 711 (2008-2009),26,7,9,na,8862
