Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Plausibility Pleading [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Boston College Law Review, Vol. 49, Issue 2 (March 2008), pp. 431-494",49 B.C. L. Rev. 431 (2008),"Practice and Procedure, Procedure",194,13,10
Understanding Pleading Doctrine [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Michigan Law Review , Vol. 108, Issue 1 (October 2009), pp. 1-36",108 Mich. L. Rev. 1 (2009-2010),"Procedure, Practice and Procedure, Civil Rights",101,4,21
The Law School Critique in Historical Perspective [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Washington and Lee Law Review, Vol. 69, Issue 4 (Fall 2012), pp. 1949-2066",69 Wash. & Lee L. Rev. 1949 (2012),"Education, Legal Education",64,na,29
"Class Actions, Heightened Commonality, and Declining Access to Justice [article]","Spencer, A. Benjamin (Cited 762 times)",9686,"Boston University Law Review, Vol. 93, Issue 2 (March 2013), pp. 441-492",93 B.U. L. Rev. 441 (2013),"Class Actions, Women",60,na,21
The Restrictive Ethos in Civil Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"George Washington Law Review, Vol. 78, Issue 2 (February 2010), pp. 353-373",78 Geo. Wash. L. Rev. 353 (2009-2010),"Civil Procedure, Procedure, Practice and Procedure, Law and Society",53,na,23
Jurisdiction to Adjudicate: A Revised Analysis [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"University of Chicago Law Review, Vol. 73, Issue 2 (Spring 2006), pp. 617-672",73 U. Chi. L. Rev. 617 (2006),Jurisdiction,52,na,22
Iqbal and the Slide toward Restrictive Procedure [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 185-202",14 Lewis & Clark L. Rev. 185 (2010),"Procedure, Legal History, Practice and Procedure, Revolution, Defenses",48,na,9
Pleading Civil Rights Claims in the Post-Conley Era [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 99-166",52 Howard L.J. 99 (2008-2009),"Civil Rights, Employment Practice, Environment, Practice and Procedure, Work Environment, Plaintiffs",39,na,7
Jurisdiction and the Internet: Returning to Traditional Principles to Analyze Network-Mediated Contacts [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"University of Illinois Law Review, Vol. 2006, Issue 1 (2006), pp. 71-126",2006 U. Ill. L. Rev. 71 (2006),"Communications Law, Internet, Jurisdiction, Arts, Contracts, Practice and Procedure",35,6,19
Due Process and Punitive Damages: The Error of Federal Excessiveness Jurisprudence [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Southern California Law Review, Vol. 79, Issue 5 (July 2006), pp. 1085-1154",79 S. Cal. L. Rev. 1085 (2005-2006),"Constitutional Law, Damages, Due Process, Jurisprudence, Punitive Damages, Remedies, Automobile Insurance, Insurance, Plaintiffs",34,na,4
Pleading and Access to Civil Justice: A Response to Twiqbal Apologists [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1710-1739",60 UCLA L. Rev. 1710 (2012-2013),"Practice and Procedure, Supreme Court of the United States",22,na,14
The Preservation Obligation: Regulating and Sanctioning Pre-Litigation Spoliation in Federal Court [article],"Spencer, A. Benjamin (Cited 762 times)",9686,"Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 2005-2034",79 Fordham L. Rev. 2005 (2010-2011),"Agency, Courts, Federal Courts, Discovery, Practice and Procedure, Science and Technology",18,na,13
