Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The State (Never) Rests: How Excessive Prosecutorial Caseloads Harm Criminal Defendants [article],"Gershowitz, Adam M. (Cited 516 times); Killinger, Laura R. (Cited 61 times)",1244,"Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 261-302",105 Nw. U. L. Rev. 261 (2011),"Criminal Law and Procedure, Legal Profession, Military, War and Peace",60,na,66
The iPhone Meets the Fourth Amendment [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"UCLA Law Review , Vol. 56, Issue 1 (October 2008), pp. 27-58",56 UCLA L. Rev. 27 (2008-2009),"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections, Intellectual Property Law",59,10,42
Prosecutorial Shaming: Naming Attorneys to Reduce Prosecutorial Misconduct [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"U.C. Davis Law Review, Vol. 42, Issue 4 (April 2009), pp. 1059-1106",42 U.C. Davis L. Rev. 1059 (2008-2009),"Criminal Law and Procedure, Legal Profession, Professional Ethics",51,3,62
"Supreme Court's Backwards Proportionality Jurisprudence: Comparing Judicial Review of Excessive Criminal Punishments and Excessive Punitive Damages Awards, The [notes]","Gershowitz, Adam M. (Cited 516 times)",1244,"Virginia Law Review, Vol. 86, Issue 6 (September 2000), pp. 1249-1302",86 Va. L. Rev. 1249 (2000),"Courts, Criminal Law and Procedure, Punitive Damages, Remedies, Jurisprudence, Torts",42,1,6
"Informational Approach to the Mass Imprisonment Problem, An [article]","Gershowitz, Adam M. (Cited 516 times)",1244,"Arizona State Law Journal, Vol. 40, Issue 1 (Spring 2008), pp. 47-84",40 Ariz. St. L.J. 47 (Spring 2008),"Criminal Law and Procedure, Law Enforcement and Corrections, Legal Profession, Sentencing and Punishment, Criminal Procedure, Grand Juries, Politics",39,na,21
Password Protected - Can a Password Save Your Cell Phone from a Search Incident to Arrest [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"Iowa Law Review, Vol. 96, Issue 4 (May 2011), pp. 1125-1176",96 Iowa L. Rev. 1125 (May 2011),"Communications Law, Criminal Law and Procedure, Law Enforcement and Corrections",35,2,27
Statewide Capital Punishment: The Case for Eliminating Counties' Role in the Death Penalty [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"Vanderbilt Law Review, Vol. 63, Issue 2 (March 2010), pp. 307-360",63 Vand. L. Rev. 307 (2010),"Criminal Law and Procedure, State and Local Government Law, Judges, Civil Rights, Race and Ethnicity",34,na,49
Raise the Proof: A Default Rule for Indigent Defense [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"Connecticut Law Review, Vol. 40, Issue 1 (November 2007), pp. 85-124",40 Conn. L. Rev. 85 (2007-2008),"Criminal Law and Procedure, Social Welfare Law, Constitutional Law, Courts",32,na,19
The Invisible Pillar of Gideon [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"Indiana Law Journal, Vol. 80, Issue 3 (Summer 2005), pp. 571-604",80 Ind. L.J. 571 (2005),"Indigents, Law Enforcement and Corrections, Attorneys, Criminal Law and Procedure, Legal Representation, Right to Counsel",30,na,7
Imposing a Cap on Capital Punishment [article],"Gershowitz, Adam M. (Cited 516 times)",1244,"Missouri Law Review, Vol. 72, Issue 1 (Winter 2007), pp. 73-124",72 Mo. L. Rev. 73 (2007),"Criminal Law and Procedure, Law and Society, Law Enforcement and Corrections",18,na,10
