Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Dead Hand Arguments and Constitutional Interpretation [article],"Samaha, Adam M. (Cited 469 times)",7437,"Columbia Law Review , Vol. 108, Issue 3 (April 2008), pp. 606-680",108 Colum. L. Rev. 606 (2008),"Constitutional Law, Courts",64,na,22
"Government Secrets, Constitutional Law, and Platforms for Judicial Intervention [article]","Samaha, Adam M. (Cited 469 times)",7437,"UCLA Law Review, Vol. 53, Issue 4 (April 2006), pp. 909-976",53 UCLA L. Rev. 909 (2005-2006),"Constitutional Law, Government, Judges, Communications Law, Identity Theft, Notice, Theft, Property",54,na,28
Randomization in Adjudication [article],"Samaha, Adam M. (Cited 469 times)",7437,"William and Mary Law Review, Vol. 51, Issue 1 (October 2009), pp. 1-86",51 Wm. & Mary L. Rev. 1 (2009-2010),"Judges, Gaming, Jurisprudence, Lotteries, Prisoners",52,na,26
Gun Control after Heller: Threats and Sideshows from a Social Welfare Perspective [article],"Cook, Philip J. (Cited 332 times); Ludwig, Jens (Cited 204 times); Samaha, Adam M. (Cited 469 times)",7437,"UCLA Law Review , Vol. 56, Issue 5 (June 2009), pp. 1041-1094",56 UCLA L. Rev. 1041 (2008-2009),"Law and Society, Second Amendment, Social Welfare, Courts, Water, First Amendment",43,4,69
Regulation for the Sake of Appearance [article],"Samaha, Adam M. (Cited 469 times)",7437,"Harvard Law Review, Vol. 125, Issue 7 (May 2012), pp. 1563-1638",125 Harv. L. Rev. 1563 (2011-2012),"Regulation, Discipline, Judges, Legal Profession",43,na,24
Undue Process [article],"Samaha, Adam M. (Cited 469 times)",7437,"Stanford Law Review, Vol. 59, Issue 3 (December 2006), pp. 601-672",59 Stan. L. Rev. 601 (December 2006),"Constitutional Law, Politics",35,na,17
Originalism's Expiration Date [article],"Samaha, Adam M. (Cited 469 times)",7437,"Cardozo Law Review, Vol. 30, Issue 3 (December 2008), pp. 1295-1368",30 Cardozo L. Rev. 1295 (2008-2009),"Constitutional Law, Courts, Jurisprudence, Legal Analysis and Writing",29,na,na
Unconstitutional Conditions Questions Everywhere: The Implications of Exit and Sorting for Constitutional Law and Theory [article],"Cox, Adam B. (Cited 840 times); Samaha, Adam M. (Cited 469 times)",7437,"Journal of Legal Analysis, Vol. 5, Issue 1 (Spring 2013), pp. 61-106",5 J. Legal Analysis 61 (2013),"Constitutional Law, Abortion, Religion",20,na,3
Litigant Sensitivity in First Amendment Law [article],"Samaha, Adam M. (Cited 469 times)",7437,"Northwestern University Law Review, Vol. 98, Issue 4 (2004), pp. 1291-1372",98 Nw. U. L. Rev. 1291 (2003-2004),"Constitutional Law, First Amendment, Jurisprudence, Housing, Housing Law, Law Enforcement, Public Housing, Statutes, Trespass, Criminal Law",19,4,9
On Law's Tiebreakers [article],"Samaha, Adam M. (Cited 469 times)",7437,"University of Chicago Law Review, Vol. 77, Issue 4 (Fall 2010), pp. 1661-1738",77 U. Chi. L. Rev. 1661 (2010),"Education, Race, Discrimination, Fourteenth Amendment, Government",17,2,11
