Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Standing, Injury in Facts, and Private Rights [article]","Hessick, F. Andrew (Cited 477 times)",4921,"Cornell Law Review, Vol. 93, Issue 2 (January 2008), pp. 275-328",93 Cornell L. Rev. 275 (January 2008),"Constitutional Law, Practice and Procedure, Standing, Common Law, Consumer Protection Law, Information Privacy, Jurisdiction",112,11,45
"Plea Bargaining and Convicting the Innocent: the Role of the Prosecutor, the Defense Counsel, and the Judge [article]","Hessick, F. Andrew III (Cited 477 times); Saujani, Reshma M. (Cited 102 times)",4921,"BYU Journal of Public Law, Vol. 16, Issue 2 (2002), pp. 189-242",16 BYU J. Pub. L. 189 (2001-2002),Criminal Law and Procedure,62,1,137
Appellate Review of Sentencing Decisions [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",4921,"Alabama Law Review , Vol. 60, Issue 1 (2008), pp. 1-40",60 Ala. L. Rev. 1 (2008-2009),"Criminal Law and Procedure, Judges, Jurisprudence",44,na,12
Probablistic Standing [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Northwestern University Law Review, Vol. 106, Issue 1 (Winter 2012), pp. 55-102",106 Nw. U. L. Rev. 55 (Winter 2012),"Practice and Procedure, Standing, Constitutional Law, Jurisdiction",44,6,17
Recognizing Constitutional Rights at Sentencing [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",4921,"California Law Review, Vol. 99, Issue 1 (February 2011), pp. 47-94",99 Calif. L. Rev. 47 (2011),"Constitutional Law, Constitutional Rights, Law Enforcement and Corrections, Sentencing, Jury, Victims' Compensation",40,10,17
Rethinking the Presumption of Constitutionality [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Notre Dame Law Review , Vol. 85, Issue 4 (June 2010), pp. 1447-1504",85 Notre Dame L. Rev. 1447 (June 2010),"Constitutional Law, Judges, Administration Law, Regulation, Good Faith",28,na,30
Setting the Size of the Supreme Court [article],"Hessick, F. Andrew (Cited 477 times); Jordon, Samuel P. (Cited 20 times)",4921,"Arizona State Law Journal, Vol. 41, Issue 3 (Fall 2009), pp. 645-708",41 Ariz. St. L.J. 645 (2009),"Courts, Judges, Organizations",20,na,17
The Common Law of Federal Question Jurisdiction [article],"Hessick, F. Andrew III (Cited 477 times)",4921,"Alabama Law Review , Vol. 60, Issue 4 (2009), pp. 895-942",60 Ala. L. Rev. 895 (2008-2009),"Common Law, Jurisdiction, Jurisprudence",17,1,1
Double Jeopardy as a Limit on Punishment [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",4921,"Cornell Law Review, Vol. 97, Issue 1 (November 2011), pp. 45-86",97 Cornell L. Rev. 45 (2011-2012),"Criminal Law and Procedure, Constitutional Law",15,1,18
The Non-Redelegation Doctrine [article],"Hessick, F. Andrew (Cited 477 times); Hessick, Carissa Byrne (Cited 475 times)",4921,"William & Mary Law Review, Vol. 55, Issue 1 (October 2013), pp. 163-220",55 Wm. & Mary L. Rev. 163 (2013-2014),"Criminal Law and Procedure, Sentencing, Appellate Review, Judges, Jurisprudence",12,na,10
Procedural Rights at Sentencing [article],"Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",4921,"Notre Dame Law Review, Vol. 90, Issue 1 (November 2014), pp. 187-234",90 Notre Dame L. Rev. 187 (2014-2015),"Criminal Law and Procedure, Sentencing, Aged, Controlled Substances, Determinate Sentencing, Drugs, Firearms, Minors",11,5,23
Standing in Diversity [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Alabama Law Review, Vol. 65, Issue 2 (2013), pp. 417-434",65 Ala. L. Rev. 417 (2013-2014),"Standing, Civil Procedure, Courts, Jurisdiction, Procedure, State and Local Government Law, Constitutional Law",9,1,4
"Cases, Controversies, and Diversity [article]","Hessick, F. Andrew (Cited 477 times)",4921,"Northwestern University Law Review, Vol. 109, Issue 1 (Fall 2014), pp. 57-108",109 Nw. U. L. Rev. 57 (2014-2015),"Jurisdiction, Constitutional Law, Justiciability",9,1,16
The Separation-of-Powers Theory of Standing [article],"Hessick, F. Andrew (Cited 477 times)",4921,"North Carolina Law Review, Vol. 95, Issue 3 (March 2017), pp. 673-728",95 N.C. L. Rev. 673 (2016-2017),"Jurisdiction, Separation, Separation of Powers, Standing, Constitutional Law",8,na,31
The Impact of Government Appellate Strategies on the Development of Criminal Law [article],"Hessick, Andrew (Cited 477 times)",4921,"Marquette Law Review, Vol. 93, Issue 2 (Winter 2009), pp. 477-494",93 Marq. L. Rev. 477 (2009-2010),"Sentencing, Criminal Law and Procedure, Psychiatry and Psychology, Labor Law, Practice and Procedure",7,na,3
The Federalization of Airport Security: Privacy Implications [article],"Hessick, Andrew (Cited 477 times)",4921,"Whittier Law Review, Vol. 24, Issue 1 (Fall 2002), pp. 43-70",24 Whittier L. Rev. 43 (2002-2003),"Air and Space Law, Constitutional Law, Jurisdiction, Privacy, Passengers, Aviation, Legislation",7,na,12
Judicial Logrolling [article],"Hessick, F. Andrew (Cited 477 times); McLaughlin, Jathan P. (Cited 5 times)",4921,"Florida Law Review, Vol. 65, Issue 2 (April 2013), pp. 443-492",65 Fla. L. Rev. 443 (2013),"International Agencies, Organizations, Political Crimes, Rent",5,na,18
Civilizing Criminal Settlements [article],"Gold, Russell M. (Cited 81 times); Hessick, Carissa Byrne (Cited 475 times); Hessick, F. Andrew (Cited 477 times)",4921,"Boston University Law Review, Vol. 97, Issue 5 (October 2017), pp. 1607-1660",97 B.U. L. Rev. 1607 (2017),"Criminal Law and Procedure, Comparative Law, Corporations, Dispute Resolution, Remedies",4,na,26
The Challenge of Remedies [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Saint Louis University Law Journal, Vol. 57, Issue 3 (Spring 2013), pp. 739-750",57 St. Louis U. L.J. 739 (2012-2013),"Remedies, Horses",4,na,11
Understanding Standing [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Vanderbilt Law Review En Banc, Vol. 68, pp. 195-206",68 Vand. L. Rev. En Banc 195 (2015),"Standing, Constitutional Law, Practice and Procedure, Privacy",3,na,6
Consenting to Adjudication outside the Article III Courts [article],"Hessick, F. Andrew (Cited 477 times)",4921,"Vanderbilt Law Review, Vol. 71, Issue 3 (April 2018), pp. 715-764",71 Vand. L. Rev. 715 (2018),"Constitutional Law, Courts, Judges, Bankruptcy, Jurisdiction, States",3,na,58
