Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Likelihood of Confusion [article],"Bartow, Ann (Cited 593 times)",4247,"San Diego Law Review, Vol. 41, Issue 2 (May-June 2004), pp. 721-818",41 San Diego L. Rev. 721 (May-June 2004),"Intellectual Property Law, Professional Sports, Sports, Trademarks, Jurisprudence, Advertising, Science and Technology",103,na,43
Electrifying Copyright Norms and Making Cyberspace More Like a Book [article],"Bartow, Ann (Cited 593 times)",4247,"Villanova Law Review, Vol. 48, Issue 1 (2003), pp. 13-128",48 Vill. L. Rev. 13 (2003),"Copyright, Intellectual Property Law, Environment, Legal Research, Technology",44,na,7
Internet Defamation as Profit Center: The Monetization of Online Harassment [article],"Bartow, Ann (Cited 593 times)",4247,"Harvard Journal of Law & Gender, Vol. 32, Issue 2 (Summer 2009), pp. 383-430",32 Harv. J.L. & Gender 383 (2009),"Communications Law, Defamation, Harassment, Internet, Science and Technology, Women, Jurisdiction, Practice and Procedure, Apologies, Libel and Slander",37,na,70
"Pornography, Coercion, and Copyright Law 2.0 [article]","Bartow, Ann (Cited 593 times)",4247,"Vanderbilt Journal of Entertainment and Technology Law , Vol. 10, Issue 4 (2008), pp. 799-840",10 Vand. J. Ent. & Tech. L. 799 (2007-2008),"Communications Law, Criminal Law and Procedure, Intellectual Property Law, First Amendment, Law and Society, Science and Technology, Sexuality and the Law",34,na,35
"Our Date, Ourselves: Privacy, Propertization, and Gender [article]","Bartow, Ann (Cited 593 times)",4247,"University of San Francisco Law Review, Vol. 34, Issue 4 (Summer 2000), pp. 633-704",34 U.S.F. L. Rev. 633 (1999-2000),"Computer Law, Gender, Privacy, Women, Constitutional Law, First Amendment, Internet, Libraries",33,na,18
"Separating Marketing Innovation from Actual Invention: A Proposal for a New, Improved, Lighter, and Better-Tasting form of Patent Protection [article]","Bartow, Ann (Cited 593 times)",4247,"Journal of Small and Emerging Business Law, Vol. 4, Issue 1 (Spring 2000), pp. 1-26",4 J. Small & Emerging Bus. L. 1 (2000),"Intellectual Property Law, Marketing, Antitrust, General, Inventions",33,na,28
Copyright Law and Pornography [article],"Bartow, Ann (Cited 593 times)",4247,"Oregon Law Review, Vol. 91, Issue 1 (2012), pp. 1-56",91 Or. L. Rev. 1 (2012),"First Amendment, Intellectual Property Law, Law and Society, Communications Law, Criminal Law and Procedure, Copyright, Freedom of Speech",30,na,63
"Inventors of the World, Unite - A Call for Collective Action by Employee-Inventors [article]","Bartow, Ann (Cited 593 times)",4247,"Santa Clara Law Review, Vol. 37, Issue 3 (1997), pp. 673-730",37 Santa Clara L. Rev. 673 (1996-1997),"Corporations, Intellectual Property Law, Contracts, Inventions",25,na,8
Educational Fair Use in Copyright: Reclaiming the Right to Photocopy Freely [article],"Bartow, Ann (Cited 593 times)",4247,"University of Pittsburgh Law Review, Vol. 60, Issue 1 (Fall 1998), pp. 149-230",60 U. Pitt. L. Rev. 149 (1998-1999),"Copyright, Intellectual Property Law",24,na,35
"Fair Use and the Fairer Sex: Gender, Feminism, and Copyright Law [article]","Bartow, Ann (Cited 593 times)",4247,"American University Journal of Gender, Social Policy & the Law, Vol. 14, Issue 3 (2006), pp. 551-584",14 Am. U. J. Gender Soc. Pol'y & L. 551 (2006),"Copyright, Feminism, Gender, Intellectual Property Law, Sex, International Trade, Citizenship",23,na,22
Still Not Behaving Like Gentlemen [article],"Bartow, Ann (Cited 593 times)",4247,"University of Kansas Law Review, Vol. 49, Issue 4 (May 2001), pp. 809-846",49 U. Kan. L. Rev. 809 (2000-2001),"Death, Human Rights, Women, Comparative Law, Northern Ireland",17,na,5
The Hegemony of the Copyright Treatise [article],"Bartow, Ann (Cited 593 times)",4247,"University of Cincinnati Law Review, Vol. 73, Issue 2 (Winter 2004), pp. 581-644",73 U. Cin. L. Rev. 581 (2004-2005),"Copyright, Intellectual Property Law, Legal Analysis and Writing",17,na,35
True Colors of Trademark Law: Greenlighting a Red Tide of Anti Competition Blues [article],"Bartow, Ann (Cited 593 times)",4247,"Kentucky Law Journal , Vol. 97, Issue 2 (2008-2009), pp. 263-292",97 Ky. L.J. 263 (2008-2009),"Intellectual Property Law, Trade Regulation, Trademarks",16,na,12
Trademarks of Privilege: Naming Rights and the Physical Public Domain [article],"Bartow, Ann (Cited 593 times)",4247,"U.C. Davis Law Review, Vol. 40, Issue 3 (March 2007), pp. 919-970",40 U.C. Davis L. Rev. 919 (2006-2007),"Trademarks, Communications Law, Copyright, Intellectual Property, Property, Publicity, Right of Publicity, Athletes, Education, Intellectual Property Law",15,na,31
The Rights of Workers in Mexico [article],"Bartow, Ann M. (Cited 593 times)",4247,"Comparative Labor Law Journal, Vol. 11, Issue 2 (Winter 1990), pp. 182-202",11 Comp. Lab. L.J. 182 (1989-1990),"Comparative Law, Labor Law, Labor, Minimum Wage, States",14,na,14
Libraries in a Digital and Aggressively Copyrighted World: Retaining Patron Access through Changing Technologies [article],"Bartow, Ann (Cited 593 times)",4247,"Ohio State Law Journal, Vol. 62, Issue 2 (2001), pp. 821-834",62 Ohio St. L.J. 821 (2001),"Libraries, Technology, Research",14,na,7
"Open Access, Law, Knowledge, Copyrights, Dominance and Subordination [article]","Bartow, Ann (Cited 593 times)",4247,"Lewis & Clark Law Review, Vol. 10, Issue 4 (Winter 2006), pp. 869-884",10 Lewis & Clark L. Rev. 869 (2006),"Legal Education, Academic Freedom, Education, Legal Analysis and Writing",13,na,10
