Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Competing for Capital: The Diffusion of Bilateral Investment Treaties, 1960-2000 [article]","Elkins, Zachary (Cited 184 times); Guzman, Andrew T. (Cited 2117 times); Simmons, Beth (Cited 80 times)",6523,"University of Illinois Law Review, Vol. 2008, Issue 1 (2008), pp. 265-304",2008 U. Ill. L. Rev. 265 (2008),"International Trade, Investment, Treaties, Dispute Resolution, Legal Analysis and Writing",42,na,21
Money and the Law: Why Comply with the Public International Law of Money [article],"Simmons, Beth A. (Cited 97 times)",6523,"Yale Journal of International Law, Vol. 25, Issue 2 (Summer 2000), pp. 323-362",25 Yale J. Int'l L. 323 (2000),"Banking, Economics, International Law, Money, Politics",34,na,29
"Getting to Rights: Treaty Ratification, Constitutional Convergence, and Human Rights Practice [article]","Elkins, Zachary (Cited 184 times); Ginsburg, Tom (Cited 950 times); Simmons, Beth (Cited 80 times)",6523,"Harvard International Law Journal, Vol. 54, Issue 1 (Winter 2013), pp. 61-96",54 Harv. Int'l L.J. 61 (2013),"Human Rights, Treaties, Comparative and Foreign Law, Constitutional Law, Legal Profession, Politics",26,na,159
Power Plays and Capacity Constraints: The Selection of Defendants in World Trade Organization Disputes [article],"Guzman, Andrew T. (Cited 2117 times); Simmons, Beth A. (Cited 97 times)",6523,"Journal of Legal Studies, Vol. 34, Issue 2 (June 2005), pp. 557-598",34 J. Legal Stud. 557 (2005),"Capacity, Defendants, World Trade Organization, Dispute Resolution, International Trade, Developing Countries, International Disputes",25,na,10
To Settle or Empanel - An Empirical Analysis of Litigation and Settlement at the World Trade Organization [article],"Guzman, Andrew (Cited 2117 times); Simmons, Beth A. (Cited 97 times)",6523,"Journal of Legal Studies, Vol. 31, Issue 1 - Part 2 (January 2002), pp. S205-S236",31 J. Legal Stud. S205 (2002),"World Trade Organization, Dispute Resolution, International Trade",14,na,6
Civil Rights in International Law: Compliance with Aspects of the International Bill of Rights [article],"Simmons, Beth (Cited 80 times)",6523,"Indiana Journal of Global Legal Studies, Vol. 16, Issue 2 (Summer 2009), pp. 437-482",16 Ind. J. Global Legal Stud. 437 (2009),"Criminal Law and Procedure, International Law, Civil Rights, Constitutional Law",12,na,11
"Ratification, Reporting, and Rights: Quality of Participation in the Convention against Torture [article]","Creamer, Cosette D. (Cited 16 times); Simmons, Beth A. (Cited 97 times)",6523,"Human Rights Quarterly, Vol. 37, Issue 3 (August 2015), pp. 579-608",37 Hum. Rts. Q. 579 (2015),"International Law, Human Rights, Treaties, Human Rights Law, Obligations",7,na,62
International Law and International Relations: Scholarship at the Intersection of Principles and Politics [article],"Simmons, Beth A. (Cited 97 times)",6523,"American Society of International Law Proceedings, Vol. 95, pp. 271-279",95 Am. Soc'y Int'l L. Proc. 271 (2001),"International Law, International Relations, World Politics, Jurisprudence",5,na,14
"Bargaining over BITs, Arbitrating Awards: The Regime for Protection and Promotion of International Investment [article]","Simmons, Beth A. (Cited 97 times)",6523,"World Politics, Vol. 66, Issue 1 (January 2014), pp. 12-46",66 World Pol. 12 (2014),"Investment, Foreign Investment, International Finance, Treaties",5,na,38
The Empirical Turn in International Economic Law [article],"Simmons, Beth A. (Cited 97 times); Briedenbach, Andrew B. (Cited 4 times)",6523,"Minnesota Journal of International Law, Vol. 20, Issue 2 (Summer 2011), pp. 198-222",20 Minn. J. Int'l L. 198 (2011),"Banking, Economics, International Trade, International Law, Legal Analysis and Writing, Science and Technology",4,na,11
Reflections on Mobilizing for Human Rights [article],"Simmons, Beth A. (Cited 97 times)",6523,"New York University Journal of International Law and Politics, Vol. 44, Issue 3 (Spring 2012), pp. 729-750",44 N.Y.U. J. Int'l L. & Pol. 729 (2011-2012),"Human Rights Law, Criminal Law and Procedure, Human Rights, International Law, Economics, Treaties",2,na,43
Why Innovate? Founding the Bank for International Settlements [article],"Simmons, Beth A. (Cited 97 times)",6523,"World Politics, Vol. 45, Issue 3 (April 1993), pp. 361-405",45 World Pol. 361 (1992-1993),"Settlements, Economic Policy",1,na,11
Should States Ratify - Process and Consequences of the Optional Protocol to the ICESCR [article],"Simmons, Beth A. (Cited 97 times)",6523,"Nordisk Tidsskrift for Menneskerettigheter, Vol. 27, Issue 1 (2009), pp. 64-81",27 Nordisk Tidsskrift for Menneskerettigheter 64 (2009),"States, Obligations, Human Rights, Revolution",na,na,29
The Dynamic Impact of Periodic Review on Women's Rights [article],"Creamer, Cosette D. (Cited 16 times); Simmons, Beth A. (Cited 97 times)",6523,"Law and Contemporary Problems, Vol. 81, Issue 4 (2018), pp. 31-72",81 Law & Contemp. Probs. 31 (2018),"Human Rights Law, Women, International Law",na,na,22
"Making Human Rights a Reality, by Emilie M. Hafner-Burton [reviews]","Simmons, Beth A. (Cited 97 times)",6523,"American Journal of International Law, Vol. 109, Issue 2 (April 2015), pp. 442-448",109 Am. J. Int'l L. 442 (2015),"Human Rights, States, Education, Law Enforcement",na,na,14
