Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Administrative Law's Federalism: Preemption, Delegation, and Agencies at the Edge of Federal Power [article]","Galle, Brian (Cited 699 times); Seidenfeld, Mark (Cited 1750 times)",6025,"Duke Law Journal , Vol. 57, Issue 7 (May 2008), pp. 1933-2022",57 Duke L.J. 1933 (2007-2008),"Administrative Law, Federalism, Jurisdiction, Agency, Environment",119,na,39
Laboratories of Democracy - Policy Innovation in Decentralized Governments [article],"Galle, Brian (Cited 699 times); Leahy, Joseph (Cited 110 times)",6025,"Emory Law Journal, Vol. 58, Issue 6 (2009), pp. 1333-1400",58 Emory L.J. 1333 (2009),"Democracy, Laboratories, Politics, Commercial Law, Federalism, States",70,na,30
Keep Charity Charitable [article],"Galle, Brian (Cited 699 times)",6025,"Texas Law Review, Vol. 88, Issue 6 (May 2010), pp. 1213-1234",88 Tex. L. Rev. 1213 (2009-2010),"Agency, Corporations, Taxation-Federal Income, Law and Society, Charities, Organizations",42,na,37
The Tragedy of the Carrots: Economics and Politics in the Choice of Price Instruments [article],"Galle, Brian (Cited 699 times)",6025,"Stanford Law Review, Vol. 64, Issue 4 (April 2012), pp. 797-850",64 Stan. L. Rev. 797 (2012),"Economics, Politics, Duty to Rescue, Good Samaritans, Law and Society",39,na,43
Hidden Taxes [article],"Galle, Brian (Cited 699 times)",6025,"Washington University Law Review, Vol. 87, Issue 1 (2009), pp. 59-114",87 Wash. U. L. Rev. 59 (2009-2010),"Economics, Law and Society, Taxation-State and Local, Government, Health Law and Policy, Subsidies, Tax Policy, Labor",37,na,16
Getting Spending: How to Replace Clear Statement Rules with Clear Thinking about Conditional Grants of Federal Funds [article],"Galle, Brian (Cited 699 times)",6025,"Connecticut Law Review, Vol. 37, Issue 1 (Fall 2004), pp. 155-232",37 Conn. L. Rev. 155 (2004-2005),"Administration Law, Jurisdiction, Legislation, Health Law, Notice, States",36,na,3
"Federal Grants, State Decisions [article]","Galle, Brian (Cited 699 times)",6025,"Boston University Law Review, Vol. 88, Issue 4 (October 2008), pp. 875-936",88 B.U. L. Rev. 875 (2008),"Revolution, States, Constitutional Law, Federalism, Taxation-Federal Income, Environment, Sanctions",33,na,12
Tax Fairness [article],"Galle, Brian (Cited 699 times)",6025,"Washington and Lee Law Review, Vol. 65, Issue 4 (Fall 2008), pp. 1323-1380",65 Wash. & Lee L. Rev. 1323 (Fall 2008),"Equity, Taxation-Federal, Jurisprudence, Taxation-Federal Income, Intellectual Property, Intellectual Property Law, Property, Taxation",25,na,44
Can Federal Agencies Authorize Private Suits under Section 1983 - A Theoretical Approach [article],"Galle, Brian D. (Cited 699 times)",6025,"Brooklyn Law Review, Vol. 69, Issue 1 (Fall 2003), pp. 163-228",69 Brook. L. Rev. 163 (2003-2004),"Civil Rights, Environmental Justice, Agency",23,1,4
Recessions and the Social Safety Net: The Alternative Minimum Tax as a Countercyclical Fiscal Stabilizer [article],"Galle, Brian (Cited 699 times); Klick, Jonathan (Cited 367 times)",6025,"Stanford Law Review, Vol. 63, Issue 1 (December 2010), pp. 187-246",63 Stan. L. Rev. 187 (2010-2011),"Economics, Taxation-Federal Income, Evidence, Taxation-Federal, Taxation-State and Local",23,na,17
"Federal Fairness to State Taxpayers: Irrationality, Unfunded Mandates, and the Salt Deduction [article]","Galle, Brian (Cited 699 times)",6025,"Michigan Law Review, Vol. 106, Issue 5 (March 2008), pp. 805-852",106 Mich. L. Rev. 805 (2007-2008),"Mandates, Taxation-Federal Income, Taxation-State and Local, Taxation, Tax Policy, Taxation-Federal",22,na,28
Designing Interstate Institutions: The Example of the Streamlined Sales and Use Tax Agreement (SSUTA) [article],"Galle, Brian (Cited 699 times)",6025,"U.C. Davis Law Review, Vol. 40, Issue 4 (April 2007), pp. 1381-1436",40 U.C. Davis L. Rev. 1381 (2006-2007),"Sales, Taxation-Federal Income, Commerce, Commerce Clause, History, Taxation",21,2,5
The Role of Charity in a Federal System [article],"Galle, Brian (Cited 699 times)",6025,"William and Mary Law Review, Vol. 53, Issue 3 (January 2012), pp. 777-852",53 Wm. & Mary L. Rev. 777 (2011-2012),"Charities, Politics, Regulation, Bankruptcy, Government",20,na,8
"Tax, Command or Nudge: Evaluating the New Regulation [article]","Galle, Brian (Cited 699 times)",6025,"Texas Law Review, Vol. 92, Issue 4 (March 2014), pp. 837-894",92 Tex. L. Rev. 837 (March 2014),"Education, Regulation, Economics, Law and Society, Psychiatry and Psychology, Tax Incentives",20,na,27
