Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Rock, Scissors, Paper: ERISA, the Bankruptcy Code and State Exemption Laws for Individual Retirement Accounts [article]","Pryor, C. Scott (Cited 93 times)",3173,"American Bankruptcy Law Journal, Vol. 77, Issue 1 (Winter 2003), pp. 65-128",77 Am. Bankr. L.J. 65 (2003),"Bankruptcy, Bankruptcy Law, Pensions, Retirement",12,1,3
Municipal Bankruptcy: When Doing Less Is Doing Best [article],"Pryor, C. Scott (Cited 93 times)",3173,"American Bankruptcy Law Journal, Vol. 88, Issue 1 (Winter 2014), pp. 85-iv",88 Am. Bankr. L.J. 85 (2014),"Bankruptcy, Constitutional Law, Contracts",12,na,17
Revised Uniform Commercial Code Article 9: Impact in Bankruptcy [article],"Pryor, C. Scott (Cited 93 times)",3173,"American Bankrutpcy Institute Law Review, Vol. 7, Issue 2 (Winter 1999), pp. 465-516",7 Am. Bankr. Inst. L. Rev. 465 (1999),"Bankruptcy, Commercial Code, Commercial Law, Uniform Commercial Code",11,1,4
How Revised Article 9 Will Turn the Trustee's Strong-Arm into a Weak Finger: A Potpourri of Cases [article],"Pryor, C. Scott (Cited 93 times)",3173,"American Bankruptcy Institute Law Review, Vol. 9, Issue 1 (Spring 2001), pp. 229-286",9 Am. Bankr. Inst. L. Rev. 229 (2001),"Bankruptcy, Oil and Gas",9,na,2
Principled Pluralism and Contract Remedies [article],"Pryor, C. Scott (Cited 93 times)",3173,"McGeorge Law Review, Vol. 40, Issue 3 (2009), pp. 723-756",40 McGeorge L. Rev. 723 (2009),"Contracts, Remedies, Breach of Contract, Damages",9,na,5
Mission Possible: A Paradigm for Analysis of Contractual Impossiblity at Regent University [article],"Pryor, C. Scott (Cited 93 times)",3173,"St. John's Law Review, Vol. 74, Issue 3 (Summer 2000), pp. 691-730",74 St. John's L. Rev. 691 (2000),"Contracts, Religion, Schools",8,na,1
Consideration in the Common Law of Contracts: A Biblical-Theological Critique [article],"Pryor, C. Scott (Cited 93 times)",3173,"Regent University Law Review, Vol. 18, Issue 1 (2005-2006), pp. 1-52",18 Regent U. L. Rev. 1 (2005-2006),"Common Law, Contracts, Religion, Precedents",7,na,394
God's Bridle: John Calvin's Application of Natural Law [article],"Pryor, C. Scott (Cited 93 times)",3173,"Journal of Law and Religion , Vol. 22, Issue 1 (2006-2007), pp. 225-254",22 J. L. & Religion 225 (2006-2007),"Natural Law, Human Rights",5,na,8
Puritan Revolution and the Law of Contracts [article],"Pryor, C. Scott (Cited 93 times); Hoshauer, Glenn M. (Cited 5 times)",3173,"Texas Wesleyan Law Review, Vol. 11, Issue 2 (Spring 2005), pp. 291-360",11 Tex. Wesleyan L. Rev. 291 (2004-2005),"Contracts, Revolution, Jurisprudence, Marriage, Same-Sex Marriage, Sex",5,3,10
Third Time's the Charm: The Coming Impact of the Restatement (Third) Restitution and Unjust Enrichment in Bankruptcy [article],"Pryor, C. Scott (Cited 93 times)",3173,"Pepperdine Law Review, Vol. 40, Issue 4 (2013), pp. 843-910",40 Pepp. L. Rev. 843 (2012-2013),"Bankruptcy, Restitution, Equity, Bankruptcy Law, Common Law",4,na,9
