Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The New Formalism: Requiem for Tiered Scrutiny [article],"Massey, Calvin (Cited 466 times)",4588,"University of Pennsylvania Journal of Constitutional Law, Vol. 6, Issue 5 (May 2004), pp. 945-997",6 U. Pa. J. Const. L. 945 (2003-2004),"First Amendment, Constitutional Law, Equal Protection, Interest, Judges, Judicial Review",82,2,10
Federalism and the Rehnquist Court [article],"Massey, Calvin (Cited 466 times)",4588,"Hastings Law Journal, Vol. 53, Issue 2 (January 2002), pp. 431-518",53 Hastings L.J. 431 (2001-2002),"Federalism, Judges, Jurisdiction, Marijuana, Medical Marijuana",71,2,8
"Guns, Extremists, and the Constitution [article]","Massey, Calvin (Cited 466 times)",4588,"Washington and Lee Law Review, Vol. 57, Issue 4 (Fall 2000), pp. 1095-1138",57 Wash. & Lee L. Rev. 1095 (2000),"Constitutional Law, Legal History, Second Amendment",43,na,30
State Standing after Massachusetts v. EPA [article],"Massey, Calvin (Cited 466 times)",4588,"Florida Law Review , Vol. 61, Issue 2 (April 2009), pp. 249-284",61 Fla. L. Rev. 249 (2009),"Standing, Climate Change, Judges, States",35,2,25
"Public Fora, Neutral Governments, and the Prism of Property [article]","Massey, Calvin (Cited 466 times)",4588,"Hastings Law Journal, Vol. 50, Issue 2 (January 1999), pp. 309-354",50 Hastings L.J. 309 (1998-1999),"Property, Government, Constitutional Law, First Amendment",35,1,2
Joltin Joe Has Left and Gone Away: The Vanishing Presumption against Preemption [comments],"Massey, Calvin (Cited 466 times)",4588,"Albany Law Review, Vol. 66, Issue 3 (2003), pp. 759-764",66 Alb. L. Rev. 759 (2002-2003),"Remedies, Statutes, Treaties, Judges",27,2,5
Two Zones of Prophylaxis: The Scope of the Fourteenth Amendment Enforcement Power [article],"Massey, Calvin (Cited 466 times)",4588,"George Washington Law Review, Vol. 76, Issue 1 (November 2007), pp. 1-51",76 Geo. Wash. L. Rev. 1 (2007-2008),"Constitutional Law, Fourteenth Amendment, Immunity, Remedies, Sovereign Immunity, Eleventh Amendment",21,na,2
The Role of Governmental Purpose in Constitutional Judicial Review [article],"Massey, Calvin (Cited 466 times)",4588,"South Carolina Law Review, Vol. 59, Issue 1 (Autumn 2007), pp. 1-60",59 S. C. L. Rev. 1 (2007-2008),"Constitutional Law, Judges, Domestic Relations, Sexual Orientation, Criminal Law and Procedure, Religion",15,na,4
Some Thoughts on the Law and Politics of Reparations for Slavery [article],"Massey, Calvin (Cited 466 times)",4588,"Boston College Third World Law Journal, Vol. 24, Issue 1 (Winter 2004), pp. 157-176",24 B.C. Third World L.J. 157 (2004),"Politics, Restitution, Slavery, Legal History, Remedies",14,na,14
The Political Marketplace of Religion [article],"Massey, Calvin (Cited 466 times)",4588,"Hastings Law Journal, Vol. 57, Issue 1 (2005-2006), pp. 1-54",57 Hastings L.J. 1 (2005-2006),"Politics, Religion, Children, Constitutional Law, First Amendment",13,na,7
Second Amendment Decision Rules [article],"Massey, Calvin (Cited 466 times)",4588,"Hastings Law Journal , Vol. 60, Issue 6 (2008-2009), pp. 1431-1444",60 Hastings L.J. 1431 (2008-2009),"Second Amendment, Courts",12,na,6
Designation of Heirs: A Modest Proposal to Diminish Will Contents [article],"Massey, Calvin (Cited 466 times)",4588,"Real Property, Probate and Trust Journal, Vol. 37, Issue 4 (Winter 2003), pp. 577-610",37 Real Prop. Prob. & Tr. J. 577 (2002-2003),"Estate Planning, Probate, Probate Law, Estates, Legislation",12,na,1
"Elites, Identity Politics, Guns, and the Manufacture of Legal Rights [comments]","Massey, Calvin (Cited 466 times)",4588,"Fordham Law Review, Vol. 73, Issue 2 (November 2004), pp. 573-588",73 Fordham L. Rev. 573 (November 2004),"Politics, Second Amendment",11,na,14
Congressional Power to Regulate Sex Discrimination: The Effect of the Supreme Court's New Federalism [article],"Massey, Calvin (Cited 466 times)",4588,"Maine Law Review, Vol. 55, Issue 1 (2002), pp. 63-88",55 Me. L. Rev. 63 (2002-2003),"Jurisdiction, Criminal Law and Procedure, Sexuality and the Law, Constitutional Law",9,na,2
