Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
American Lawyers and International Competence [article],"Ku, Charlotte (Cited 60 times); Borgen, Christopher J. (Cited 130 times)",1605,"Dickinson Journal of International Law, Vol. 18, Issue 3 (Spring 2000), pp. 493-516",18 Dick. J. Int'l L. 493 (1999-2000),"Legal Profession, International Law, Private International Law",21,na,1
International Law - New Actors and New Technologies: Center Stage for NGOs [article],"Gamble, John King (Cited 37 times); Ku, Charlotte (Cited 60 times)",1605,"Law and Policy in International Business, Vol. 31, Issue 2 (2000), pp. 221-262",31 Law & Pol'y Int'l Bus. 221 (1999-2000),"Computer Law, International Law, Non-Governmental Organizations (Ngos), United Nations, Legal Education, Legal Research, Legal Writing",12,na,27
When Can Nations Go to War - Politics and Change in the UN Security System [article],"Ku, Charlotte (Cited 60 times)",1605,"Michigan Journal of International Law, Vol. 24, Issue 4 (Summer 2003), pp. 1077-1120",24 Mich. J. Int'l L. 1077 (Summer 2003),"International Relations, United Nations, War, International Law, Organizations",7,na,33
Human-Centric International Law: A Model and a Search for Empirical Indicators [article],"Gamble, John King (Cited 37 times); Ku, Charlotte (Cited 60 times); Strayer, Chris (Cited 5 times)",1605,"Tulane Journal of International and Comparative Law, Vol. 14, Issue 1 (Winter 2005), pp. 61-80",14 Tul. J. Int'l & Comp. L. 61 (2005-2006),"Jurisprudence, Law and Society, International Law, State, The",5,na,3
Choice of Language in Bilateral Treaties: Fifty Years of Changing State Practice [article],"Gamble, John King (Cited 37 times); Ku, Charlotte (Cited 60 times)",1605,"Indiana International & Comparative Law Review, Vol. 3, Issue 2 (1993), pp. 233-264",3 Ind. Int'l & Comp. L. Rev. 233 (1992-1993),"Law and Society, International Law",4,na,1
Filling in the Gaps: Extrasystemic Mechanisms for Addressing Imbalances between the International Legal Operating System and the Normative System [article],"Ku, Charlotte (Cited 60 times); Diehl, Paul F. (Cited 33 times)",1605,"Global Governance, Vol. 12, Issue 2 (April - June 2006), pp. 161-184",12 Global Governance 161 (2006),"Politics, International Law, Costs",3,na,24
Introductory Remarks [comments],"Ku, Charlotte (Cited 60 times)",1605,"American Society of International Law Proceedings, Vol. 96, pp. 54-54",96 Am. Soc'y Int'l L. Proc. 54 (2002),"Computer Law, International Law, Non-Governmental Organizations (Ngos), United Nations",2,na,1
Introduction to Transnational Law: What Is It - How Does It Differ from International Law and Comparative Law [comments],"Ku, Charlotte (Cited 60 times)",1605,"Penn State International Law Review, Vol. 23, Issue 4 (Spring 2005), pp. 795-796",23 Penn St. Int'l L. Rev. 795 (2004-2005),"Legal Education, Actions and Defenses, Dispute Resolution, International Law, Practice and Procedure",2,na,3
Bridging the International Law-International Relations Divide: Taking Stock of Progress [article],"Irish, Adam (Cited 3 times); Ku, Charlotte (Cited 60 times); Diehl, Paul F. (Cited 33 times)",1605,"Georgia Journal of International and Comparative Law, Vol. 41, Issue 2 (2013), pp. 357-388",41 Ga. J. Int'l & Comp. L. 357 (2012-2013),"Economics, Politics, International Law, International Relations, Customary Law, Natural Law",2,na,6
Harold K. Jacobson (1929-2001): An Appreciation [notes],"Ku, Charlotte (Cited 60 times)",1605,"American Journal of International Law, Vol. 95, Issue 4 (October 2001), pp. 849-850",95 Am. J. Int'l L. 849 (2001),"International Law, International Relations, War, World Politics",1,na,5
