Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Out Yet Unseen: A Racial Critique of Gay and Lesbian Legal Theory and Political Discourse [article],"Hutchinson, Darren Lenard (Cited 906 times)",6660,"Connecticut Law Review, Vol. 29, Issue 2 (Winter 1997), pp. 561-646",29 Conn. L. Rev. 561 (1996-1997),"Jurisprudence, Sexuality and the Law, Civil Rights, Boundaries",167,na,75
"Ignoring the Sexualization of Race: Heteronormativity, Critical Race Theory and Anti-Racist Politics [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"Buffalo Law Review, Vol. 47, Issue 1 (Winter 1999), pp. 1-116",47 Buff. L. Rev. 1 (1999),"Jurisprudence, Politics, Race, Feminism, Civil Rights, Women",122,na,177
"Gay Rights for Gay Whites: Race, Sexual Identity, and Equal Protection Discourse [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"Cornell Law Review , Vol. 85, Issue 5 (1999-2000), pp. 1358-1391",85 Cornell L. Rev. 1358 (1999-2000),"Civil Rights, Discrimination, Equal Protection, Gay Men and Lesbians, Race, Sexuality and the Law, Crimes, Sexual Orientation, Sodomy, Statutory Construction",98,1,103
"Identity Crisis: Intersectionality, Multidimensionality, and the Development of an Adequate Theory of Subordination [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"Michigan Journal of Race & Law, Vol. 6, Issue 2 (Spring 2001), pp. 285-318",6 Mich. J. Race & L. 285 (2000-2001),"Sexuality and the Law, Civil Rights, Discrimination, Equal Protection, Gay Men and Lesbians, Race",96,na,149
Unexplainable on Grounds Other Than Race: The Inversion of Privilege and Subordination in Equal Protection Jurisprudence [article],"Hutchinson, Darren Lenard (Cited 906 times)",6660,"University of Illinois Law Review, Vol. 2003, Issue 3 (2003), pp. 615-700",2003 U. Ill. L. Rev. 615 (2003),"Constitutional Law, Equal Protection, Jurisprudence, Race, Fourteenth Amendment, Sexuality and the Law",79,na,18
"Progressive Race Blindness: Individual Identity, Group Politics, and Reform [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"UCLA Law Review, Vol. 49, Issue 5 (June 2002), pp. 1455-1480",49 UCLA L. Rev. 1455 (2001-2002),"Politics, Race, Jurisprudence, Law and Society",45,na,25
Racial Exhaustion [article],"Hutchinson, Darren Lenard (Cited 906 times)",6660,"Washington University Law Review, Vol. 86, Issue 4 (2009), pp. 917-974",86 Wash. U. L. Rev. 917 (2008-2009),"Law and Society, Race",34,na,11
Critical Race Histories: In and Out [comments],"Hutchinson, Darren Lenard (Cited 906 times)",6660,"American University Law Review, Vol. 53, Issue 6 (August 2004), pp. 1187-1216",53 Am. U. L. Rev. 1187 (2003-2004),"Jurisprudence, Race, Politics",33,na,19
"The Majoritarian Difficulty: Affirmative Action, Sodomy, and Supreme Court Politics [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"Law and Inequality: A Journal of Theory and Practice, Vol. 23, Issue 1 (Winter 2005), pp. 1-94",23 Law & Ineq. 1 (Winter 2005),"Affirmative Action, Politics, Sexuality and the Law, Sodomy, Judges, Judicial Review, Administration Law, Agency, President/Executive Department",33,na,17
"Accommodating Outness: Hurley, Free Speech, and Gay and Lesbian Equality [article]","Hutchinson, Darren Lenard (Cited 906 times)",6660,"University of Pennsylvania Journal of Constitutional Law, Vol. 1, Issue 1 (Spring 1998), pp. 85-126",1 U. Pa. J. Const. L. 85 (1998-1999),"Equal Protection, Sex, Constitutional Law, Sexuality and the Law, Sodomy",30,na,5
