Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Cocaine, Race, and Equal Protection [article]","Sklansky, David A. (Cited 1466 times)",9155,"Stanford Law Review, Vol. 47, Issue 7 (July 1995), pp. 1283-1322",47 Stan. L. Rev. 1283 (1994-1995),"Cocaine, Equal Protection, Race, Courts, Sentencing, Biography, Politics",216,12,32
The Private Police [article],"Sklansky, David A. (Cited 1466 times)",9155,"UCLA Law Review, Vol. 46, Issue 4 (April 1999), pp. 1165-1288",46 UCLA L. Rev. 1165 (April 1999),"Criminal Law and Procedure, Law Enforcement and Corrections",155,7,98
The Fourth Amendment and Common Law [article],"Sklansky, David A. (Cited 1466 times)",9155,"Columbia Law Review, Vol. 100, Issue 7 (November 2000), pp. 1739-1814",100 Colum. L. Rev. 1739 (2000),"Criminal Law and Procedure, Constitutional Law, Military Law",146,2,28
"Traffic Stops, Minority Motorists, and the Future of the Fourth Amendment [article]","Sklansky, David A. (Cited 1466 times)",9155,"Supreme Court Review, Vol. 1997, pp. 271-330",1997 Sup. Ct. Rev. 271 (1997),Criminal Law and Procedure,130,8,18
Police and Democracy [article],"Sklansky, David Alan (Cited 1466 times)",9155,"Michigan Law Review, Vol. 103, Issue 7 (June 2005), pp. 1699-1830",103 Mich. L. Rev. 1699 (June 2005),"Democracy, Law and Society, Police, Health",103,na,66
Anti-Inquisitorialism [article],"Sklansky, David Alan (Cited 1466 times)",9155,"Harvard Law Review, Vol. 122, Issue 6 (April 2009), pp. 1634-1705",122 Harv. L. Rev. 1634 (April 2009),"Fourteenth Amendment, Criminal Law and Procedure, Law Enforcement and Corrections, Military, War and Peace, Evidence",82,2,27
"Back to the Future: Kyllo, Katz, and Common Law [article]","Sklansky, David A. (Cited 1466 times)",9155,"Mississippi Law Journal, Vol. 72, Issue 1 (Fall 2002), pp. 143-212",72 Miss. L.J. 143 (2002-2003),"Criminal Law and Procedure, Science and Technology",66,na,34
Quasi-Affirmative Rights in Constitutional Criminal Procedure [article],"Sklansky, David A. (Cited 1466 times)",9155,"Virginia Law Review, Vol. 88, Issue 6 (October 2002), pp. 1229-1300",88 Va. L. Rev. 1229 (2002),"Criminal Procedure, Procedure, Constitutional Rights, Constitutions, Government, Jurisprudence",65,2,8
"Crime, Immigration, and Ad Hoc Instrumentalism [article]","Sklansky, David Alan (Cited 1466 times)",9155,"New Criminal Law Review, Vol. 15, Issue 2 (Spring 2012), pp. 157-223",15 New Crim. L. Rev. 157 (2012),"Immigration Law, Politics, Race and Ethnicity, Criminal Law and Procedure",61,1,29
Hearsay's Last Hurrah [article],"Sklansky, David Alan (Cited 1466 times)",9155,"Supreme Court Review, Vol. 2009, pp. 1-82",2009 Sup. Ct. Rev. 1 (2009),"Criminal Procedure, Evidence, Criminal Law and Procedure, Legal History",61,9,28
