Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Winning through Losing [article],"NeJaime, Douglas (Cited 873 times)",113,"Iowa Law Review, Vol. 96, Issue 3 (March 2010), pp. 941-1012",96 Iowa L. Rev. 941 (March 2010),"Practice and Procedure, Legal Profession, Communications Law, Comparative Law, Conflict of Laws, International Law, Jurisdiction, Law and Society, Legal Analysis and Writing",117,na,46
Lawyering for Marriage Equality [article],"Cummings, Scott L. (Cited 814 times); NeJaime, Douglas (Cited 873 times)",113,"UCLA Law Review , Vol. 57, Issue 5 (June 2010), pp. 1235-1332",57 UCLA L. Rev. 1235 (2009-2010),"Domestic Relations, Marriage, Politics, States",106,na,66
Exposing Sex Stereotypes in Recent Same-Sex Marriage Jurisprudence [article],"Widiss, Deborah A. (Cited 471 times); Rosenblatt, Elizabeth L. (Cited 191 times); NeJaime, Douglas (Cited 873 times)",113,"Harvard Journal of Law & Gender , Vol. 30, Issue 2 (Summer 2007), pp. 461-506",30 Harv. J.L. & Gender 461 (2007),"Domestic Relations, Jurisprudence, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law",83,na,22
Marriage Equality and the New Parenthood [article],"NeJaime, Douglas (Cited 873 times)",113,"Harvard Law Review, Vol. 129, Issue 5 (March 2016), pp. 1185-1266",129 Harv. L. Rev. 1185 (2015-2016),"Domestic Relations, Marriage, Reproduction, Sexual Orientation, Family Law, Constitutional Law",67,na,125
"Marriage Inequality: Same-Sex Relationships, Religious Exemptions, and the production of Sexual Orientation Discrimination [article]","NeJaime, Douglas (Cited 873 times)",113,"California Law Review, Vol. 100, Issue 5 (October 2012), pp. 1169-1238",100 Calif. L. Rev. 1169 (2012),"Discrimination, Domestic Relations, Fair Employment, Fair Housing, Gay Men and Lesbians, Marriage, Public Accommodations, Religion, Sex, Sexual Orientation",61,3,82
Before Marriage: the Unexplored History of Nonmarital Recognition and Its Relationship to Marriage [article],"NeJaime, Douglas (Cited 873 times)",113,"California Law Review, Vol. 102, Issue 1 (February 2014), pp. 87-172",102 Calif. L. Rev. 87 (February 2014),"Domestic Relations, History, Law and Society, Marriage, Sexuality and the Law, Same-Sex Marriage, Sex",56,na,37
The Legal Mobilization Dilemma [article],"NeJaime, Douglas (Cited 873 times)",113,"Emory Law Journal, Vol. 61, Issue 4 (2012), pp. 663-736",61 Emory L.J. 663 (2012),"Law and Society, Legal Profession, Marriage, Immigration Law, States",47,na,36
When New Governance Fails [article],"NeJaime, Douglas (Cited 873 times)",113,"Ohio State Law Journal , Vol. 70, Issue 2 (2009), pp. 323-402",70 Ohio St. L.J. 323 (2009),"Jurisprudence, Legal Profession, Corporations, Regulation, Securities, Politics",32,na,14
"Marriage, Cruising, and Life in between: Clarifying Organizational Positionalities in Pursuit of Polyvocal Gay-Based Advocacy [notes]","NeJaime, Douglas (Cited 873 times)",113,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 38, Issue 2 (Summer 2003), pp. 511-562",38 Harv. C.R.-C.L. L. Rev. 511 (2003),"Marriage, Sexuality and the Law, Transgender, Health, Public Health, Same-Sex Marriage, Sex",29,na,7
Cause Lawyers inside the State [article],"NeJaime, Douglas (Cited 873 times)",113,"Fordham Law Review, Vol. 81, Issue 2 (November 2012), pp. 649-704",81 Fordham L. Rev. 649 (November 2012),"Legal Profession, Communications Law, Comparative Law, Conflict of Laws, International Law, Jurisdiction, Law and Society, Legal Analysis and Writing",20,na,36
"Inclusion, Accommodation, and Recognition: Accounting for Differences Based on Religion and Sexual Orientation [article]","NeJaime, Douglas (Cited 873 times)",113,"Harvard Journal of Law & Gender, Vol. 32, Issue 2 (Summer 2009), pp. 303-382",32 Harv. J.L. & Gender 303 (2009),"Accounting, Education, Religion, Sexual Orientation, Sexuality and the Law, Jurisprudence, Minorities",20,na,25
"Constitutional Change, Courts, and Social Movements [reviews]","NeJaime, Douglas (Cited 873 times)",113,"Michigan Law Review, Vol. 111, Issue 6 (April 2013), pp. 877-902",111 Mich. L. Rev. 877 (2012-2013),"Courts, Constitutional Law, Jurisprudence, Law and Society",19,na,38
"Marriage, Biology, and Gender [comments]","NeJaime, Douglas (Cited 873 times)",113,"Iowa Law Review Bulletin, Vol. 98, pp. 83-96",98 Iowa L. Rev. Bull. 83 (2013),"Gender, Marriage, Sexual Orientation",12,na,5
"Griswold's Progeny: Assisted Reproduction, Procreative Liberty, and Sexual Orientation Equality [article]","NeJaime, Douglas (Cited 873 times)",113,"Yale Law Journal Forum, Vol. 124, pp. 340-348",124 Yale L.J. F. 340 (2014-2015),"Liberty, Reproduction, Sexual Orientation, Marriage, Same-Sex Marriage, Sex, Insurance Law",8,na,13
"The View from Below: Public Interest Lawyering, Social Change, and Adjudication [article]","NeJaime, Douglas (Cited 873 times)",113,"UCLA Law Review Discourse, Vol. 61, pp. 182-205",61 UCLA L. Rev. Discourse 182 (2013),"Interest, Public Interest Law, Legal Profession, Money",6,na,2
Framing (in)Equality for Same-Sex Couples [article],"NeJaime, Douglas (Cited 873 times)",113,"UCLA Law Review Discourse, Vol. 60, pp. 184-199",60 UCLA L. Rev. Discourse 184 (2012),"Sex, Marriage, Civil Unions, States, Unions",5,na,3
The Family's Constitution [article],"NeJaime, Douglas (Cited 873 times)",113,"Constitutional Commentary, Vol. 32, Issue 2 (Summer 2017), pp. 413-448",32 Const. Comment. 413 (2017),"Sexual Orientation, Family Law, Domestic Relations",1,na,21
Exposing Sex Sterotypes in Recent Same-Sex Marriage Jurisprudence [article],"Widiss, Deborah A. (Cited 471 times); Rosenblatt, Elizabeth L. (Cited 191 times); NeJaime, Douglas (Cited 873 times)",113,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 7, Issue 1 (2008), pp. 1-46",7 Dukeminier Awards: Best Sexual Orientation & Gender Identity L. Rev. 1 (2008),"Domestic Relations, Jurisprudence, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law",na,na,7
Winning through Losing [article],"NeJaime, Douglas (Cited 873 times)",113,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 11, pp. 941-1012",11 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 941 (2011-2012),"Practice and Procedure, Consent, Human Rights, Informed Consent, Government",na,na,6
The Nature of Parenthood [article],"NeJaime, Douglas (Cited 873 times)",113,"Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review, Vol. 17, pp. 283-392",17 Dukeminier Awards: Best Sexual Orientation and Gender Identity Law Review 283 (2018),"Domestic Relations, Reproduction, Sexual Orientation, Adoption, Parents, Uniform Parentage Act",na,na,15
Introduction: Religious Accommodation in the Age of Civil Rights [article],"Stolzenberg, Nomi Maya (Cited 253 times); NeJaime, Douglas (Cited 873 times)",113,"Harvard Journal of Law and Gender, Vol. 38, Issue 1 (Winter 2015), pp. vii-xiv",38 Harv. Women's L.J. vii (2015),"Age, Civil Rights, Death, Discrimination, Housing, Housing Law, Liberty, Religion, Sexual Orientation",na,na,na
How Families Gain Recognition [reviews],"NeJaime, Douglas (Cited 873 times)",113,"Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [116]-[118]",2015 Jotwell: J. Things We Like [116] (2015),"Civil Rights, Civil Unions, Domestic Partnerships, Domestic Relations, Family Law, Law and Society, Same-Sex Marriage, Sex, Sexuality and the Law, Employment Practice",na,na,na
Biological and Social Approaches to the LGBT Family [reviews],"NeJaime, Douglas (Cited 873 times)",113,"Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",2017 Jotwell: J. Things We Like 1 (2017),"Domestic Relations, Reproduction, Sexual Orientation, Transgender",na,na,9
"Status-Conduct, Old and New [reviews]","NeJaime, Douglas (Cited 873 times)",113,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-3",2018 Jotwell: J. Things We Like 1 (2018),"Sexual Orientation, Civil Rights, Domestic Relations, First Amendment, Religion, Minorities, Sodomy",na,na,7
Talking around Marriage [comments],"NeJaime, Douglas (Cited 873 times)",113,"Loyola of Los Angeles Law Review, Vol. 45, Issue 3 (Spring 2012), pp. 675-692",45 Loy. L. A. L. Rev. 675 (2011-2012),"Marriage, Courts, Minorities",na,na,36
Religious Exemptions and Antidiscrimination Law in Masterpiece Cakeshop [article],"NeJaime, Douglas (Cited 873 times); Siegel, Reva (Cited 6348 times)",113,"Yale Law Journal Forum, Vol. 128, pp. 201-225",128 Yale L.J. F. 201 (2018-2019),"Abortion, Constitutional Law, First Amendment, Reproduction, Health, Neutrality",na,na,na
A New Vision for LGBT Rights Critique and Reform [reviews],"NeJaime, Douglas (Cited 873 times)",113,"Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-4",2019 Jotwell: J. Things We Like 1 (2019),"Human Rights, Communications Law, First Amendment, Public Policy, Public Schools, Schools, Students, Discipline",na,na,na
