Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Cooperation with Federal Prosecutors: Experiences of Truth Telling and Embellishment [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Fordham Law Review, Vol. 68, Issue 3 (December 1999), pp. 917-964",68 Fordham L. Rev. 917 (1999-2000),"Evidence, Law Enforcement and Corrections, Criminal Law and Procedure, Jurisprudence",119,1,17
Wrongful Convictions: It is Time to Take Prosecution Discipline Seriously [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"University of the District of Columbia David A. Clarke School of Law Law Review, Vol. 8, pp. 275-302",8 UDC/DCSL L. Rev. 275 (2004),"Discipline, Professional Ethics",62,na,123
Secret Evidence Is Slowly Eroding the Adversary System: CIPA and FISA in the Courts [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Hofstra Law Review, Vol. 34, Issue 3 (Spring 2006), pp. 1063-1092",34 Hofstra L. Rev. 1063 (2005-2006),"Adversary System, Courts, Evidence, Defendants, Government, National Security",29,na,12
Foreword: New Perspectives on Brady and Other Disclosure Obligations: What Really Works [comments],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Cardozo Law Review, Vol. 31, Issue 6 (June 2010), pp. 1943-1960",31 Cardozo L. Rev. 1943 (2009-2010),"Criminal Law and Procedure, Evidence, Professional Ethics, Corporations, Securities",26,na,20
Balancing Victim's Rights and Vigorous Advocacy for the Defendant [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Annual Survey of American Law, Vol. 1989, Issue 1 (1989), pp. 135-156",1989 Ann. Surv. Am. L. 135 (1989),"Criminal Law and Procedure, Law and Society, Constitutional Rights, Victims' Rights, Evidence",23,1,11
Prosecutorial Accountability 2.0 [article],"Green, Bruce (Cited 2634 times); Yaroshefsky, Ellen (Cited 376 times)",1213,"Notre Dame Law Review, Vol. 92, Issue 1 (November 2016), pp. 51-116",92 Notre Dame L. Rev. 51 (November 2016),"Legal Profession, Professional Ethics, Criminal Law and Procedure",20,na,64
New Orleans Prosecutorial Disclosure in Practice after Connick v. Thompson [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Georgetown Journal of Legal Ethics, Vol. 25, Issue 4 (Fall 2012), pp. 913-942",25 Geo. J. Legal Ethics 913 (2012),"Criminal Law and Procedure, Torts, Fourteenth Amendment, Legal Profession, State and Local Government Law",19,na,8
Prosecutorial Disclosure Obligations [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Hastings Law Journal, Vol. 62, Issue 5 (2010-2011), pp. 1321-1348",62 Hastings L.J. 1321 (2010-2011),"Legal Profession, Professional Ethics, Criminal Law and Procedure",18,3,31
Ethics and Plea Bargaining - What's Discovery Got to Do With It [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Criminal Justice, Vol. 23, Issue 3 (Fall 2008), pp. 28-59",23 Crim. Just. 28 (2008-2009),"Criminal Law and Procedure, Psychiatry and Psychology, Law and Society",12,na,30
Military Lawyering at the Edge of the Rule of Law at Guantanamo: Should Lawyers Be Permitted to Violate the Law [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Hofstra Law Review, Vol. 36, Issue 2 (Winter 2007), pp. 563-600",36 Hofstra L. Rev. 563 (2007-2008),"Rule of Law, Military Law, Military Tribunals, President/Executive Department, Legal Profession, Terrorism, War",10,na,10
Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Cardozo Law Review, Vol. 23, Issue 3 (February 2002), pp. 747-758",23 Cardozo L. Rev. 747 (2001-2002),"Evidence, Law Enforcement and Corrections, Witnesses, Immunity, Professional Ethics",9,na,1
Zealous Lawyering Succeeds against All Odds: Major Mori and the Legal Team for David Hicks at Guantanamo Bay [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Roger Williams University Law Review, Vol. 13, Issue 2 (Spring 2008), pp. 469-496",13 Roger Williams U. L. Rev. 469 (2008),"Legal Profession, Courts, Attorneys, Military Law, Publicity",7,na,4
Ministers of Justice and Mass Incarceration [article],"Griffin, Lissa (Cited 176 times); Yaroshefsky, Ellen (Cited 376 times)",1213,"Georgetown Journal of Legal Ethics, Vol. 30, Issue 2 (Spring 2017), pp. 301-[iv]",30 Geo. J. Legal Ethics 301 (2017),"Law Enforcement, Sentencing, Criminal Law and Procedure, Legal Profession, Sentencing and Punishment, Legal Research",6,na,66
Enhancing the Justice Mission in the Exercise of Prosecutorial Discretion [comments],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Temple Political & Civil Rights Law Review, Vol. 19, Issue 2 (Spring 2010), pp. 343-360",19 Temp. Pol. & Civ. Rts. L. Rev. 343 (2009-2010),"Criminal Law and Procedure, International Law, Military, War and Peace",6,na,10
Waiting for the Elevator: Talking about Race [article],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Georgetown Journal of Legal Ethics, Vol. 27, Issue 4 (Fall 2014), pp. 1203-1219",27 Geo. J. Legal Ethics 1203 (2014),"Legal Education, Human Rights Law, International Law",3,na,13
"My Client, the Cooperator, Lied: Now What [article]","Yaroshefsky, Ellen (Cited 376 times)",1213,"Ohio State Journal of Criminal Law , Vol. 7, Issue 2 (Spring 2010), pp. 659-666",7 Ohio St. J. Crim. L. 659 (2009-2010),"Evidence, Practice and Procedure, Criminal Law and Procedure, Legal Profession, Professional Ethics",3,na,6
Foreword to the Conference Report: The New York City Housing Court in the 21st Century: Can It Better Address the Problems before It [comments],"Yaroshefsky, Ellen (Cited 376 times); Flood, Marilyn J. (Cited 4 times)",1213,"Cardozo Public Law, Policy, and Ethics Journal, Vol. 3, Issue 3 (January 2006), pp. 591-600",3 Cardozo Pub. L. Pol'y & Ethics J. 591 (2004-2006),Housing,1,na,3
Introduction [comments],"Yaroshefsky, Ellen (Cited 376 times)",1213,"Cardozo Public Law, Policy, and Ethics Journal, Vol. 5, Issue 1 (Fall 2006), pp. 1-6",5 Cardozo Pub. L. Pol'y & Ethics J. 1 (2006-2007),"Courts, Evidence, Immigration Law, Military Tribunals",1,na,na
