Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Gun Jumping: The Problem of Extraneous Offers of Securities [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"University of Pittsburgh Law Review, Vol. 50, Issue 2 (Winter 1989), pp. 457-512",50 U. Pitt. L. Rev. 457 (1988-1989),"Securities, Economics, Deregulation",15,na,10
The Life and Adventures of Unocal--Part I: Moore the Marrier [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Delaware Journal of Corporate Law, Vol. 23, Issue 1 (1998), pp. 85-144",23 Del. J. Corp. L. 85 (1998),"Corporations, Torts, Equity, Ownership",8,1,1
The Moral Basis of State Corporate Law Disclosure [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Catholic University Law Review, Vol. 49, Issue 3 (Spring 2000), pp. 697-740",49 Cath. U. L. Rev. 697 (1999-2000),"Corporations, Fraud, Securities",7,na,3
Stories from Camp Automotive: Communicating the Importance of Family Dynamics to Corporation Law Students [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Georgia Law Review, Vol. 34, Issue 2 (Winter 2000), pp. 699-720",34 Ga. L. Rev. 699 (1999-2000),"Domestic Relations, Law Students, Students, Contracts, Corporations, Legal Education",7,1,3
Trans Union Unreconsidered [comments],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Journal of Corporation Law, Vol. 15, Issue 1 (Fall 1989), pp. 27-38",15 J. Corp. L. 27 (1989-1990),"Corporations, Business Judgment Rule, Arts",6,na,na
"The Myth of Director Consent: After Shaffer, beyond Nicastro [article]","Chiappinelli, Eric A. (Cited 62 times)",6750,"Delaware Journal of Corporate Law, Vol. 37, Issue 3 (2013), pp. 783-848",37 Del. J. Corp. L. 783 (2012-2013),"Consent, Corporations, Professional Ethics, Securities, Banking, Science and Technology",5,1,3
Reinventing a Security: Arguments for a Public Interest Definition [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Washington and Lee Law Review, Vol. 49, Issue 3 (Summer 1992), pp. 957-986",49 Wash. & Lee L. Rev. 957 (Summer 1992),"Interest, Investment, Securities, Stocks, Fees, Licensing",5,na,8
"Red October: Its Origins, Consequences, and the Need to Revive the National Market System [article]","Chiappinelli, Eric A. (Cited 62 times)",6750,"Securities Regulation Law Journal, Vol. 18, Issue 2 (Summer 1990), pp. 144-179",Full Text Not Currently Available in HeinOnline,"Stocks, Economics, Public Policy, Securities, Futures, Regulation",2,na,na
Bill Allen in Class [comments],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Seattle University Law Review, Vol. 21, Issue 3 (Winter 1998), pp. 613-624",21 Seattle U. L. Rev. 613 (1997-1998),"History, Jurisprudence, Securities, Corporations, Credit",2,na,4
Definite Articles: Using the Law Review Article Type Indicator to Make Law Review Publishing Decicions [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"William and Mary Law Review, Vol. 42, Issue 2 (December 2000), pp. 559-574",42 Wm. & Mary L. Rev. 559 (2000-2001),"Legal Analysis and Writing, Computer Law, Revolution",2,na,5
The Underappreciated Importance of Personal Jurisdiction in Delaware's Success [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"DePaul Law Review, Vol. 63, Issue 4 (Summer 2014), pp. 911-958",63 DePaul L. Rev. 911 (2013-2014),"Corporations, Jurisdiction, Business Organizations, Legal History, Judicial Review",1,na,5
How Delaware's Corporate Law Monopoly Was Nearly Destroyed [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"DePaul Law Review, Vol. 65, Issue 1 (Fall 2015), pp. 1-56",65 DePaul L. Rev. 1 (2015-2016),"Business Organizations, Jurisdiction, Legal History, Corporations",1,na,19
The Corporatization of Communication [article],"Chiappinelli, Eric A. (Cited 62 times); Candeub, Adam (Cited 212 times); Chester, Jeffrey (Cited 1 times); Soley, Lawerence (Cited 1 times)",6750,"Seattle University Law Review, Vol. 30, Issue 4 (Summer 2007), pp. 959-990",30 Seattle U. L. Rev. 959 (Summer 2007),"Corporations, Broadband, Internet, Antitrust, Consent",1,na,4
Just like Pulling Teeth: How Dental Education's Crisis Shows the Way Forward for Law Schools [article],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Seton Hall Law Review, Vol. 48, Issue 1 (2017), pp. 1-70",48 Seton Hall L. Rev. 1 (2017-2018),"Education, Education Law, Legal Education, Schools, Industry",na,na,14
Aspects of Law [comments],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Seattle University Law Review, Vol. 21, Issue 3 (Winter 1998), pp. 549-554",21 Seattle U. L. Rev. 549 (1997-1998),"Corporations, Credit, Jurisprudence, Securities, History",na,1,8
In Pursuit of Justice: Reflections of a State Supreme Court Justice [reviews],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Western Legal History: The Journal of the Ninth Judicial Circuit Historical Society, Vol. 3, Issue 1 (Winter/Spring 1990), pp. 153-156",3 W. Legal Hist. 153 (1990),"Judges, Age",na,na,na
Logic and Experience: The Origin of Modern American Legal Education [reviews],"Chiappinelli, Eric A. (Cited 62 times)",6750,"Western Legal History: The Journal of the Ninth Judicial Circuit Historical Society, Vol. 9, Issue 2 (Summer/Fall 1996), pp. 250-252",9 W. Legal Hist. 250 (1996),"Education, Legal Education, Biography, Police",na,na,4
