Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Chevron's Consensus [article],"Criddle, Evan J. (Cited 518 times)",3878,"Boston University Law Review, Vol. 88, Issue 5 (December 2008), pp. 1271-1326",88 B.U. L. Rev. 1271 (2008),"Administration Law, Judges, Criminal Law and Procedure, Immigration Law",98,na,19
Fiduciary Administration: Rethinking Popular Representation in Agency Rulemaking [article],"Criddle, Evan J. (Cited 518 times)",3878,"Texas Law Review, Vol. 88, Issue 3 (February 2010), pp. 441-504",88 Tex. L. Rev. 441 (2009-2010),"Administration Law, Agency, President/Executive Department, Constitutional Law, Politics, Military, War and Peace",77,2,21
Fiduciary Foundations of Administrative Law [article],"Criddle, Evan J. (Cited 518 times)",3878,"UCLA Law Review, Vol. 54, Issue 1 (October 2006), pp. 117-184",54 UCLA L. Rev. 117 (October 2006),"Administration Law, Administrative Law, Liability, Possession, President/Executive Department",76,na,32
The Vienna Convention on the Law of Treaties in U.S. Treaty Interpretation [article],"Criddle, Evan (Cited 518 times)",3878,"Virginia Journal of International Law, Vol. 44, Issue 2 (Winter 2004), pp. 431-500",44 Va. J. Int'l L. 431 (2003-2004),"Jurisprudence, Criminal Law and Procedure, Law, Methodology Of",67,2,63
A Fiduciary Theory of Jus Cogens [article],"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)",3878,"Yale Journal of International Law, Vol. 34, Issue 2 (Summer 2009), pp. 331-388",34 Yale J. Int'l L. 331 (2009),"Jurisprudence, International Law, Consent, International Trade, Natural Law",48,4,91
When Delegation Begets Domination: Due Process of Administrative Lawmaking [article],"Criddle, Evan J. (Cited 518 times)",3878,"Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 117-212",46 Ga. L. Rev. 117 (2011-2012),"Administration Law, Constitutional Law, Due Process, Congress, State, The",40,na,22
The fiduciary constitution of human rights [article],"Fox-Decent, Evan (Cited 172 times); Criddle, Evan J. (Cited 518 times)",3878,"Legal Theory, Vol. 15, Issue 4 (December 2009), pp. 301-336",15 LEG 301 (2009),"Human Rights, Rule of Law, International Law",24,na,9
Chevron Deference and Treaty Interpretation [comments],"Criddle, Evan (Cited 518 times)",3878,"Yale Law Journal, Vol. 112, Issue 7 (May 2003), pp. 1927-1934",112 Yale L.J. 1927 (May 2003),"International Law, Judges, President/Executive Department",21,na,16
Mending Holes in the Rule of (Administrative) Law [comments],"Criddle, Evan J. (Cited 518 times)",3878,"Northwestern University Law Review, Vol. 104, Issue 3 (2010), pp. 1271-1280",104 Nw. U. L. Rev. 1271 (2010),"Administration Law, Administrative Law",13,na,14
Against Methodological Stare Decisis [article],"Criddle, Evan J. (Cited 518 times); Staszewski, Glen (Cited 399 times)",3878,"Georgetown Law Journal, Vol. 102, Issue 5 (June 2014), pp. 1573-1596",102 Geo. L.J. 1573 (June 2014),"Judges, Legislation, Statutory Interpretation, Courts, Supreme Court of the United States",12,2,24
Three Grotian Theories of Humanitarian Intervention [article],"Criddle, Evan J. (Cited 518 times)",3878,"Theoretical Inquiries in Law, Vol. 16, Issue 2 (July 2015), pp. 473-506",16 Theoretical Inq. L. 473 (2015),"Humanitarian Law, Natural Law, Jurisprudence, Obligations, Sovereignty",8,na,45
Standing for Human Rights Abroad [article],"Criddle, Evan J. (Cited 518 times)",3878,"Cornell Law Review, Vol. 100, Issue 2 (January 2015), pp. 269-334",100 Cornell L. Rev. 269 (2014-2015),"Human Rights Law, International Law, Jurisdiction, Humanitarian Law, Sanctions, Human Rights, Peacekeeping Forces",7,na,25
Proportionality in Counterinsurgency: A Relational Theory [article],"Criddle, Evan J. (Cited 518 times)",3878,"Notre Dame Law Review, Vol. 87, Issue 3 (February 2012), pp. 1073-1112",87 Notre Dame L. Rev. 1073 (February 2012),"Human Rights Law, International Law, Military, War and Peace, Constitutional Law, Military Law",7,na,32
Liberty in Loyalty: A Republican Theory of Fiduciary Law [article],"Criddle, Evan J. (Cited 518 times)",3878,"Texas Law Review, Vol. 95, Issue 5 (April 2017), pp. 993-1060",95 Tex. L. Rev. 993 (2016-2017),"Jurisprudence, Liberty, Politics, Courts, Practice and Procedure, Business Organizations, Estates and Trusts, Professional Ethics",4,na,42
The Constitution of Agency Statutory Interpretation [article],"Criddle, Evan J. (Cited 518 times)",3878,"Vanderbilt Law Review En Banc, Vol. 69, pp. 325-349",69 Vand. L. Rev. En Banc 325 (2016),"Agency, Statutory Interpretation, Judges, Politics, Courts",3,na,14
Humanitarian Financial Intervention [article],"Criddle, Evan J. (Cited 518 times)",3878,"European Journal of International Law, Vol. 24, Issue 2 (2013), pp. 583-616",Full Text Not Currently Available in HeinOnline,"Humanitarian Law, Sanctions, Human Rights Law, International Law, Jurisdiction, Law Enforcement",3,na,na
"Human Rights, Emergencies, and the Rule of Law [article]","Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)",3878,"Human Rights Quarterly, Vol. 34, Issue 1 (February 2012), pp. 39-87",34 Hum. Rts. Q. 39 (2012),"Human Rights, Rule of Law, Interest, National Security",3,na,78
Interest-Balancing vs. Fiduciary Duty: Two Models for National Security Law [article],"Fox-Decent, Evan (Cited 172 times); Criddle, Evan J. (Cited 518 times)",3878,"German Law Journal, Vol. 13, Issue 5 (May 2012), pp. 542-559",13 German L.J. 542 (2012),"Jurisprudence, Politics, Human Rights Law, International Law, Jurisdiction, Constitutional Law",2,na,3
Customary Constraints on the Use of Force: Article 51 with an American Accent [article],"Banks, William C. (Cited 526 times); Criddle, Evan J. (Cited 518 times)",3878,"Leiden Journal of International Law, Vol. 29, Issue 1 (March 2016), pp. 67-94",29 LJIL 67 (2016),"National Security, Terrorism, Violence, Treaties, United Nations",2,na,14
Keeping the Promise of Public Fiduciary Theory: A Reply to Leib and Galoob [article],"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)",3878,"Yale Law Journal Forum, Vol. 126, pp. 192-215",126 Yale L.J. F. 192 (2016-2017),"Jurisprudence, Politics, Public Law, Interest, National Security",2,na,8
Mandatory Multilateralism [article] *new*,"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)",3878,"American Journal of International Law, Vol. 113, Issue 2 (April 2019), pp. 272-325",Full Text Not Currently Available in HeinOnline,"Research, International Law, South Africa",na,na,na
Mending Holes in the Rule of (Administrative) Law [article],"Criddle, Evan J. (Cited 518 times)",3878,"Northwestern University Law Review Colloquy, Vol. 104, pp. 309-318",104 Nw. L. Rev. Colloquy 309 (2009-2010),"Administrative Law, Administration Law",na,na,4
Deriving Peremptory Norms from Sovereignty [notes],"Criddle, Evan J. (Cited 518 times); Fox-Decent, Evan (Cited 172 times)",3878,"American Society of International Law Proceedings, Vol. 103, pp. 71-74",103 Am. Soc'y Int'l L. Proc. 71 (2009),"Jurisprudence, International Law, Treaties, International Trade, Natural Law",na,na,na
