Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Currencies and the Commodification of Environmental Law [article],"Salzman, James (Cited 1306 times); Ruhl, J.B. (Cited 200 times)",688,"Stanford Law Review, Vol. 53, Issue 3 (December 2000), pp. 607-694",53 Stan. L. Rev. 607 (December 2000),"Administration Law, Environmental Law, International Trade, Endangered Species, Natural Resources Law, Regulation, World Trade Organization",150,na,35
"Climate Change, Dead Zones, and Massive Problems in the Administrative State: A Guide for Whittling Away [article]","Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"California Law Review, Vol. 98, Issue 1 (February 2010), pp. 59-120",98 Calif. L. Rev. 59 (2010),"Climate Change, Environment, Natural Resources Law, Endangered Species",99,na,27
Mozart and the Red Queen: The Problem of Regulatory Accretion in the Administrative State [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Georgetown Law Journal, Vol. 91, Issue 4 (April 2003), pp. 757-850",91 Geo. L.J. 757 (2002-2003),"Administration Law, Bankruptcy, Bankruptcy Law, Regulation",97,na,15
"Protecting Ecosystem Services: Science, Economics, and Law [article]","Salzman, James (Cited 1306 times); Thompson, Barton H. Jr. (Cited 1259 times); Daily, Gretchen C. (Cited 115 times)",688,"Stanford Environmental Law Journal, Vol. 20, Issue 2 (May 2001), pp. 309-332",20 Stan. Envtl. L. J. 309 (2001),"Economics, Science and Technology, Environment, Environmental Law, Regulation",91,na,100
Valuing Ecosystem Services [comments],"Salzman, James (Cited 1306 times)",688,"Ecology Law Quarterly, Vol. 24, Issue 4 (1997), pp. 887-904",24 Ecology L.Q. 887 (1997),"Law and Society, Natural Resources Law, Comparative Law, Government, Environment",80,na,39
Creating Markets for Ecosystem Services: Notes from the Field [article],"Salzman, James (Cited 1306 times)",688,"New York University Law Review, Vol. 80, Issue 3 (June 2005), pp. 870-961",80 N.Y.U. L. Rev. 870 (June 2005),"Economics, Environment, Natural Resources Law, Biodiversity, Conservation",70,na,35
Evolution and Application of Critical Habitat under the Endangered Species Act [article],"Salzman, James (Cited 1306 times)",688,"Harvard Environmental Law Review, Vol. 14, Issue 2 (1990), pp. 311-342",14 Harv. Envtl. L. Rev. 311 (1990),"Endangered Species, Natural Resources Law, Congress, Legislation, Agency",61,na,37
Negligence in the Air: The Duty of Care in Climate Change Litigation [comments],"Hunter, David (Cited 244 times); Salzman, James (Cited 1306 times)",688,"University of Pennsylvania Law Review, Vol. 155, Issue 6 (June 2007), pp. 1741-1794",155 U. Pa. L. Rev. 1741 (2006-2007),"Climate Change, Duty of Care, Negligence, Torts, Environment, Federalism",53,na,85
Sustainable Consumption and the Law [article],"Salzman, James (Cited 1306 times)",688,"Environmental Law, Vol. 27, Issue 4 (Winter 1997), pp. 1243-1294",27 Envtl. L. 1243 (1997),"Corporations, Comparative Law, Intellectual Property Law, Science and Technology, Criminal Law and Procedure, Environment",44,na,27
The Law and Policy Beginnings of Ecosystem Services [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Journal of Land Use & Environmental Law, Vol. 22, Issue 2 (Spring 2007), pp. 157-172",22 J. Land Use & Envtl. L. 157 (2006-2007),"Environment, Natural Resources Law, Biodiversity, Conservation",41,na,33
In Defense of Regulatory Peer Review [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Washington University Law Review, Vol. 84, Issue 1 (2006), pp. 1-62",84 Wash. U. L. Rev. 1 (2006),"Science and Technology, Endangered Species, Natural Resources Law, History",38,na,13
A Field of Green - The Past and Future of Ecosystem Services [article],"Salzman, James (Cited 1306 times)",688,"Journal of Land Use & Environmental Law, Vol. 21, Issue 2 (Spring 2006), pp. 133-152",21 J. Land Use & Envtl. L. 133 (2005-2006),"Law and Society, Natural Resources Law, Comparative Law, Government",35,na,10
Gaming the Past: The Theory and Practice of Historic Baselines in the Administrative State [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Vanderbilt Law Review, Vol. 64, Issue 1 (January 2011), pp. 1-60",64 Vand. L. Rev. 1 (2011),"Environment, Gaming, Natural Resources Law, Regulation, Wetlands, Conservation",35,na,19
Ecosystem Services and the Public Trust Doctrine: Working Change from Within [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Southeastern Environmental Law Journal, Vol. 15, Issue 1 (Fall 2006), pp. 223-240",15 Se. Envtl. L.J. 223 (2006-2007),"Legislation, Common Law, Statutes, Democracy, Environmental Protection",32,na,9
Environmental Tribalism [article],"Kysar, Douglas A. (Cited 1342 times); Salzman, James (Cited 1306 times)",688,"Minnesota Law Review, Vol. 87, Issue 4 (April 2003), pp. 1099-1138",87 Minn. L. Rev. 1099 (April 2003),"Environment, Jurisprudence, Economics, Environmental Law, Science and Technology",31,na,32
"Labor Rights, Globalization and Institutions: The Role and Influence of the Organization and Developement [article]","Salzman, James (Cited 1306 times)",688,"Michigan Journal of International Law, Vol. 21, Issue 4 (Summer 2000), pp. 769-848",21 Mich. J. Int'l L. 769 (1999-2000),"Globalization, International Labor Law, International Trade, Labor, Labor Law, Organizations, Internet, Industry",27,na,31
Beyond the Smokestack: Environmental Protection in the Service Economy [article],"Salzman, James (Cited 1306 times)",688,"UCLA Law Review, Vol. 47, Issue 2 (December 1999), pp. 411-490",47 UCLA L. Rev. 411 (1999-2000),"Commercial Law, International Law, Courts, Judges, Euthanasia, Trade Regulation, Unfair Trade Practices",26,na,12
Thirst: A Short History of Drinking Water [comments],"Salzman, James (Cited 1306 times)",688,"Yale Journal of Law & the Humanities, Vol. 18, Supplement - Special Issue 2006 (2006), pp. 94-121",18 Yale J.L. & Human. 94 (2006),"History, Water, Democracy, Human Rights, Human Rights Law, Privatization, Women",24,na,77
Decentralized Administrative Law in the Organization for Economic Cooperation and Development [article],"Salzman, James (Cited 1306 times)",688,"Law and Contemporary Problems, Vol. 68, Issues 3 & 4 (Summer/Autumn 2005), pp. 189-224",68 Law & Contemp. Probs. 189 (2004-2005),"Administrative Law, International Law, Economics, International Organization, Organizations",23,na,22
Protecting Natural Capital through Ecosystem Service Districts [article],"Heal, Geoffrey (Cited 40 times); Daily, Gretchen C. (Cited 115 times); Ehrlich, Paul R. (Cited 39 times); Salzman, James (Cited 1306 times)",688,"Stanford Environmental Law Journal, Vol. 20, Issue 2 (May 2001), pp. 333-364",20 Stan. Envtl. L. J. 333 (2001),"Agriculture, Agriculture Law, Exports, International Trade, Law and Society, Research",23,na,38
Climate change Meets the Law of the Horse [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Duke Law Journal, Vol. 62, Issue 5 (February 2013), pp. 975-1028",62 Duke L.J. 975 (2012-2013),"Climate Change, Federalism, Jurisdiction",20,1,17
Making Sense of Information for Environmental Protection [comments],"Kysar, Douglas A. (Cited 1342 times); Salzman, James (Cited 1306 times)",688,"Texas Law Review, Vol. 86, Issue 7 (June 2008), pp. 1347-1364",86 Tex. L. Rev. 1347 (2007-2008),"Environmental Protection, Science and Technology, Environmental Law, Regulation",19,na,7
The Next Generation of Trade and Environment Conflicts: The Rise of Green Industrial Policy [article],"Wu, Mark (Cited 61 times); Salzman, James (Cited 1306 times)",688,"Northwestern University Law Review, Vol. 108, Issue 2 (Winter 2014), pp. 401-474",108 Nw. U. L. Rev. 401 (Winter 2014),"Environment, International Trade, Remedies, Renewable Energy, Climate Change, Environmental Protection, Public Contracts, Subsidies",15,na,101
Regulatory Traffic Jams [article],"Salzman, James (Cited 1306 times); Ruhl, J. B. (Cited 2567 times); Song, Kai-Sheng (Cited 16 times)",688,"Wyoming Law Review, Vol. 2, Issue 2 (2002), pp. 253-292",2 Wyo. L. Rev. 253 (2002),"Environment, Politics, Industry",15,na,8
Regulatory Exit [article],"Ruhl, J.B. (Cited 200 times); Salzman, James (Cited 1306 times)",688,"Vanderbilt Law Review, Vol. 68, Issue 5 (October 2015), pp. 1295-1334",68 Vand. L. Rev. 1295 (2015),"Administration Law, Immigration Law, Juveniles, Banking, Corporations",13,na,19
Implementing the New Ecosystem Services Mandate of the Section 404 Compensatory Mitigation Program - A Catalyst for Advancing Science and Policy [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times); Goodman, Iris (Cited 13 times)",688,"Stetson Law Review, Vol. 38, Issue 2 (Winter 2009), pp. 251-272",38 Stetson L. Rev. 251 (2008-2009),"Administration Law, Banking, Water, Wetlands, Regulation",13,na,11
Seattle's Legal Legacy and Environmental Reviews of Trade Agreements [article],"Salzman, James (Cited 1306 times)",688,"Environmental Law, Vol. 31, Issue 3 (Summer 2001), pp. 501-548",31 Envtl. L. 501 (Summer 2001),"International Trade, Economics, International Law, States",12,na,2
The Greening of American Energy Policy [article],"Weiss, Ellyn R. (Cited 12 times); Salzman, James (Cited 1306 times)",688,"St. John's Law Review, Vol. 63, Issue 4 (Summer 1989), pp. 691-716",63 St. John's L. Rev. 691 (1988-1989),"Industry, Wind Energy, Renewable Energy, States",12,na,3
Wetland Value Indicators for Scoring Mitigation Trades [article],"Wainger, Lisa A. (Cited 19 times); King, Dennis (Cited 19 times); Salzman, James (Cited 1306 times); Boyd, James (Cited 84 times)",688,"Stanford Environmental Law Journal, Vol. 20, Issue 2 (May 2001), pp. 413-478",20 Stan. Envtl. L. J. 413 (2001),"Banking, Privatization, Environmental Law, Money, Water Law, Water, Wetlands",11,na,11
Groundwater Ecosystems and the Service of Water Purification [article],"Herman, Janet S. (Cited 11 times); Culver, David C. (Cited 11 times); Salzman, James (Cited 1306 times)",688,"Stanford Environmental Law Journal, Vol. 20, Issue 2 (May 2001), pp. 479-496",20 Stan. Envtl. L. J. 479 (2001),"Groundwater, Water, Damages, Remedies, Superfund",11,na,17
Teaching Policy Instrument Choice in Environmental Law: The Five P's [notes],"Salzman, James (Cited 1306 times)",688,"Duke Environmental Law & Policy Forum, Vol. 23, Issue 2 (Spring 2013), pp. 363-376",23 Duke Envtl. L. & Pol'y F. 363 (Spring 2013),"Environmental Law, History, Property, Regulation, Sovereignty, Water, Cartels, Conservation",10,na,40
"Executive Order 13,141 and the Environmental Review of Trade Agreements [notes]","Salzman, James (Cited 1306 times)",688,"American Journal of International Law, Vol. 95, Issue 2 (April 2001), pp. 366-380",95 Am. J. Int'l L. 366 (2001),"International Trade, Environmental Policy, Land Use, Land Use Planning, Economics",8,na,1
Regulating Business Innovation as Policy Disruption: From the Model T to Airbnb [article],"Biber, Eric (Cited 508 times); Light, Sarah E. (Cited 122 times); Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Vanderbilt Law Review, Vol. 70, Issue 5 (October 2017), pp. 1561-1626",70 Vand. L. Rev. 1561 (2017),"Business Organizations, Labor Law, Employment, Science and Technology, Contracts",7,na,362
What is the Emperor Wearing - The Secret Lives of Ecosystem Services [comments],"Salzman, James (Cited 1306 times)",688,"Pace Environmental Law Review, Vol. 28, Issue 2 (Winter 2011), pp. 591-614",28 Pace Envtl. L. Rev. 591 (2010-2011),"Natural Resources Law, Environment",5,na,7
Is It Safe to Drink the Water [article],"Salzman, James (Cited 1306 times)",688,"Duke Environmental Law & Policy Forum, Vol. 19, Issue 1 (Fall 2008), pp. 1-42",19 Duke Envtl. L. & Pol'y F. 1 (2008-2009),"Water, Environment, States, Schools",4,na,14
The Curious Case of Greening in Carbon Markets [article],"Boyd, William (Cited 183 times); Salzman, James (Cited 1306 times)",688,"Environmental Law, Vol. 41, Issue 1 (Winter 2011), pp. 73-94",41 Envtl. L. 73 (2011),"International Law, Environment, State and Local Government Law",4,na,12
Turning the World Upside Down: How Frames of Reference Shape Environmental Law [article],"Salzman, James (Cited 1306 times); Doyle, Martin (Cited 13 times)",688,"Environmental Law, Vol. 44, Issue 1 (Winter 2014), pp. 1-30",44 Envtl. L. 1 (2014),"Environmental Law, Science and Technology, Social Justice, Jurisdiction, Politics, President/Executive Department",3,na,12
The Most Important Current Research Questions in Urban Ecosystem Services [article],"Salzman, James (Cited 1306 times); Arnold, Craig Anthony (Cited 447 times); Garcia, Robert (Cited 77 times); Hirokawa, Keith (Cited 37 times); Jowers, Kay; LeJava, Jeffrey; Peloso, Margaret; Olander, Lydia",688,"Duke Environmental Law & Policy Forum, Vol. 25, Issue 1 (Fall 2014), pp. 1-48",25 Duke Envtl. L. & Pol'y F. 1 (2014-2015),"Research, Mandates, Comparative Law, Government",3,na,23
New Kids on the Block - A Survey of Practitioner Views on Important Cases in Environmental and Natural Resources Law [article],"Salzman, James (Cited 1306 times); Ruhl, J. B. (Cited 2567 times)",688,"Natural Resources & Environment, Vol. 25, Issue 1 (Summer 2010), pp. 45-47",25 Nat. Resources & Env't 45 (2010-2011),"Natural Resources, Natural Resources Law, Regulation, States, Wetlands, Water",3,na,3
The Organization for Economic Cooperation and Development's Role in International Law [article],"Salzman, James (Cited 1306 times)",688,"George Washington International Law Review, Vol. 43, Issue 2 (2011), pp. 255-276",43 Geo. Wash. Int'l L. Rev. 255 (2011),"International Law, Administrative Law, Tax Policy",2,na,10
Environmental Law in Austerity [article],"Salzman, James (Cited 1306 times); Ruhl, J.B. (Cited 200 times); Nash, Johnathan Remy (Cited 2 times)",688,"Pace Environmental Law Review, Vol. 32, Issue 2 (Spring 2015), pp. 481-491",32 Pace Envtl. L. Rev. 481 (2015),"Administration Law, Air and Space Law, International Law, Science and Technology",2,na,20
Presidential Exit [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Duke Law Journal, Vol. 67, Issue 8 (May 2018), pp. 1729-1774",67 Duke L.J. 1729 (2017-2018),"Foreign Countries, First Amendment, Health Law and Policy, Politics, Reproduction, Women, Health",1,na,49
Environmental Compliance: Another Integrity Crisis or Too Many Rules [article],"Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times); Song, Kai-Sheng (Cited 16 times); Yu, Han (Cited 1 times)",688,"Natural Resources & Environment, Vol. 17, Issue 1 (Summer 2002), pp. 24-29",17 Nat. Resources & Env't. 24 (2002-2003),"Environment, Environmental Law, Administration Law, Regulation",1,na,2
The Production Function of the Regulatory State: How Much Do Agency Budgets Matter [article],"Nash, Jonathan Remy (Cited 736 times); Ruhl, J. B. (Cited 2567 times); Salzman, James (Cited 1306 times)",688,"Minnesota Law Review, Vol. 102, Issue 2 (December 2017), pp. 695-760",102 Minn. L. Rev. 695 (December 2017),"Agency, Budgets, Administration Law, Environmental Law, Environmental Justice",1,na,33
"Payments for Ecosystem Services: Past, Present and Future [article]","Salzman, James (Cited 1306 times); Bennett, Genevieve (Cited 1 times); Carroll, Nathaniel (Cited 1 times); Goldstein, Allie (Cited 1 times); Jenkins, Michael (Cited 19 times)",688,"Texas A&M Law Review, Vol. 6, Issue 1 (Fall 2018), pp. 199-228",6 Tex. A&M L. Rev. 199 (2018-2019),na,1,na,na
Our Global Commons [article],"Daniels, Brigham (Cited 98 times); Salzman, James (Cited 1306 times)",688,"Brigham Young University Law Review, Vol. 2014, Issue 6 (2014), pp. 1251-1256",2014 BYU L. Rev. 1251 (2014),"Intellectual Property, Property, History, Regulation, Sovereignty, Water",na,na,16
Introduction to the Symposium on Climate Change Localism [comments],"Salzman, James (Cited 1306 times)",688,"AJIL Unbound, Vol. 112, pp. 271-273",112 AJIL Unbound 271 (2018),"Climate Change, Federalism, Foreign Affairs, International Law",na,na,3
