Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
The Waiver Paradox [article],"Mazzone, Jason (Cited 532 times)",3833,"Northwestern University Law Review, Vol. 97, Issue 2 (2002-2003), pp. 801-878",97 Nw. U. L. Rev. 801 (2002-2003),"Criminal Law and Procedure, Property, First Amendment, Organizations",73,4,29
Freedom's Associations [article],"Mazzone, Jason (Cited 532 times)",3833,"Washington Law Review, Vol. 77, Issue 3 , pp. 639-768",77 Wash. L. Rev. 639 (January 2002),"Organizations, Constitutional Law, Sovereignty, Legal History",67,7,12
Copyfraud [article],"Mazzone, Jason (Cited 532 times)",3833,"New York University Law Review, Vol. 81, Issue 3 (June 2006), pp. 1026-1100",81 N.Y.U. L. Rev. 1026 (2006),"Contracts, Copyright",49,na,20
The Bill of Rights in the Early State Courts [article],"Mazzone, Jason (Cited 532 times)",3833,"Minnesota Law Review, Vol. 92, Issue 1 (November 2007), pp. 1-82",92 Minn. L. Rev. 1 (2007-2008),"Constitutional Law, Courts, Civil Rights, States",38,2,9
Administering Fair Use [article],"Mazzone, Jason (Cited 532 times)",3833,"William and Mary Law Review, Vol. 51, Issue 2 (November 2009), pp. 395-438",51 Wm. & Mary L. Rev. 395 (2009-2010),"Music, Copyright, First Amendment, Intellectual Property Law, Courts, Evidence, Licensing",37,na,18
Unamendments [article],"Mazzone, Jason (Cited 532 times)",3833,"Iowa Law Review, Vol. 90, Issue 5 (May 2005), pp. 1747-1856",90 Iowa L. Rev. 1747 (2004-2005),"Jurisprudence, Constitutional Law, States, Marriage, Sexuality and the Law",33,na,12
When Courts Speak: Social Capital and Law's Expressive Function [article],"Mazzone, Jason (Cited 532 times)",3833,"Syracuse Law Review, Vol. 49, Issue 3 (1999), pp. 1039-1066",49 Syracuse 1039 (1998-1999),"Courts, Constitutional Law, Symbolic Speech, Crimes, Hate Crimes",30,na,19
When the Supreme Court is Not Supreme [article],"Mazzone, Jason (Cited 532 times)",3833,"Northwestern University Law Review, Vol. 104, Issue 3 (2010), pp. 979-1066",104 Nw. U. L. Rev. 979 (2010),"Constitutional Law, Courts, Federalism, State and Local Government Law",24,na,20
Facebook's Afterlife [article],"Mazzone, Jason (Cited 532 times)",3833,"North Carolina Law Review, Vol. 90, Issue 5 (June 2012), pp. 1643-1686",90 N.C. L. Rev. 1643 (2011-2012),"Communications Law, Consent, Data Mining, Education, Informed Consent, Professional Ethics, Research, Death, Privacy, Estates",24,3,51
The Security Constitution [article],"Mazzone, Jason (Cited 532 times)",3833,"UCLA Law Review, Vol. 53, Issue 1 (October 2005), pp. 29-152",53 UCLA L. Rev. 29 (2005-2006),"Military Law, Law Enforcement and Corrections",20,2,12
The Justice and the Jury [article],"Mazzone, Jason (Cited 532 times)",3833,"Brooklyn Law Review , Vol. 72, Issue 1 (Fall 2006), pp. 35-60",72 Brook. L. Rev. 35 (2006-2007),"Jury, Trials",16,na,13
The Commandeerer in Chief [article],"Mazzone, Jason (Cited 532 times)",3833,"Notre Dame Law Review, Vol. 83, Issue 1 (November 2007), pp. 265-352",83 Notre Dame L. Rev. 265 (2007-2008),"President/Executive Department, Health, Public Health, Government, States",14,na,13
The Social Capital Argument for Federalism [article],"Mazzone, Jason (Cited 532 times)",3833,"Southern California Interdisciplinary Law Journal, Vol. 11, Issue 1 (Winter 2001), pp. 27-62",11 S. Cal. Interdisc. L.J. 27 (2001-2002),"Federalism, Jurisdiction, Law and Society, Constitutional Law",14,na,6
Speech and Reciprocity: A Theory of the First Amendment [article],"Mazzone, Jason (Cited 532 times)",3833,"Connecticut Law Review, Vol. 34, Issue 2 (Winter 2002), pp. 405-452",34 Conn. L. Rev. 405 (Winter 2002),"Constitutional Law, First Amendment, Law and Society, Reciprocity, Economics",13,na,4
Towards a Social Capital Theory of Law: Lessons from Collaborative Reproduction [article],"Mazzone, Jason (Cited 532 times)",3833,"Santa Clara Law Review, Vol. 39, Issue 1 (1998), pp. 1-78",39 Santa Clara L. Rev. 1 (1998-1999),"Reproduction, Children, Domestic Relations, Juveniles, Medical Jurisprudence",13,1,na
The Creation of a Constitutional Culture [article],"Mazzone, Jason (Cited 532 times)",3833,"Tulsa Law Review, Vol. 40, Issue 4 (Summer 2005), pp. 671-698",40 Tulsa L. Rev. 671 (2004-2005),"Social Networks, Internet, Revolution",13,na,5
The Secret Life of Patents [article],"Mazzone, Jason (Cited 532 times); Moore, Matthew (Cited 21 times)",3833,"Washburn Law Journal, Vol. 48, Issue 1 (Fall 2008), pp. 33-66",48 Washburn L.J. 33 (2008-2009),"Intellectual Property Law, Trade Secrets",10,na,4
The Case for Returning Politicians to the Supreme Court [article],"Alleman, Robert (Cited 8 times); Mazzone, Jason (Cited 532 times)",3833,"Hastings Law Journal, Vol. 61, Issue 6 (2009-2010), pp. 1353-1406",61 Hastings L.J. 1353 (2009-2010),"Immigration Law, Judges, Age, Education, First Amendment, Science and Technology",8,na,1
