Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"Unsecured Borders: Immigration Restrictions, Crime Control and National Security [comments]","Chacon, Jennifer M. (Cited 841 times)",2814,"Connecticut Law Review, Vol. 39, Issue 5 (July 2007), pp. 1827-1892",39 Conn. L. Rev. 1827 (2006-2007),"Criminal Law and Procedure, Immigration Law, Fourteenth Amendment, Military, War and Peace",162,na,260
Misery and Myopia: Understanding the Failures of U.S. Efforts to Stop Human Trafficking [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Fordham Law Review, Vol. 74, Issue 6 (May 2006), pp. 2977-3040",74 Fordham L. Rev. 2977 (2005-2006),"Criminal Law and Procedure, International Law, Legislation, Human Rights Law, Remedies",136,na,47
A Diversion of Attention: Immigration Courts and the Adjudication of Fourth and Fifth Amendment Rights [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Duke Law Journal, Vol. 59, Issue 8 (May 2010), pp. 1563-1634",59 Duke L.J. 1563 (2009-2010),"Constitutional Law, Courts, Criminal Law and Procedure, Disability Law, Immigration Law, Psychiatry and Psychology",122,na,54
Managing Migration through Crime [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Columbia Law Review Sidebar, Vol. 109, pp. 135-148",109 Colum. L. Rev. Sidebar 135 (2009),"Immigration Law, Law and Society, Criminal Law and Procedure",94,na,165
Tensions and Trade-Offs: Protecting Trafficking Victims in the Era of Immigration Enforcement [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"University of Pennsylvania Law Review, Vol. 158, Issue 6 (May 2010), pp. 1609-1654",158 U. Pa. L. Rev. 1609 (2009-2010),"Criminal Law and Procedure, Human Rights Law, Human Trafficking, Immigration Law, Labor Law, International Criminal Law, Law and Society, Offenses Against the Person",54,na,29
Overcriminalizing Immigration [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Journal of Criminal Law and Criminology, Vol. 102, Issue 3 (Summer 2012), pp. 613-652",102 J. Crim. L. & Criminology 613 (2012),"Immigration Law, State and Local Government Law, Constitutional Law, Criminal Law and Procedure, Law Enforcement",46,na,114
Whose Community Shield: Examining the Removal of the Criminal Street Gang Member [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"University of Chicago Legal Forum, Vol. 2007, pp. 317-358",2007 U. Chi. Legal F. 317 (2007),"Criminal Law and Procedure, Immigration Law, Law Enforcement and Corrections, Economics, Remedies",42,na,16
The Transformation of Immigration Federalism [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"William & Mary Bill of Rights Journal, Vol. 21, Issue 2 (December 2012), pp. 577-618",21 Wm. & Mary Bill Rts. J. 577 (2012-2013),"Federalism, Immigrants, Discrimination, Immigration Law",41,na,40
Loving across Borders: Immigration Law and the Limits of Loving [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Wisconsin Law Review, Vol. 2007, Issue 2 (2007), pp. 345-378",2007 Wis. L. Rev. 345 (2007),"Immigration Law, Civil Rights, Domestic Relations, Fourteenth Amendment, Law and Society, Race and Ethnicity",37,na,62
Producing Liminal Legality [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Denver University Law Review, Vol. 92, Issue 4 (2015), pp. 709-768",92 Denv. U. L. Rev. 709 (2015),"Law and Society, Liability, Immigrants, Violence",19,na,40
Immigration and the Bully Pulpit [comments],"Chacon, Jennifer M. (Cited 841 times)",2814,"Harvard Law Review Forum, Vol. 130, Issue 7 (May 2017), pp. 243-268",130 Harv. L. Rev. F. 243 (2016-2017),"Immigration Law, Criminal Law and Procedure, Religion, Civil Rights, Courts",15,na,198
Border Exceptionalism in the Era of Moving Borders [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Fordham Urban Law Journal, Vol. 38, Issue 1 (November 2010), pp. 129-154",38 Fordham Urb. L.J. 129 (2010-2011),"Constitutional Law, Courts, Criminal Law and Procedure, Immigration Law, Jurisdiction",14,na,17
Citizenship and Family: Revisiting Dred Scott [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Washington University Journal of Law and Policy, Vol. 27, pp. 45-70",27 Wash. U. J. L. & Pol'y 45 (2008),"Citizenship, Domestic Relations, Biography, Civil Rights, Legal History",13,na,6
"Race as a Diagnostic Tool: Latinas/os and Higher Education in California, Post-209 [article]","Chacon, Jennifer M. (Cited 841 times)",2814,"California Law Review, Vol. 96, Issue 5 (October 2008), pp. 1215-1258",96 Calif. L. Rev. 1215 (2008),"Education, Race, State and Local Government Law, Affirmative Action",10,na,10
Privatized Immigration Enforcement [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Harvard Civil Rights-Civil Liberties Law Review, Vol. 52, Issue 1 (Winter 2017), pp. 1-46",52 Harv. C.R.-C.L. L. Rev. 1 (2017),"Immigration Law, Rico, Politics, Privatization, Government Contracts, International Law, Military Law",7,na,59
The 1996 Immigration Law Come of Age [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Drexel Law Review, Vol. 9, Issue 2 (Spring 2017), pp. 297-322",9 Drexel L. Rev. 297 (2016-2017),"Criminal Law and Procedure, Race and Ethnicity, Immigration Law",6,na,21
Feminists at the Border [article],"Chacon, Jennifer (Cited 841 times)",2814,"Denver University Law Review, Vol. 91, Issue 1 (Fall 2013), pp. 85-108",91 Denv. U. L. Rev. 85 (2013-2014),"Immigration Law, Military, War and Peace, Feminism, Fourteenth Amendment, Politics, War",5,na,16
"Human Trafficking, Immigration Regulation, and Subfederal Criminalization [article]","Chacon, Jennifer M. (Cited 841 times)",2814,"New Criminal Law Review, Vol. 20, Issue 1 (Winter 2017), pp. 96-129",20 New Crim. L. Rev. 96 (2017),"Human Rights Law, Criminal Law and Procedure, Law Enforcement",3,na,113
Policing Immigration after Arizona [comments],"Chacon, Jennifer M. (Cited 841 times)",2814,"Wake Forest Journal of Law & Policy, Vol. 3, Issue 2 (June 2013), pp. 231-248",3 Wake Forest J. L. & Pol'y 231 (2013),"Federalism, Immigration Law, Jurisdiction, Law Enforcement and Corrections, Privacy, Technology, States",3,na,9
The Mercer Girls Guide to Immigration [article],"Chacon, Jennifer M. (Cited 841 times)",2814,"Vanderbilt Law Review En Banc, Vol. 64, pp. 15-28",64 Vand. L. Rev. En Banc 15 (2011),"Immigration Law, Regulation, Juveniles",2,na,na
Opening Our Hearts: A Response to Angela Onwuachi-Willig's according to Our Hearts [article],"Chacon, Jennifer (Cited 841 times)",2814,"Journal of Gender, Race & Justice, Vol. 16, Issue 3 (Summer 2013), pp. 725-740",16 J. Gender Race & Just. 725 (Summer 2013),"Domestic Relations, Race and Ethnicity, Constitutional Law, Military, War and Peace, Politics, Annulment",2,na,6
