Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Procedural Due Process and Predictable Punitive Damage Awards [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Brigham Young University Law Review, Vol. 2012, Issue 1 (2012), pp. 1-72",2012 BYU L. Rev. 1 (2012),"Due Process, Practice and Procedure, Remedies, Insanity, Judicial Review, Damages, Punitive Damages",13,na,12
Honest Confusion: The Purpose of Compensatory Damages in Tort and Fraudulent Misrepresentation [article],"Lens, Jill Wieber (Cited 46 times)",5384,"University of Kansas Law Review, Vol. 59, Issue 2 (January 2011), pp. 231-284",59 U. Kan. L. Rev. 231 (2010-2011),"Compensatory Damages, Damages, Remedies, Torts, Malpractice",10,na,40
Pushing for the Injury: Tort Law's Influence in Defining the Constitutional Limitations on Punitive Damage Awards [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Hofstra Law Review, Vol. 39, Issue 3 (Spring 2011), pp. 595-644",39 Hofstra L. Rev. 595 (2010-2011),"Remedies, Damages, Punitive Damages, Tortfeasors, Torts",7,na,12
Justice Holmes's Bad Man and the Depleted Purposes of Punitive Damages [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Kentucky Law Journal, Vol. 101, Issue 4 (2012-2013), pp. 789-838",101 Ky. L.J. 789 (2012-2013),"Damages, Punitive Damages, Remedies",7,na,6
The (Overlooked) Consequence of Easing the Prohibition of Expert Legal Testimony in Professional Negligence Claims [article],"Lens, Jill Wieber (Cited 46 times)",5384,"University of Louisville Law Review, Vol. 48, Issue 1 (2009), pp. 53-94",48 U. Louisville L. Rev. 53 (2009),"Evidence, Legal Profession, Negligence, Testimony, Torts, Immunity, Liability, Malpractice, Legal Malpractice",3,na,16
Warning: A Post-Sale Duty to Warn Targets Small Manufacturers [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Utah Law Review, Vol. 2014, Issue 5 (2014), pp. 1013-1062",2014 Utah L. Rev. 1013 (2014),"Consumer Protection Law, Duty to Warn, Torts, Cause of Action",2,3,8
Product Recalls: Why Is Tort Law Deferring to Agency Inaction [article],"Lens, Jill Wieber (Cited 46 times)",5384,"St. John's Law Review, Vol. 90, Issue 2 (Summer 2016), pp. 329-368",90 St. John's L. Rev. 329 (2016),"Administration Law, Agency, Cause of Action, Duty to Warn, Liability",2,na,14
Stays of Injunctive Relief Pending Appeal: Why the Merits Should Not Matter [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Florida State University Law Review, Vol. 43, Issue 4 (Winter 2016), pp. 1319-1358",43 Fla. St. U. L. Rev. 1319 (2015-2016),"Practice and Procedure, Remedies, Congress, States, Courts, Immigration Law",1,na,14
Tort Law's Deterrent Effect and Procedural Due Process [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Tulsa Law Review, Vol. 50, Issue 1 (Summer 2014), pp. 115-156",50 Tulsa L. Rev. 115 (2014-2015),"Due Process, Practice and Procedure, Torts, Trials, Evidence, Science and Technology",1,na,10
Defective Punitive Damage Awards [article],"Lens, Jill Wieber (Cited 46 times)",5384,"Utah Law Review, Vol. 2017, Issue 5 (2017), pp. 1019-1060",2017 Utah L. Rev. 1019 (2017),"Remedies, Torts, Damages, Products Liability Law, Punitive Damages, Liability",na,na,30
