Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
"What is Judicial Ideology, and How Should We Measure It [article]","Fischman, Joshua B. (Cited 128 times); Law, David S. (Cited 901 times)",524,"Washington University Journal of Law & Policy, Vol. 29, Issue 1 (2009), pp. 133-214",29 Wash. U. J. L. & Pol'y 133 (2009),"Courts, Intellectual Property Law, Judges, Employees, Employment, Employment Practice, Equal Employment",44,na,33
Reuniting Is and Ought in Empirical Legal Scholarship [article],"Fischman, Joshua B. (Cited 128 times)",524,"University of Pennsylvania Law Review, Vol. 162, Issue 1 (December 2013), pp. 117-168",162 U. Pa. L. Rev. 117 (2013-2014),"Legal Analysis and Writing, Jurisprudence, Anthropology, Legal History",16,na,39
Racial Disparities under the Federal Sentencing Guidelines: The Role of Judicial Discretion and Mandatory Minimums [article],"Fischman, Joshua B. (Cited 128 times); Schanzenbach, Max M. (Cited 398 times)",524,"Journal of Empirical Legal Studies, Vol. 9, Issue 4 (December 2012), pp. 729-764",9 J. Empirical Legal Stud. 729 (2012),"Judicial Discretion, Sentencing, Corporations, Criminals, Fines",16,na,94
Do Standards of Review Matter - The Case of Federal Criminal Sentencing [article],"Fischman, Joshua B. (Cited 128 times); Schanzenbach, Max M. (Cited 398 times)",524,"Journal of Legal Studies, Vol. 40, Issue 2 (June 2011), pp. 405-438",40 J. Legal Stud. 405 (2011),"Criminal Law and Procedure, Judges, Politics",14,na,2
The Second Dimension of the Supreme Court [article],"Fischman, Joshua B. (Cited 128 times); Jacobi, Tonja (Cited 443 times)",524,"William & Mary Law Review, Vol. 57, Issue 5 (April 2015), pp. 1671-1716",57 Wm. & Mary L. Rev. 1671 (2015-2016),"Law and Society, Politics, Supreme Court of the United States, Refugees, Constitutional Law, Gender, Women",11,na,27
The Circular Logic of Actavis [article],"Fischman, Joshua B. (Cited 128 times)",524,"American University Law Review, Vol. 66, Issue 1 (October 2016), pp. 91-144",66 Am. U. L. Rev. 91 (2016-2017),"Intellectual Property Law, Trade Regulation, Settlements, Antitrust, Courts",7,na,12
Estimating Preferences of Circuit Judges: A Model of Consensus Voting [article],"Fischman, Joshua B. (Cited 128 times)",524,"Journal of Law & Economics, Vol. 54, Issue 4 - Part 1 (November 2011), pp. 781-810",54 J.L. & Econ. 781 (2011),"Judges, Voting, Comparative Law, Politics, Courts",7,na,6
"Measuring Inconsistency, Indeterminacy, and Error in Adjudication [article]","Fischman, Joshua B. (Cited 128 times)",524,"American Law and Economics Review, Vol. 16, Issue 1 (2014), pp. 40-85",Full Text Not Currently Available in HeinOnline,"Law Reform, Rule of Law, Jurisprudence",5,na,na
Interpreting Circuit Court Voting Patterns: A Social Interactions Framework [article],"Fischman, Joshua B. (Cited 128 times)",524,"Journal of Law, Economics, and Organization, Vol. 31, Issue 4 (November 2015), pp. 808-842",Full Text Not Currently Available in HeinOnline,"Courts, Voting, Politics, Judges",3,na,na
Do the Justices Vote like Policy Makers - Evidence from Scaling the Supreme Court with Interest Groups [article],"Fischman, Joshua B. (Cited 128 times)",524,"Journal of Legal Studies, Vol. 44, Supplement 1 (January 2015), pp. S269-S294",Full Text Not Currently Available in HeinOnline,"Evidence, Interest, Judges",2,na,na
The Economic Perspective on Sentencing [article],"Fischman, Joshua B. (Cited 128 times)",524,"Loyola University Chicago Law Journal, Vol. 46, Issue 2 (Winter 2014), pp. 345-368",46 Loy. U. Chi. L.J. 345 (2014-2015),"Sentencing, Economics, International Courts and Tribunals",na,na,8
