Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
In Defense of Individual Tax Privacy [article],"Blank, Joshua D. (Cited 166 times)",7894,"Emory Law Journal, Vol. 61, Issue 2 (2011), pp. 265-348",61 Emory L.J. 265 (2011),"Privacy, Tax Returns, Information Privacy, Tax Policy, Taxation-Federal",30,2,7
What's Wrong with Shaming Corporate Tax Abuse [article],"Blank, Joshua D. (Cited 166 times)",7894,"Tax Law Review , Vol. 62, Issue 4 (Summer 2009), pp. 539-590",62 Tax L. Rev. 539 (2008-2009),"Corporations, Communications Law, Judges, Sentencing, Criminal Law, Sanctions",29,na,37
Overcoming Overdisclosure: Toward Tax Shelter Detection [article],"Blank, Joshua D. (Cited 166 times)",7894,"UCLA Law Review , Vol. 56, Issue 6 (August 2009), pp. 1629-1690",56 UCLA L. Rev. 1629 (2008-2009),"Taxation-Federal Income, Interest, Obligations, Intellectual Property, Intellectual Property Law, Property",25,na,8
Dismissing the Class: A Practical Approach to the Class Action Restriction on the Legal Services Corporation [article],"Blank, Joshua D. (Cited 166 times); Zacks, Eric A. (Cited 55 times)",7894,"Penn State Law Review, Vol. 110, Issue 1 (Summer 2005), pp. 1-40",110 Penn St. L. Rev. 1 (Summer 2005),"Legal Services, Practice and Procedure, Social Welfare Law, Attorneys, Constitutional Law",18,na,3
When is Tax Enforcement Publicized [article],"Blank, Joshua D. (Cited 166 times); Levin, Daniel Z. (Cited 18 times)",7894,"Virginia Tax Review, Vol. 30, Issue 1 (Summer 2010), pp. 1-38",30 Va. Tax Rev. 1 (2010-2011),"Taxation-Federal, Citizenship, Plain Language, Tax Policy",18,na,30
Corporate Shams [article],"Blank, Joshua D. (Cited 166 times); Staudt, Nancy (Cited 201 times)",7894,"New York University Law Review, Vol. 87, Issue 6 (December 2012), pp. 1641-1712",87 N.Y.U. L. Rev. 1641 (2012),"Taxation-Federal Income, Estates, Money",12,5,21
Reconsidering Corporate Tax Privacy [article],"Blank, Joshua D. (Cited 166 times)",7894,"New York University Journal of Law & Business, Vol. 11, Issue 1 (2014), pp. 31-122",11 N.Y.U. J.L. & Bus. 31 (2014-2015),"Information Privacy, Privacy, Tax Returns",12,na,22
Collateral Compliance [article],"Blank, Joshua D. (Cited 166 times)",7894,"University of Pennsylvania Law Review, Vol. 162, Issue 4 (March 2014), pp. 719-800",162 U. Pa. L. Rev. 719 (2013-2014),"Constitutional Law, Punishment, Taxation-Federal Income, Government, Procurement, Obligations",9,na,29
The Timing of Tax Transparency [article],"Blank, Joshua D. (Cited 166 times)",7894,"Southern California Law Review, Vol. 90, Issue 3 (March 2017), pp. 449-528",90 S. Cal. L. Rev. 449 (2016-2017),"Mergers, Confidential Communications, Confidentiality, States, Taxation, Information Privacy, Privacy",4,na,57
Confronting Continuity: A Tradition of Fiction in Corporate Reorganizations [article],"Blank, Joshua D. (Cited 166 times)",7894,"Columbia Business Law Review, Vol. 2006, Issue 1 (2006), pp. 1-80",2006 Colum. Bus. L. Rev. 1 (2006),"Bankruptcy Law, Interest, Debt, Equity, Taxation-Federal Income",3,na,7
Simplexity: Plain Language and the Tax Law [article],"Blank, Joshua D. (Cited 166 times); Osofsky, Leigh (Cited 77 times)",7894,"Emory Law Journal, Vol. 66, Issue 2 (2017), pp. 189-264",66 Emory L.J. 189 (2016-2017),"Plain Language, Tax Policy, Taxation-Federal, Property, Costs",3,na,48
Panel 2: Should Corporate Tax Returns Be Public [comments],"Kamin, David (Cited 37 times); Blank, Joshua D. (Cited 166 times); Christians, Allison (Cited 200 times); Avi-Yonah, Reuven S. (Cited 1233 times); Barnes, Peter A.",7894,"New York University Journal of Law & Business, Vol. 11, Issue 1 (2014), pp. 159-190",11 N.Y.U. J.L. & Bus. 159 (2014-2015),"Tax Returns, Information Privacy, Privacy",2,na,6
Leo L. Schmolka: One of a Kind [article],"Blank, Joshua D. (Cited 166 times)",7894,"Tax Law Review, Vol. 67, Issue 3 (Spring 2014), pp. 299-302",67 Tax L. Rev. 299 (2013-2014),"Biography, Criminal Law and Procedure, Aliens, Criminal Procedure, Deportation, Immigration Law",na,na,4
